Species,decimalLongitude,decimalLatitude
Impatiens walleriana,-48.997033,-27.252848
Impatiens walleriana,-48.749712,-17.775026
Impatiens walleriana,-49.039432,-25.392335
Impatiens walleriana,-43.240905,-22.966649
Impatiens walleriana,-52.600517,-27.185877
Impatiens walleriana,-46.731435,-23.565443
Impatiens walleriana,-44.018642,-22.910947
Impatiens walleriana,-43.566389,-20.396111
Impatiens walleriana,-49.001786,-25.3526
Impatiens walleriana,-49.307454,-25.416281
Impatiens walleriana,-49.30683,-25.416629
Impatiens walleriana,-46.54,-23.4
Impatiens walleriana,-46.73567,-23.464814
Impatiens walleriana,-49.294895,-25.402313
Impatiens walleriana,-52.289667,-24.595972
Impatiens walleriana,-52.28025,-24.589611
Impatiens walleriana,-52.170639,-24.52725
Impatiens walleriana,-42.965819,-22.452048
Impatiens walleriana,-42.965783,-22.452094
Impatiens walleriana,-49.417151,-28.555633
Impatiens walleriana,-46.63667,-23.437413
Impatiens walleriana,-49.491362,-28.639365
Impatiens walleriana,-46.36436,-23.857006
Impatiens walleriana,-54.437344,-25.690461
Impatiens walleriana,-42.965715,-22.452091
Impatiens walleriana,-47.877556,-22.032139
Impatiens walleriana,-48.456078,-25.223742
Impatiens walleriana,-42.525924,-22.329354
Impatiens walleriana,-40.578528,-19.920889
Impatiens walleriana,-43.274876,-22.983681
Impatiens walleriana,-43.933265,-19.92546
Impatiens walleriana,-43.43425,-22.59422
Impatiens walleriana,-40.623075,-19.930617
Impatiens walleriana,-46.623574,-23.641175
Impatiens walleriana,-49.389014,-25.59535
Impatiens walleriana,-46.731161,-23.569279
Impatiens walleriana,-46.731161,-23.569279
Impatiens walleriana,-49.282337,-25.398212
Impatiens walleriana,-49.219146,-25.436182
Impatiens walleriana,-45.428987,-23.595137
Impatiens walleriana,-44.607983,-22.454538
Impatiens walleriana,-46.029727,-22.861398
Impatiens walleriana,-43.880659,-19.985843
Impatiens walleriana,-48.517192,-27.598437
Impatiens walleriana,-54.43747,-25.691122
Impatiens walleriana,-43.220578,-22.948728
Impatiens walleriana,-52.599444,-23.648333
Impatiens walleriana,-52.599556,-23.648583
Impatiens walleriana,-46.471399,-23.572631
