scientific_name,decimalLongitude,decimalLatitude
Iris domestica,-49.320487,-23.97507
Iris domestica,-47.857841,-23.292558
Iris domestica,-44.544742,-14.178711
Iris domestica,-46.795621,-24.154998
Iris domestica,-46.563938,-23.677338
Iris domestica,-43.41355,-22.59152
Iris domestica,-41.316784,-21.761428
Iris domestica,-51.94106,-23.404324
Iris domestica,-46.740322,-23.436833
Iris domestica,-51.461645,-22.077677
Iris domestica,-41.286111,-21.761389
Iris domestica,-42.806317,-20.429545
Iris domestica,-45.430874,-23.691544
Iris domestica,-49.808711,-25.417134
Iris domestica,-43.161091,-22.435238
Iris domestica,-46.740306,-23.436894
Iris domestica,-46.731145,-23.56626
Iris domestica,-46.413884,-23.477961
Iris domestica,-46.65645,-23.589188
Iris domestica,-46.558984,-22.545223
Iris domestica,-43.981908,-19.89069
Iris domestica,-43.18835,-21.829353
Iris domestica,-38.400821,-12.955765
Iris domestica,-46.528273,-23.644823
Iris domestica,-38.502056,-12.833405
Iris domestica,-48.908245,-15.934199
Iris domestica,-48.530853,-27.709557
Iris domestica,-45.797363,-22.623678
Iris domestica,-48.673647,-28.053328
Iris domestica,-49.279083,-25.391168
Iris domestica,-48.637672,-27.994005
Iris domestica,-54.589683,-25.459133
Iris domestica,-48.661388,-26.775629
Iris domestica,-47.548388,-24.7455
Iris domestica,-46.78557,-24.168687
Iris domestica,-46.785355,-24.168895
Iris domestica,-46.785321,-24.168811
Iris domestica,-46.785408,-24.168142
Iris domestica,-46.802283,-24.192156
Iris domestica,-52.574356,-23.680989
Iris domestica,-40.33517,-20.328478
Iris domestica,-47.413379,-22.76467
Iris domestica,-43.986316,-19.874152
Iris domestica,-46.72995,-23.583329
Iris domestica,-38.433333,-12.783333
Iris domestica,-46.581199,-23.73307
Iris domestica,-46.658556,-23.587204
Iris domestica,-48.270224,-18.938415
Iris domestica,-48.851212,-28.433792
Iris domestica,-45.5189,-22.844839
Iris domestica,-45.107667,-22.726382
Iris domestica,-45.8868,-23.398197
Iris domestica,-53.046299,-26.063253
Iris domestica,-43.94953,-19.84718
Iris domestica,-48.494243,-20.93183
Iris domestica,-48.754314,-28.299322
Iris domestica,-54.557172,-25.592563
Iris domestica,-49.302132,-25.522402
Iris domestica,-50.919659,-17.792716
Iris domestica,-42.028655,-20.904925
Iris domestica,-48.163676,-21.806439
Iris domestica,-46.729444,-24.143889
Iris domestica,-48.677517,-26.908269
Iris domestica,-48.651566,-27.021745
Iris domestica,-43.808068,-22.506388
Iris domestica,-40.598329,-19.936828
Iris domestica,-39.057631,-16.403302
Iris domestica,-51.926357,-29.597257
Iris domestica,-42.866779,-20.747295
Iris domestica,-42.54238,-19.471231
Iris domestica,-46.546612,-23.526451
Iris domestica,-47.367369,-21.991502
Iris domestica,-49.239722,-25.507778
Iris domestica,-49.239722,-25.507778
Iris domestica,-45.011086,-23.406494
Iris domestica,-47.383343000000004,-22.360097
Iris domestica,-43.435692,-22.603522
Iris domestica,-52.842778,-24.428333
Iris domestica,-52.842833,-24.428306
Iris domestica,-52.842833,-24.428306
Iris domestica,-49.3725,-26.921389
Iris domestica,-49.3725,-26.921389
Iris domestica,-47.8,-21.166667
Iris domestica,-48.413889,-21.286389
Iris domestica,-41.291111,-21.761944
Iris domestica,-51.916667,-23.416667
Iris domestica,-52.330278,-24.105
Iris domestica,-52.33025,-24.104972
Iris domestica,-52.33025,-24.104972
Iris domestica,-40.6,-19.936111
Iris domestica,-40.6,-19.936111
Iris domestica,-39.166667,-14.8
Iris domestica,-47.8,-21.166667
Iris domestica,-39.04,-14.78
Iris domestica,-39.04,-14.78
Iris domestica,-47.0608,-22.9056
Iris domestica,-50.07,-21.42
Iris domestica,-41.291111,-21.761944
