Species,decimalLongitude,decimalLatitude
Isognomon bicolor,-44.119322,-23.151222
Isognomon bicolor,-44.679655,-23.220375
Isognomon bicolor,-44.554252,-23.037469
Isognomon bicolor,-44.444227,-23.013794
Isognomon bicolor,-44.341027,-22.979444
Isognomon bicolor,-44.408916,-22.989916
Isognomon bicolor,-44.4285,-22.994944
Isognomon bicolor,-44.414555,-22.967888
Isognomon bicolor,-44.446,-23.011583
Isognomon bicolor,-44.368333,-22.966361
Isognomon bicolor,-44.440638,-23.016611
Isognomon bicolor,-45.313889,-23.584444
Isognomon bicolor,-45.313889,-23.584444
Isognomon bicolor,-45.313889,-23.584444
Isognomon bicolor,-45.313889,-23.584444
Isognomon bicolor,-45.313889,-23.584444
Isognomon bicolor,-44.865833,-23.356944
Isognomon bicolor,-44.354361,-22.985333
