Species,decimalLongitude,decimalLatitude
Jatropha gossypiifolia,-35.223515,-5.930694
Jatropha gossypiifolia,-60.430805,-2.7466
Jatropha gossypiifolia,-38.396297,-3.846017
Jatropha gossypiifolia,-52.684097,-18.386905
Jatropha gossypiifolia,-38.450064,-7.003446
Jatropha gossypiifolia,-46.778934,-23.561887
Jatropha gossypiifolia,-40.613395,-19.519922
Jatropha gossypiifolia,-57.681855,-16.076606
Jatropha gossypiifolia,-38.969326,-6.754011
Jatropha gossypiifolia,-47.297724,-5.445516
Jatropha gossypiifolia,-45.161277,-10.35632
Jatropha gossypiifolia,-67.53931,-8.789569
Jatropha gossypiifolia,-42.767269,-4.913614
Jatropha gossypiifolia,-41.298399,-21.738557
Jatropha gossypiifolia,-41.298399,-21.738557
Jatropha gossypiifolia,-41.298399,-21.738557
Jatropha gossypiifolia,-47.827438,-21.165107
Jatropha gossypiifolia,-49.084041,-26.891327
Jatropha gossypiifolia,-49.12001,-5.381643
Jatropha gossypiifolia,-38.973033,-12.267667
Jatropha gossypiifolia,-39.312125,-6.380172
Jatropha gossypiifolia,-41.293987,-21.815988
Jatropha gossypiifolia,-38.95541,-14.042144
Jatropha gossypiifolia,-38.443454,-3.808821
Jatropha gossypiifolia,-40.340253,-20.365195
Jatropha gossypiifolia,-37.311344,-5.866485
Jatropha gossypiifolia,-44.764528,-2.035333
Jatropha gossypiifolia,-46.49765,-19.538343
Jatropha gossypiifolia,-40.049126,-19.393621
Jatropha gossypiifolia,-60.54255,-3.250705
Jatropha gossypiifolia,-39.326641,-6.353267
Jatropha gossypiifolia,-66.896917,-4.87732
Jatropha gossypiifolia,-60.621507,-3.290038
Jatropha gossypiifolia,-57.708473,-3.394685
Jatropha gossypiifolia,-39.312982,-6.347739
Jatropha gossypiifolia,-42.854248,-2.781427
Jatropha gossypiifolia,-38.966667,-12.266667
Jatropha gossypiifolia,-42.269444,-12.172778
Jatropha gossypiifolia,-39.199163,-6.354479
Jatropha gossypiifolia,-39.396348,-6.457042
Jatropha gossypiifolia,-39.295767,-6.3979799999999996
Jatropha gossypiifolia,-39.305689,-6.371847
Jatropha gossypiifolia,-39.334415,-6.431343
Jatropha gossypiifolia,-39.396784,-6.457272
Jatropha gossypiifolia,-39.431552,-6.197157
Jatropha gossypiifolia,-47.050285,-1.735176
Jatropha gossypiifolia,-39.285587,-6.369255
Jatropha gossypiifolia,-39.431652,-6.197103
Jatropha gossypiifolia,-39.334459,-6.321523
Jatropha gossypiifolia,-46.321847,-13.396919
Jatropha gossypiifolia,-39.298059,-6.358794
Jatropha gossypiifolia,-39.284942,-6.370728
Jatropha gossypiifolia,-38.949167,-12.211944
Jatropha gossypiifolia,-44.585403,-5.052963
Jatropha gossypiifolia,-47.490224,-4.964875
Jatropha gossypiifolia,-46.783005,-23.43485
Jatropha gossypiifolia,-36.362163,-7.43128
Jatropha gossypiifolia,-38.946389,-12.252222
Jatropha gossypiifolia,-72.670207,-7.636856
Jatropha gossypiifolia,-38.090843,-4.234039
Jatropha gossypiifolia,-37.351513,-5.147415
Jatropha gossypiifolia,-40.408889,-2.818611
Jatropha gossypiifolia,-44.566389,-2.0625
Jatropha gossypiifolia,-38.881294,-3.593697
Jatropha gossypiifolia,-38.485749,-3.814408
Jatropha gossypiifolia,-38.897133,-3.506889
Jatropha gossypiifolia,-35.289925,-6.420025
Jatropha gossypiifolia,-34.918182,-8.189187
Jatropha gossypiifolia,-50.846666,2.602025
Jatropha gossypiifolia,-51.412471,0.714425
Jatropha gossypiifolia,-38.798889,-12.0725
Jatropha gossypiifolia,-40.702778,-13.402222
Jatropha gossypiifolia,-38.929722,-12.236667
Jatropha gossypiifolia,-44.764444,-2.039167
Jatropha gossypiifolia,-45.153094,-2.220723
Jatropha gossypiifolia,-39.747058,-18.725363
Jatropha gossypiifolia,-38.453353,-6.981249
Jatropha gossypiifolia,-38.412478,-6.989078
Jatropha gossypiifolia,-38.63402,-6.84855
Jatropha gossypiifolia,-41.244495,-3.045967
Jatropha gossypiifolia,-37.256844,-5.637657
Jatropha gossypiifolia,-72.669905,-7.628372
Jatropha gossypiifolia,-72.670207,-7.636855
Jatropha gossypiifolia,-72.65932,-7.640244
Jatropha gossypiifolia,-67.822959,-9.973223
Jatropha gossypiifolia,-38.487747,-3.811865
Jatropha gossypiifolia,-38.577005,-6.874708
Jatropha gossypiifolia,-35.886389,-7.191667
Jatropha gossypiifolia,-60.309525,-3.390285
Jatropha gossypiifolia,-39.583333,-13.016667
Jatropha gossypiifolia,-38.582647,-6.912253
Jatropha gossypiifolia,-38.593389,-6.946637
Jatropha gossypiifolia,-38.790741,-6.915873
Jatropha gossypiifolia,-43.710833,-22.751944
Jatropha gossypiifolia,-35.913611,-7.211944
Jatropha gossypiifolia,-38.974792,-6.870109
Jatropha gossypiifolia,-47.24068,-24.298486
Jatropha gossypiifolia,-44.763908,-23.218208
Jatropha gossypiifolia,-41.293055,-21.816203
Jatropha gossypiifolia,-38.929722,-12.236389
Jatropha gossypiifolia,-49.837418,-6.540283
Jatropha gossypiifolia,-37.522196,-5.458565
Jatropha gossypiifolia,-38.887825,-6.678357
Jatropha gossypiifolia,-41.772202,-2.946574
Jatropha gossypiifolia,-38.206805,-6.141772
Jatropha gossypiifolia,-38.208754,-6.142617
Jatropha gossypiifolia,-38.20886,-6.142633
Jatropha gossypiifolia,-35.166442,-5.884587
Jatropha gossypiifolia,-39.695278,-15.445
Jatropha gossypiifolia,-38.661422,-3.677247
Jatropha gossypiifolia,-41.107753,-16.426308
Jatropha gossypiifolia,-37.33519,-5.198884
Jatropha gossypiifolia,-52.349167,-24.008889
Jatropha gossypiifolia,-40.34,-20.365
Jatropha gossypiifolia,-52.349389,-24.009139
Jatropha gossypiifolia,-40.107753,-16.426308
Jatropha gossypiifolia,-40.34,-20.365
Jatropha gossypiifolia,-39.304929,-6.357564
Jatropha gossypiifolia,-42.341944,-22.880278
Jatropha gossypiifolia,-38.433333,-12.783333
Jatropha gossypiifolia,-56.069889,-15.652444
Jatropha gossypiifolia,-40.557452,-4.699655
Jatropha gossypiifolia,-35.223515,-5.930694
Jatropha gossypiifolia,-38.49533,-6.855914
Jatropha gossypiifolia,-39.303939,-6.37588
Jatropha gossypiifolia,-35.767866,-9.546495
Jatropha gossypiifolia,-39.301828,-6.379714
Jatropha gossypiifolia,-35.220278,-5.744722
Jatropha gossypiifolia,-40.32,-10.26
Jatropha gossypiifolia,-67.859997,-9.940368
Jatropha gossypiifolia,-37.352326,-5.23703
Jatropha gossypiifolia,-38.757352,-6.943067
Jatropha gossypiifolia,-38.780195,-7.05361
Jatropha gossypiifolia,-38.473083,-6.681037
Jatropha gossypiifolia,-38.744251,-6.846604
Jatropha gossypiifolia,-38.490067,-6.634515
Jatropha gossypiifolia,-38.433554,-6.657963
Jatropha gossypiifolia,-48.526484,-27.676465
Jatropha gossypiifolia,-41.298219,-21.738563
Jatropha gossypiifolia,-72.689402,-7.616057
Jatropha gossypiifolia,-38.883583,-6.756034
Jatropha gossypiifolia,-38.451423,-6.959591
Jatropha gossypiifolia,-43.494372,-5.495208
Jatropha gossypiifolia,-43.494378,-5.495222
Jatropha gossypiifolia,-38.746715,-6.858763
Jatropha gossypiifolia,-37.343479,-5.215314
Jatropha gossypiifolia,-44.523517,-22.469212
Jatropha gossypiifolia,-40.599633,-19.935972
Jatropha gossypiifolia,-41.298504,-21.738437
Jatropha gossypiifolia,-41.290367,-21.829895
Jatropha gossypiifolia,-46.551058,-23.665533
Jatropha gossypiifolia,-40.340284,-20.365223
Jatropha gossypiifolia,-42.358333,-22.865833
Jatropha gossypiifolia,-35.977807,-7.275212
Jatropha gossypiifolia,-38.491808,-7.127463
Jatropha gossypiifolia,-46.630855,-23.610127
Jatropha gossypiifolia,-37.767986,-4.560942
Jatropha gossypiifolia,-39.598007,-14.212106
Jatropha gossypiifolia,-37.896581,-9.302285
Jatropha gossypiifolia,-47.828317,-23.413634
Jatropha gossypiifolia,-34.941583,-8.057393
Jatropha gossypiifolia,-49.238521,-16.663017
Jatropha gossypiifolia,-42.008056,-19.323611
Jatropha gossypiifolia,-37.117212,-10.85832
Jatropha gossypiifolia,-49.233546,-26.434316
Jatropha gossypiifolia,-45.077462,-16.371592
Jatropha gossypiifolia,-43.027833,-22.80119
Jatropha gossypiifolia,-36.447673,-9.70834
Jatropha gossypiifolia,-42.737222,-17.289444
Jatropha gossypiifolia,-37.730872,-9.115429
Jatropha gossypiifolia,-46.777477,-24.164507
Jatropha gossypiifolia,-37.730845,-9.115234
Jatropha gossypiifolia,-43.692694,-22.913552
Jatropha gossypiifolia,-55.519519,-11.825278
Jatropha gossypiifolia,-43.692694,-22.913552
Jatropha gossypiifolia,-44.538167,-23.022114
Jatropha gossypiifolia,-46.694444,-23.316944
Jatropha gossypiifolia,-46.694444,-23.316944
Jatropha gossypiifolia,-37.986981,-4.933261
Jatropha gossypiifolia,-47.095543,-23.159499
Jatropha gossypiifolia,-46.713708,-23.525274
Jatropha gossypiifolia,-38.31745,-12.420849
Jatropha gossypiifolia,-47.102924,-22.948719
Jatropha gossypiifolia,-47.13943,-22.775296
Jatropha gossypiifolia,-36.630283,-9.427753
Jatropha gossypiifolia,-42.683033,-13.019396
Jatropha gossypiifolia,-62.007398,-9.494539
Jatropha gossypiifolia,-47.77262,-22.56257
Jatropha gossypiifolia,-51.965508,-22.840171
Jatropha gossypiifolia,-47.083813,-23.131756
Jatropha gossypiifolia,-50.085036,-23.298182
Jatropha gossypiifolia,-39.871178,-12.728125
Jatropha gossypiifolia,-50.870201,-21.789352
Jatropha gossypiifolia,-40.673925,-4.685842
Jatropha gossypiifolia,-43.925273,-19.864372
Jatropha gossypiifolia,-49.448242,-18.973924
Jatropha gossypiifolia,-49.364315,-20.792484
Jatropha gossypiifolia,-46.307778,-23.399722
Jatropha gossypiifolia,-43.369167,-22.888889
Jatropha gossypiifolia,-48.641976,-26.889336
Jatropha gossypiifolia,-43.653083,-22.9972
Jatropha gossypiifolia,-71.908683,-9.007692
Jatropha gossypiifolia,-43.29208,-22.676848
Jatropha gossypiifolia,-43.758867,-22.866653
Jatropha gossypiifolia,-51.3488,-20.402752
Jatropha gossypiifolia,-47.131206,-22.979874
Jatropha gossypiifolia,-43.404946,-22.926699
Jatropha gossypiifolia,-51.829492,-23.465189
Jatropha gossypiifolia,-51.428179,-21.845145
Jatropha gossypiifolia,-48.816097,-18.351545
Jatropha gossypiifolia,-39.261225,-3.270177
Jatropha gossypiifolia,-49.048202,-22.282687
Jatropha gossypiifolia,-38.595277,-3.88966
Jatropha gossypiifolia,-49.736371,-23.059274
Jatropha gossypiifolia,-37.829795,-5.669309
Jatropha gossypiifolia,-44.09439,-22.398575
Jatropha gossypiifolia,-38.93627,-5.691497
Jatropha gossypiifolia,-46.458217,-22.787562
Jatropha gossypiifolia,-38.06987,-5.073972
Jatropha gossypiifolia,-47.123932,-23.043626
Jatropha gossypiifolia,-43.477968,-22.886637
Jatropha gossypiifolia,-47.664425,-22.132011
Jatropha gossypiifolia,-38.605753,-3.799257
Jatropha gossypiifolia,-43.478707,-22.702858
Jatropha gossypiifolia,-35.401016,-9.296256
Jatropha gossypiifolia,-38.366512,-10.039402
Jatropha gossypiifolia,-38.365693,-10.038697
Jatropha gossypiifolia,-35.195861,-5.809625
Jatropha gossypiifolia,-42.112406,-11.140857
Jatropha gossypiifolia,-47.922757,-19.759084
Jatropha gossypiifolia,-44.384855,-22.466072
Jatropha gossypiifolia,-46.493545,-23.516202
Jatropha gossypiifolia,-47.870668,-18.132387
Jatropha gossypiifolia,-46.742041,-23.673054
Jatropha gossypiifolia,-40.720588,-2.898415
Jatropha gossypiifolia,-39.193384,-17.735724
Jatropha gossypiifolia,-46.791106,-22.715633
Jatropha gossypiifolia,-49.353624,-20.742796
Jatropha gossypiifolia,-49.455034,-18.975673
Jatropha gossypiifolia,-48.10993,-24.718866
Jatropha gossypiifolia,-49.455034,-18.975673
Jatropha gossypiifolia,-35.492005,-5.162639
Jatropha gossypiifolia,-49.525371,-22.4288
Jatropha gossypiifolia,-42.783569,-5.145587
Jatropha gossypiifolia,-37.673997,-8.135061
Jatropha gossypiifolia,-47.264647,-5.441633
Jatropha gossypiifolia,-47.213908000000004,-22.851097
Jatropha gossypiifolia,-48.143914,-21.810409
Jatropha gossypiifolia,-34.932682,-8.048707
Jatropha gossypiifolia,-35.850258,-9.775035
Jatropha gossypiifolia,-48.562168,-21.782055
Jatropha gossypiifolia,-46.442749,-24.005121
Jatropha gossypiifolia,-45.19237,-11.032654
Jatropha gossypiifolia,-47.747537,-20.041313
Jatropha gossypiifolia,-48.210976,-21.793023
Jatropha gossypiifolia,-36.638545,-5.113517
Jatropha gossypiifolia,-37.802296,-6.780692
Jatropha gossypiifolia,-42.70162,-13.01664
Jatropha gossypiifolia,-37.141219,-7.96768
Jatropha gossypiifolia,-53.709488,-24.736555
Jatropha gossypiifolia,-46.349354,-23.964111
Jatropha gossypiifolia,-51.851389,-21.358333
Jatropha gossypiifolia,-52.690278,-5.647778
Jatropha gossypiifolia,-38.402972,-3.8365
Jatropha gossypiifolia,-51.851389,-21.358333
Jatropha gossypiifolia,-52.690278,-5.647778
Jatropha gossypiifolia,-47.536894,-23.380399
Jatropha gossypiifolia,-37.795616,-5.6648250000000004
Jatropha gossypiifolia,-51.377488,-11.677501
Jatropha gossypiifolia,-36.598072,-9.01689
Jatropha gossypiifolia,-47.375832,-21.9519
Jatropha gossypiifolia,-52.690278,-5.647778
Jatropha gossypiifolia,-36.915698,-5.629646
Jatropha gossypiifolia,-44.788861,-3.4505
Jatropha gossypiifolia,-40.358163,-17.845816
Jatropha gossypiifolia,-40.35812,-17.846004
Jatropha gossypiifolia,-46.978941,-24.296163
Jatropha gossypiifolia,-50.870916,0.339833
Jatropha gossypiifolia,-47.73603,-21.070081
Jatropha gossypiifolia,-41.11338,-13.066027
Jatropha gossypiifolia,-43.018575,-22.78057
Jatropha gossypiifolia,-56.049444,-1.0975
Jatropha gossypiifolia,-55.969722,-1.299444
Jatropha gossypiifolia,-38.268395,-5.53038
Jatropha gossypiifolia,-35.588307,-7.791101
Jatropha gossypiifolia,-35.58853,-7.791898
Jatropha gossypiifolia,-39.576944,-16.349444
Jatropha gossypiifolia,-43.678001,-22.967237
Jatropha gossypiifolia,-43.454591,-19.988483
Jatropha gossypiifolia,-60.742389,2.809354
Jatropha gossypiifolia,-37.273007,-8.079225
Jatropha gossypiifolia,-48.389071,-16.288766
Jatropha gossypiifolia,-48.389205,-16.288747
Jatropha gossypiifolia,-47.815502,-23.778265
Jatropha gossypiifolia,-44.323115,-19.118927
Jatropha gossypiifolia,-47.838495,-21.172842
Jatropha gossypiifolia,-47.757457,-21.227222
Jatropha gossypiifolia,-54.546192,-20.471342
Jatropha gossypiifolia,-46.342382,-23.941877
Jatropha gossypiifolia,-51.663009,-20.789545
Jatropha gossypiifolia,-47.460251,-21.84164
Jatropha gossypiifolia,-38.887323,-6.67766
Jatropha gossypiifolia,-41.034444,-6.885
Jatropha gossypiifolia,-46.736385,-22.691787
Jatropha gossypiifolia,-47.814561,-21.274818
Jatropha gossypiifolia,-46.614747,-23.188015
Jatropha gossypiifolia,-43.909754,-19.932451
Jatropha gossypiifolia,-42.203452,-22.823656
Jatropha gossypiifolia,-42.959011,-22.806442
Jatropha gossypiifolia,-48.213333,-21.761667
Jatropha gossypiifolia,-47.461621,-23.579429
Jatropha gossypiifolia,-39.308581,-6.359094
Jatropha gossypiifolia,-39.306701,-6.359836
Jatropha gossypiifolia,-44.941917,-2.485417
Jatropha gossypiifolia,-35.573996,-8.672342
Jatropha gossypiifolia,-35.813867,-9.116295
Jatropha gossypiifolia,-47.559444,-23.560278
Jatropha gossypiifolia,-46.566326,-24.061934
Jatropha gossypiifolia,-41.548015,-3.467147
Jatropha gossypiifolia,-51.395831,-22.145751
Jatropha gossypiifolia,-40.883494,-17.11854
Jatropha gossypiifolia,-42.830045,-22.710442
Jatropha gossypiifolia,-40.8007,-14.813733
Jatropha gossypiifolia,-56.166305,-15.622721
Jatropha gossypiifolia,-42.879643,-21.323802
Jatropha gossypiifolia,-37.696453,-4.529753
Jatropha gossypiifolia,-46.646756,-23.190301
Jatropha gossypiifolia,-47.593395,-22.419538
Jatropha gossypiifolia,-43.389018,-22.74134
Jatropha gossypiifolia,-47.593395,-22.419538
Jatropha gossypiifolia,-46.782977,-24.168678
Jatropha gossypiifolia,-54.388611,-22.418056
Jatropha gossypiifolia,-43.053014,-22.553532
Jatropha gossypiifolia,-39.330455,-5.889994
Jatropha gossypiifolia,-49.527271,-11.806043
Jatropha gossypiifolia,-47.150674,-22.831402
Jatropha gossypiifolia,-46.576822,-22.47362
Jatropha gossypiifolia,-34.838066,-7.868717
Jatropha gossypiifolia,-34.838262,-7.868676
Jatropha gossypiifolia,-34.8382,-7.868493
Jatropha gossypiifolia,-34.838091,-7.868739
Jatropha gossypiifolia,-38.888091,-6.678236
Jatropha gossypiifolia,-44.92002,-17.33697
Jatropha gossypiifolia,-44.470448,-22.478641
Jatropha gossypiifolia,-46.559759,-19.499081
Jatropha gossypiifolia,-46.559698,-19.498997
Jatropha gossypiifolia,-47.307028,-23.358283
Jatropha gossypiifolia,-48.027952,-21.118393
Jatropha gossypiifolia,-48.027974,-21.118345
Jatropha gossypiifolia,-46.890026,-24.237032
Jatropha gossypiifolia,-46.218257,-23.314732
Jatropha gossypiifolia,-51.82935,-21.309122
Jatropha gossypiifolia,-46.306952,-23.188122
Jatropha gossypiifolia,-47.179544,-23.269923
Jatropha gossypiifolia,-43.40346,-22.322759
Jatropha gossypiifolia,-47.232222,-23.459444
Jatropha gossypiifolia,-42.894313,-21.986226
Jatropha gossypiifolia,-38.88797,-6.678285
Jatropha gossypiifolia,-38.887935,-6.67838
Jatropha gossypiifolia,-50.88074,-21.796472
Jatropha gossypiifolia,-47.049046,-23.141014
Jatropha gossypiifolia,-39.050153,-12.602056
Jatropha gossypiifolia,-47.814069,-21.206194
Jatropha gossypiifolia,-51.814273,-23.480233
Jatropha gossypiifolia,-34.956945,-8.291073
Jatropha gossypiifolia,-60.065563,-3.017195
Jatropha gossypiifolia,-60.065563,-3.017195
Jatropha gossypiifolia,-43.889786,-4.457265
Jatropha gossypiifolia,-48.629167,-21.175
Jatropha gossypiifolia,-38.298333,-12.878333
Jatropha gossypiifolia,-39.401905,-4.769037
Jatropha gossypiifolia,-34.870545,-7.980424
Jatropha gossypiifolia,-49.26963,-16.595042
Jatropha gossypiifolia,-47.676889,-22.723254
Jatropha gossypiifolia,-47.677048,-22.723333
Jatropha gossypiifolia,-60.039272,-3.079114
Jatropha gossypiifolia,-34.991966,-7.974241
Jatropha gossypiifolia,-56.094847,-15.676632
Jatropha gossypiifolia,-50.914567,-17.165433
Jatropha gossypiifolia,-47.0433,-20.638678
Jatropha gossypiifolia,-45.198989,-22.843718
Jatropha gossypiifolia,-34.824358,-7.113252
Jatropha gossypiifolia,-49.222362,-16.618112
Jatropha gossypiifolia,-49.22266,-16.617878
Jatropha gossypiifolia,-38.466925,-4.174279
