scientific_name,decimalLongitude,decimalLatitude
Kalanchoe delagoensis,-48.983307,-27.24531
Kalanchoe delagoensis,-46.728439,-23.569145
Kalanchoe delagoensis,-44.714828,-23.220092
Kalanchoe delagoensis,-46.713646,-23.674429
Kalanchoe delagoensis,-44.358758,-22.730708
Kalanchoe delagoensis,-46.70595,-23.629121
Kalanchoe delagoensis,-46.638685,-23.055848
Kalanchoe delagoensis,-46.728559,-23.569202
Kalanchoe delagoensis,-46.734072,-23.465912
Kalanchoe delagoensis,-46.594423,-23.502152
Kalanchoe delagoensis,-49.808963,-25.416985
Kalanchoe delagoensis,-38.055554,-7.822933
Kalanchoe delagoensis,-52.814353,-30.06713
Kalanchoe delagoensis,-42.628279,-22.935084
Kalanchoe delagoensis,-42.628279,-22.935084
Kalanchoe delagoensis,-46.664574,-23.595221
Kalanchoe delagoensis,-44.248097,-23.103364
Kalanchoe delagoensis,-48.631507,-28.089841
Kalanchoe delagoensis,-51.144909,-30.017671
Kalanchoe delagoensis,-39.161944,-12.847778
Kalanchoe delagoensis,-46.752507,-23.447577
Kalanchoe delagoensis,-53.528398,-25.782537
Kalanchoe delagoensis,-47.59153,-23.456997
Kalanchoe delagoensis,-43.468825,-23.021836
Kalanchoe delagoensis,-43.980094,-19.874435
Kalanchoe delagoensis,-48.612357,-23.105791
Kalanchoe delagoensis,-46.302547,-19.005783
Kalanchoe delagoensis,-43.399149,-22.453188
Kalanchoe delagoensis,-54.583107,-25.539139
Kalanchoe delagoensis,-47.116667,-23.3675
Kalanchoe delagoensis,-43.948982,-19.950878
Kalanchoe delagoensis,-43.245009,-22.978443
Kalanchoe delagoensis,-40.658208,-20.36257
Kalanchoe delagoensis,-43.949108,-19.951452
Kalanchoe delagoensis,-47.547506,-22.405364
Kalanchoe delagoensis,-44.322758,-22.683649
Kalanchoe delagoensis,-44.322758,-22.683649
Kalanchoe delagoensis,-47.022918,-22.918633
Kalanchoe delagoensis,-44.715076,-23.21869
Kalanchoe delagoensis,-46.435811,-23.683861
Kalanchoe delagoensis,-54.581653,-25.536413
Kalanchoe delagoensis,-46.726067,-23.55655
Kalanchoe delagoensis,-49.291188,-25.461975
Kalanchoe delagoensis,-44.932112,-23.129786
Kalanchoe delagoensis,-46.729804,-23.574479
Kalanchoe delagoensis,-48.001696,-24.69084
Kalanchoe delagoensis,-43.225278,-22.97
Kalanchoe delagoensis,-52.371342,-31.756987
Kalanchoe delagoensis,-46.365863,-23.5686
Kalanchoe delagoensis,-46.365672000000004,-23.568678
Kalanchoe delagoensis,-41.334278,-12.97487
Kalanchoe delagoensis,-43.639105,-23.003199
Kalanchoe delagoensis,-53.026813,-26.144476
Kalanchoe delagoensis,-52.599167,-28.588056
Kalanchoe delagoensis,-46.371434,-22.284179
Kalanchoe delagoensis,-46.876983,-23.464424
Kalanchoe delagoensis,-46.651704,-23.612351
Kalanchoe delagoensis,-43.277652,-22.894468
Kalanchoe delagoensis,-45.74214,-21.534738
Kalanchoe delagoensis,-45.74214,-21.534738
Kalanchoe delagoensis,-47.234792,-23.472098
Kalanchoe delagoensis,-41.922778,-22.508889
Kalanchoe delagoensis,-45.605446,-22.660961
Kalanchoe delagoensis,-48.159768,-21.769919
Kalanchoe delagoensis,-46.729544,-23.563527
Kalanchoe delagoensis,-47.115964,-22.94374
Kalanchoe delagoensis,-42.003926,-22.865284
Kalanchoe delagoensis,-52.186859,-32.170137
Kalanchoe delagoensis,-47.59153,-23.456997
Kalanchoe delagoensis,-43.438268,-22.586237
Kalanchoe delagoensis,-50.92889,-29.874445
Kalanchoe delagoensis,-44.982678,-21.724942
Kalanchoe delagoensis,-43.685084,-22.769235
Kalanchoe delagoensis,-47.85,-21.15
Kalanchoe delagoensis,-38.055556,-7.822778
Kalanchoe delagoensis,-38.055527,-7.822722
Kalanchoe delagoensis,-40.649024,-20.804057
Kalanchoe delagoensis,-46.935778,-23.230278
Kalanchoe delagoensis,-47.533333,-22.383333
Kalanchoe delagoensis,-41.865278000000004,-13.85
Kalanchoe delagoensis,-41.865278000000004,-13.305083
Kalanchoe delagoensis,-41.865278000000004,-13.3
Kalanchoe delagoensis,-41.383333,-13.383333
Kalanchoe delagoensis,-41.383333,-13.566667
Kalanchoe delagoensis,-40.6275,-19.937778
Kalanchoe delagoensis,-40.6275,-19.937778
Kalanchoe delagoensis,-40.304444,-20.276667
Kalanchoe delagoensis,-40.304444,-20.276667
Kalanchoe delagoensis,-47.0608,-22.9056
Kalanchoe delagoensis,-47.0608,-22.9056
Kalanchoe delagoensis,-37.049067,-10.972353
