scientific_name,decimalLongitude,decimalLatitude
Kalanchoe fedtschenkoi,-46.688456,-23.90121
Kalanchoe fedtschenkoi,-38.976111,-12.268056
Kalanchoe fedtschenkoi,-49.321686,-20.541055
Kalanchoe fedtschenkoi,-46.664574,-23.595221
Kalanchoe fedtschenkoi,-42.951567,-22.447607
Kalanchoe fedtschenkoi,-46.664429,-23.588566
Kalanchoe fedtschenkoi,-45.454916,-22.433547
Kalanchoe fedtschenkoi,-48.962723,-20.715373
Kalanchoe fedtschenkoi,-41.669984,-20.764834
Kalanchoe fedtschenkoi,-41.353333,-11.354167
Kalanchoe fedtschenkoi,-47.116667,-23.3675
Kalanchoe fedtschenkoi,-47.116667,-23.3675
Kalanchoe fedtschenkoi,-47.116667,-23.3675
Kalanchoe fedtschenkoi,-46.37468,-23.741181
Kalanchoe fedtschenkoi,-44.143192,-19.957495
Kalanchoe fedtschenkoi,-44.112213,-19.938951
Kalanchoe fedtschenkoi,-43.227657,-22.531128
Kalanchoe fedtschenkoi,-43.866111,-21.741667
Kalanchoe fedtschenkoi,-43.863333,-21.741667
Kalanchoe fedtschenkoi,-43.863333,-21.741666
Kalanchoe fedtschenkoi,-43.863333,-21.741667
Kalanchoe fedtschenkoi,-44.322758,-22.683649
Kalanchoe fedtschenkoi,-42.83552,-22.371592
Kalanchoe fedtschenkoi,-41.817222,-20.337778
Kalanchoe fedtschenkoi,-41.817222,-20.337778
Kalanchoe fedtschenkoi,-43.713156,-20.362589
Kalanchoe fedtschenkoi,-41.824722,-20.372778
Kalanchoe fedtschenkoi,-41.824722,-20.372778
Kalanchoe fedtschenkoi,-43.433313,-22.942903
Kalanchoe fedtschenkoi,-49.24911,-25.402548
Kalanchoe fedtschenkoi,-46.250101,-22.867799
Kalanchoe fedtschenkoi,-42.811111,-22.375
Kalanchoe fedtschenkoi,-42.811111,-22.375
Kalanchoe fedtschenkoi,-41,-20.433333
Kalanchoe fedtschenkoi,-41.207222,-11.590833
Kalanchoe fedtschenkoi,-43.293611,-20.230278
Kalanchoe fedtschenkoi,-41.996944,-22.753889
Kalanchoe fedtschenkoi,-48.680833,-28.104722
Kalanchoe fedtschenkoi,-49.265198,-25.426898
Kalanchoe fedtschenkoi,-41.836944,-20.406944
Kalanchoe fedtschenkoi,-41.836944,-20.406944
Kalanchoe fedtschenkoi,-47.85,-21.166667
Kalanchoe fedtschenkoi,-41.340833,-12.988333
Kalanchoe fedtschenkoi,-52.381111,-24
Kalanchoe fedtschenkoi,-52.822778,-22.599167
Kalanchoe fedtschenkoi,-52.822778,-22.599167
