scientific_name,decimalLongitude,decimalLatitude
Kellicottia bostoniensis,-48.777781,-26.330825
Kellicottia bostoniensis,-48.779389,-26.328864
Kellicottia bostoniensis,-48.782558,-26.327109
Kellicottia bostoniensis,-48.804247,-26.217333
Kellicottia bostoniensis,-48.802331,-26.213242
Kellicottia bostoniensis,-51.038493,-29.763459
Kellicottia bostoniensis,-46.9500947,-21.6148722
Kellicottia bostoniensis,-46.9834969,-21.5982701
Kellicottia bostoniensis,-47.8610022,-22.1290696
Kellicottia bostoniensis,-47.5009992,-21.9268699
Kellicottia bostoniensis,-46.6042992,-23.3260773
Kellicottia bostoniensis,-46.6089995,-23.3990775
Kellicottia bostoniensis,-46.5451002,-23.7918799
Kellicottia bostoniensis,-46.5137001,-23.487178
Kellicottia bostoniensis,-46.5192972,-22.485775
Kellicottia bostoniensis,-46.1922944,-23.6507783
Kellicottia bostoniensis,-46.2653957,-23.59878
