scientific_name,decimalLongitude,decimalLatitude
Kerodon rupestris,-42.553697,-8.833877
Kerodon rupestris,-37.978186,-9.536137
Kerodon rupestris,-40.915941,-5.141782
Kerodon rupestris,-40.915745,-5.141632
Kerodon rupestris,-36.507874,-6.286678
Kerodon rupestris,-42.54473,-8.82853
Kerodon rupestris,-42.54473,-8.82853
Kerodon rupestris,-42.616667,-8.783333
Kerodon rupestris,-41.446778,-12.771303
Kerodon rupestris,-42.482047,-8.769947
Kerodon rupestris,-43.087246,-16.956768
Kerodon rupestris,-42.947268,-16.893821
Kerodon rupestris,-43.903023,-16.741977
Kerodon rupestris,-43.938119,-16.702754
Kerodon rupestris,-43.904534,-16.742103
Kerodon rupestris,-43.904534,-16.742103
Kerodon rupestris,-36.348933,-6.045387
Kerodon rupestris,-44.478482,-14.1695
Kerodon rupestris,-44.526096,-14.188324
Kerodon rupestris,-36.348933,-6.045387
Kerodon rupestris,-47.442195,-7.077522
Kerodon rupestris,-44.974374,-12.361991
Kerodon rupestris,-37.229819,-8.593801
Kerodon rupestris,-42.586267,-8.695278
Kerodon rupestris,-42.586267,-8.695278
Kerodon rupestris,-42.586267,-8.695278
Kerodon rupestris,-42.586267,-8.695278
Kerodon rupestris,-42.515958,-8.798464
Kerodon rupestris,-44.960907,-12.405
Kerodon rupestris,-42.530034,-8.747467
Kerodon rupestris,-42.495474,-8.774003
Kerodon rupestris,-42.494615,-8.769252
Kerodon rupestris,-42.494615,-8.769252
Kerodon rupestris,-42.494615,-8.769252
Kerodon rupestris,-42.494615,-8.769252
Kerodon rupestris,-37.386617,-7.261695
Kerodon rupestris,-44.898843,-12.381444
Kerodon rupestris,-42.546378,-8.84992
Kerodon rupestris,-42.551171,-8.828293
Kerodon rupestris,-42.553223,-8.832042
Kerodon rupestris,-42.553223,-8.832042
Kerodon rupestris,-42.551292,-8.824493
Kerodon rupestris,-42.551292,-8.824493
Kerodon rupestris,-37.384073,-7.252266
Kerodon rupestris,-42.57255,-8.824047
Kerodon rupestris,-42.476716,-8.743063
Kerodon rupestris,-36.27752,-7.369373
Kerodon rupestris,-44.231573,-15.157301
Kerodon rupestris,-44.230578,-15.128896
Kerodon rupestris,-43.165001,-14.263195
Kerodon rupestris,-44.231572,-15.157301
Kerodon rupestris,-36.289032,-6.355498
Kerodon rupestris,-36.27982,-6.350812
Kerodon rupestris,-36.784392,-6.972068
Kerodon rupestris,-36.784392,-6.972074
Kerodon rupestris,-42.489372,-8.781476
Kerodon rupestris,-42.592639,-8.863914
Kerodon rupestris,-41.694602,-4.13523
Kerodon rupestris,-41.719345,-13.700053
Kerodon rupestris,-43.899817,-16.742332
Kerodon rupestris,-38.303189,-7.937234
Kerodon rupestris,-36.783168,-6.972053
Kerodon rupestris,-36.782958,-6.969108
Kerodon rupestris,-38.303271,-7.936773
Kerodon rupestris,-38.300473,-7.93551
Kerodon rupestris,-36.509425,-6.286891
Kerodon rupestris,-43.90193,-16.743645
Kerodon rupestris,-43.903831,-16.743435
Kerodon rupestris,-43.903788,-16.743202
Kerodon rupestris,-44.231573,-15.157301
Kerodon rupestris,-41.45448,-12.77217
Kerodon rupestris,-36.118461,-5.698668
Kerodon rupestris,-36.117582,-5.692424
Kerodon rupestris,-44.239148,-15.106904
Kerodon rupestris,-41.492202,-12.644669
Kerodon rupestris,-39.201344,-9.95721
Kerodon rupestris,-41.496366,-12.319117
Kerodon rupestris,-41.6056,-12.33283
Kerodon rupestris,-44.238275,-15.150169
Kerodon rupestris,-39.516963,-9.821324
Kerodon rupestris,-41.454456,-12.601639
Kerodon rupestris,-37.087238,-6.45756
Kerodon rupestris,-42.638136,-8.678908
Kerodon rupestris,-38.684603,-8.727699
Kerodon rupestris,-44.233553,-15.156081
Kerodon rupestris,-36.21661,-5.780838
Kerodon rupestris,-43.939108,-16.692803
Kerodon rupestris,-39.016126,-4.968438
Kerodon rupestris,-36.24748,-5.65186
Kerodon rupestris,-36.24748,-5.65186
