scientific_name,decimalLongitude,decimalLatitude
Knodus moenkhausii,-53.085275,-21.587798
Knodus moenkhausii,-50.77047,-22.484301
Knodus moenkhausii,-50.76675,-22.506005
Knodus moenkhausii,-50.409064,-21.589737
Knodus moenkhausii,-54.156667,-24.842222
Knodus moenkhausii,-53.257248,-22.765556
Knodus moenkhausii,-50.15146,-21.789259
Knodus moenkhausii,-50.11643,-21.791574
Knodus moenkhausii,-54.375794,-25.433478
Knodus moenkhausii,-50.15146,-21.789259
Knodus moenkhausii,-45.472778,-23.621389
Knodus moenkhausii,-41.728778,-20.348111
Knodus moenkhausii,-41.728778,-20.348111
Knodus moenkhausii,-40.06942,-19.4064
Knodus moenkhausii,-47.3678593,-21.9270812
Knodus moenkhausii,-43.792778,-20.138056
Knodus moenkhausii,-54.2875,-24.901944
Knodus moenkhausii,-42.707222,-18.897778
Knodus moenkhausii,-46.786389,-19.030278
Knodus moenkhausii,-46.814444,-19.035556
Knodus moenkhausii,-54.207658,-24.466742
Knodus moenkhausii,-54.139817,-24.599439
Knodus moenkhausii,-54.147839,-25.247617
Knodus moenkhausii,-53.915025,-25.079808
Knodus moenkhausii,-54.351389,-24.855
Knodus moenkhausii,-54.207658,-24.466742
Knodus moenkhausii,-54.139817,-24.599439
Knodus moenkhausii,-54.220425,-24.975472
Knodus moenkhausii,-54.375794,-25.433478
Knodus moenkhausii,-43.552222,-17.449722
Knodus moenkhausii,-43.552222,-17.449722
Knodus moenkhausii,-43.552222,-17.449722
Knodus moenkhausii,-43.552222,-17.449722
Knodus moenkhausii,-41.899722,-16.725833
Knodus moenkhausii,-41.899722,-16.725833
Knodus moenkhausii,-41.899722,-16.725833
Knodus moenkhausii,-41.899722,-16.725833
Knodus moenkhausii,-43.55,-17.433333
Knodus moenkhausii,-43.55,-17.433333
Knodus moenkhausii,-43.55,-17.433333
Knodus moenkhausii,-43.55,-17.433333
Knodus moenkhausii,-41.066667,-19.483333
Knodus moenkhausii,-41.066667,-19.483333
Knodus moenkhausii,-41.066667,-19.483333
Knodus moenkhausii,-41.066667,-19.483333
Knodus moenkhausii,-41.066667,-19.483333
Knodus moenkhausii,-41.066667,-19.483333
Knodus moenkhausii,-40.518333,-19.0575
Knodus moenkhausii,-42.555883,-16.207244
Knodus moenkhausii,-42.564737,-16.203461
Knodus moenkhausii,-40.567222,-19.056944
Knodus moenkhausii,-54.528194,-16.656306
Knodus moenkhausii,-52.076111,-20.499472
Knodus moenkhausii,-52.076111,-20.499472
Knodus moenkhausii,-51.974861,-21.162083
Knodus moenkhausii,-51.633056,-21.23675
Knodus moenkhausii,-51.633056,-21.23675
Knodus moenkhausii,-51.8145,-21.296167
Knodus moenkhausii,-51.8145,-21.296167
Knodus moenkhausii,-51.618222,-21.444889
