scientific_name,decimalLongitude,decimalLatitude
Laetacara araguaiae,-47.817106,-21.91396
Laetacara araguaiae,-47.154722,-11.654444
Laetacara araguaiae,-52.517203,-21.702294
Laetacara araguaiae,-51.853028,-21.255778
Laetacara araguaiae,-50.563889,-13.232222
Laetacara araguaiae,-54.341111,-24.844444
Laetacara araguaiae,-51.632111,-22.660222
Laetacara araguaiae,-51.631611,-22.660278
Laetacara araguaiae,-55.713333,-11.671722
Laetacara araguaiae,-51.796556,-21.134131
Laetacara araguaiae,-52.110694,-20.392278
Laetacara araguaiae,-51.720889,-20.940167
Laetacara araguaiae,-51.720889,-20.940167
Laetacara araguaiae,-52.008056,-21.197972
Laetacara araguaiae,-52.174417,-21.441889
Laetacara araguaiae,-52.285528,-21.759917
Laetacara araguaiae,-52.465222,-22.018722
Laetacara araguaiae,-55.713389,-11.671694
Laetacara araguaiae,-55.713389,-11.671694
Laetacara araguaiae,-55.578172,-11.485842
Laetacara araguaiae,-55.578631,-11.486542
Laetacara araguaiae,-55.578078,-11.485481
Laetacara araguaiae,-52.29778,-15.67806
Laetacara araguaiae,-52.14944,-15.55167
Laetacara araguaiae,-55.578078,-11.485481
Laetacara araguaiae,-52.158836,-22.611742
Laetacara araguaiae,-52.158836,-22.611742
Laetacara araguaiae,-56.483235,-9.453736
Laetacara araguaiae,-52.158836,-22.611742
Laetacara araguaiae,-52.158836,-22.611742
Laetacara araguaiae,-52.158836,-22.611742
Laetacara araguaiae,-52.158836,-22.611742
Laetacara araguaiae,-53.219722,-22.675
Laetacara araguaiae,-53.3425,-22.741389
Laetacara araguaiae,-53.345,-22.753056
Laetacara araguaiae,-50.035833,-18.573333
Laetacara araguaiae,-55.1875,-3.356389
Laetacara araguaiae,-55.171389,-3.255833
Laetacara araguaiae,-55.212778,-3.361111
Laetacara araguaiae,-52.872222,-22.600278
Laetacara araguaiae,-52.872222,-22.601944
Laetacara araguaiae,-53.7942,-23.3538
Laetacara araguaiae,-53.343611,-22.750278
Laetacara araguaiae,-53.268889,-22.756667
Laetacara araguaiae,-50.631667,-13.431667
Laetacara araguaiae,-56.470556,-9.459444
Laetacara araguaiae,-56.315278,-9.549444
Laetacara araguaiae,-56.315278,-9.549444
Laetacara araguaiae,-56.490833,-9.449167
Laetacara araguaiae,-48.780833,-6.723611
Laetacara araguaiae,-48.5375,-6.327153
Laetacara araguaiae,-56.613889,-9.376944
Laetacara araguaiae,-52.929722,-19.177222
Laetacara araguaiae,-53.08472,-22.669222
Laetacara araguaiae,-53.08472,-22.669222
Laetacara araguaiae,-53.0858,-22.6734
Laetacara araguaiae,-52.519722,-19.493611
Laetacara araguaiae,-53.217778,-22.724167
Laetacara araguaiae,-52.962222,-22.200111
Laetacara araguaiae,-53.317833,-22.717222
Laetacara araguaiae,-53.317833,-22.717222
Laetacara araguaiae,-47.80628,-21.624083
Laetacara araguaiae,-55.294444,-11.094722
Laetacara araguaiae,-51.657223,-11.899445
Laetacara araguaiae,-51.779167,-12.536111
Laetacara araguaiae,-51.635834,-11.809722
Laetacara araguaiae,-51.63,-10.869722
Laetacara araguaiae,-51.621666,-10.996388
Laetacara araguaiae,-51.699444,-11.607223
Laetacara araguaiae,-48.364167,-10.445278
Laetacara araguaiae,-48.377224,-10.478889
Laetacara araguaiae,-48.3225,-10.423611
Laetacara araguaiae,-48.375833,-10.3375
Laetacara araguaiae,-53.286472,-22.722055
Laetacara araguaiae,-53.286472,-22.722055
Laetacara araguaiae,-51.646389,-11.025
Laetacara araguaiae,-48.3225,-10.423611
Laetacara araguaiae,-48.364167,-10.445278
Laetacara araguaiae,-51.065833,-19.291111
Laetacara araguaiae,-51.16,-12.881111
Laetacara araguaiae,-50.503056,-20.22
Laetacara araguaiae,-42.333332,-21.066668
Laetacara araguaiae,-51.784167,-20.8225
Laetacara araguaiae,-48.548333,-17.726944
Laetacara araguaiae,-51.630278,-20.779444
Laetacara araguaiae,-51.70465,-20.787158
Laetacara araguaiae,-51.70465,-20.787158
Laetacara araguaiae,-48.141388,-13.741944
Laetacara araguaiae,-50.583333,-13.233333
Laetacara araguaiae,-50.216667,-13.316667
Laetacara araguaiae,-53.25,-22.666667
Laetacara araguaiae,-53.25,-22.75
Laetacara araguaiae,-53.266944,-22.771944
Laetacara araguaiae,-53.266944,-22.771944
Laetacara araguaiae,-52.849998,-17.4
Laetacara araguaiae,-53.25,-22.75
Laetacara araguaiae,-53.25,-22.75
Laetacara araguaiae,-48.75,-11.05
Laetacara araguaiae,-48.75,-11.05
Laetacara araguaiae,-50.924386,-17.795338
Laetacara araguaiae,-54.591667,-25.555833
Laetacara araguaiae,-55.745206,-11.707439
Laetacara araguaiae,-55.306083,-11.094611
Laetacara araguaiae,-55.305806,-11.094833
Laetacara araguaiae,-55.42775,-11.600861
