Species,decimalLongitude,decimalLatitude
Lantana camara,-48.641445,-26.915825
Lantana camara,-72.683497,-7.613133
Lantana camara,-47.88836,-15.728842
Lantana camara,-52.463516,-31.450863
Lantana camara,-51.037956,-27.576222
Lantana camara,-37.294167,-10.762806
Lantana camara,-44.705,-21.472778
Lantana camara,-48.644853,-28.1433
Lantana camara,-48.644747,-28.143462
Lantana camara,-48.65283,-28.151692
Lantana camara,-50.471521,-29.574934
Lantana camara,-51.609527,-27.100442
Lantana camara,-51.403567,-28.987216
Lantana camara,-39.135946,-5.089709
Lantana camara,-38.453268,-6.982393
Lantana camara,-38.641939,-3.719749
Lantana camara,-43.675833,-20.456389
Lantana camara,-48.813326000000004,-28.443218
Lantana camara,-40.52808,-19.871952
Lantana camara,-42.06176,-21.668122
Lantana camara,-36.032883,-8.35828
Lantana camara,-40.600313,-19.935822
Lantana camara,-40.600395,-19.935515
Lantana camara,-44.014623,-19.864744
Lantana camara,-44.00826,-19.85883
Lantana camara,-44.016791,-19.866908
Lantana camara,-43.948894,-19.788874
Lantana camara,-43.898207,-19.896133
Lantana camara,-43.905792,-19.952762
Lantana camara,-43.897888,-19.931483
Lantana camara,-40.527245,-19.954588
Lantana camara,-43.89787,-19.931451
Lantana camara,-40.60839,-19.935463
Lantana camara,-43.920406,-19.965144
Lantana camara,-44.025882,-19.98266
Lantana camara,-43.973156,-19.876687
Lantana camara,-43.974813,-19.883978
Lantana camara,-43.6075,-20.460556
Lantana camara,-48.493522,-27.659953
Lantana camara,-35.72872,-8.49051
Lantana camara,-54.585376,-25.51631
Lantana camara,-43.618355,-22.935341
Lantana camara,-48.629653,-28.010747
Lantana camara,-40.340253,-20.365195
Lantana camara,-40.340253,-20.365195
Lantana camara,-42.150528,-22.244951
Lantana camara,-39.065278,-12.383611
Lantana camara,-38.908333,-12.34
Lantana camara,-52.398139,-24.163806
Lantana camara,-41.76,-14.76
Lantana camara,-64.743373,-3.439754
Lantana camara,-41.178567,-21.906353
Lantana camara,-43.638929,-22.987187
Lantana camara,-60.626022,-3.263412
Lantana camara,-51.122873,-30.066732
Lantana camara,-35.655833,-9.574167
Lantana camara,-40.499722,-13.14
Lantana camara,-42.571389,-11.806389
Lantana camara,-41.889167,-12.4575
Lantana camara,-46.7865,-0.992194
Lantana camara,-39.396003,-6.459425
Lantana camara,-39.397097,-6.4576
Lantana camara,-48.42628,-27.589095
Lantana camara,-48.44267,-27.609003
Lantana camara,-39.859725,-18.675506
Lantana camara,-42.542705,-22.30375
Lantana camara,-67.809819,-9.974025
Lantana camara,-43.178808,-22.505647
Lantana camara,-46.469967,-23.576671
Lantana camara,-48.636388,-26.967905
Lantana camara,-51.177136,-30.052662
Lantana camara,-48.675242,-26.755534
Lantana camara,-44.269011,-23.181825
Lantana camara,-49.508074,-28.489235
Lantana camara,-40.240861,-10.261111
Lantana camara,-40.40923,-10.791741
Lantana camara,-54.712698,-2.42234
Lantana camara,-36.247222,-7.357778
Lantana camara,-39.415833,-17.141667
Lantana camara,-48.852867,-28.602556
Lantana camara,-46.480328,-23.610041
Lantana camara,-54.447334,-25.682301
Lantana camara,-52.256006,-32.041916
Lantana camara,-41.22,-11.16
Lantana camara,-39.415556,-17.140833
Lantana camara,-39.415833,-17.141667
Lantana camara,-47.460826,-0.762109
Lantana camara,-47.829157,-15.835812
Lantana camara,-43.224444,-22.858056
Lantana camara,-50.8974,-29.538652
Lantana camara,-38.871206,-3.598458
Lantana camara,-51.104212,-30.00535
Lantana camara,-49.267825,-26.871442
Lantana camara,-39.337928,-3.81757
Lantana camara,-48.501052,-27.751319
Lantana camara,-51.120991,-30.06904
Lantana camara,-39.967333000000004,-19.173061
Lantana camara,-48.62965,-26.955237
Lantana camara,-40.5,-11.52
Lantana camara,-39.330556,-7.106944
Lantana camara,-40.214722,-10.245278
Lantana camara,-41.04,-11.88
Lantana camara,-41.159722,-11.611111
Lantana camara,-35.91138,-7.26153
Lantana camara,-53.534417,-29.707626
Lantana camara,-51.059951,-29.95007
Lantana camara,-48.407767,-27.461848
Lantana camara,-43.634444,-20.505833
Lantana camara,-38.177253,-6.3286
Lantana camara,-38.454949,-6.978817
Lantana camara,-38.714977,-6.898212
Lantana camara,-38.247898,-6.308726
Lantana camara,-38.412478,-6.989078
Lantana camara,-38.453152,-6.967056
Lantana camara,-38.651648,-6.815165
Lantana camara,-38.432399,-6.686283
Lantana camara,-38.630757,-6.843789
Lantana camara,-39.852226,-18.726799
Lantana camara,-49.423245,-28.646378
Lantana camara,-49.764473,-29.377442
Lantana camara,-48.628442,-26.941008
Lantana camara,-51.203611,-29.494444
Lantana camara,-49.261491,-25.405196
Lantana camara,-49.33466,-26.753336
Lantana camara,-49.092499,-25.521738
Lantana camara,-47.634417,-22.711884
Lantana camara,-49.46574,-28.532681
Lantana camara,-52.357472,-24.005917
Lantana camara,-48.743055,-1.554167
Lantana camara,-38.733297,-7.074925
Lantana camara,-38.855359,-7.052418
Lantana camara,-38.590668,-6.9115
