Species,decimalLongitude,decimalLatitude
Leiosolenus aristatus,-44.119322,-23.151222
Leiosolenus aristatus,-44.679655,-23.220375
Leiosolenus aristatus,-44.444227,-23.013794
Leiosolenus aristatus,-44.341027,-22.979444
Leiosolenus aristatus,-44.408916,-22.989916
Leiosolenus aristatus,-44.4285,-22.994944
Leiosolenus aristatus,-44.414555,-22.967888
Leiosolenus aristatus,-44.368333,-22.966361
Leiosolenus aristatus,-44.354361,-22.985333
Leiosolenus aristatus,-44.354361,-22.985333
Leiosolenus aristatus,-44.160577,-23.132617
Leiosolenus aristatus,-44.160577,-23.132617
Leiosolenus aristatus,-44.160577,-23.132617
