scientific_name,decimalLongitude,decimalLatitude
Leontopithecus chrysomelas,-39.175103,-14.916144
Leontopithecus chrysomelas,-41.331103,-11.390033
Leontopithecus chrysomelas,-42.927624,-22.896956
Leontopithecus chrysomelas,-39.193891,-14.770295
Leontopithecus chrysomelas,-39.07869,-15.108764
Leontopithecus chrysomelas,-39.303583,-14.827286
Leontopithecus chrysomelas,-39.100499,-14.656091
Leontopithecus chrysomelas,-39.122173,-15.632494
Leontopithecus chrysomelas,-39.112408,-15.666583
Leontopithecus chrysomelas,-39.191854,-14.633172
Leontopithecus chrysomelas,-39.142209,-14.73184
Leontopithecus chrysomelas,-39.163659,-14.656132
Leontopithecus chrysomelas,-39.078967,-15.132332
Leontopithecus chrysomelas,-39.038494,-15.22615
Leontopithecus chrysomelas,-39.065228,-15.046266
Leontopithecus chrysomelas,-39.068398,-14.831936
Leontopithecus chrysomelas,-39.00945,-15.327511
Leontopithecus chrysomelas,-40.599722,-19.935556
