scientific_name,decimalLongitude,decimalLatitude
Leporinus friderici,-56.437268,-21.437026
Leporinus friderici,-49.122075,-6.863101
Leporinus friderici,-62.827565,-9.878655
Leporinus friderici,-52.592982,-18.38531
Leporinus friderici,-52.144495,-18.504984
Leporinus friderici,-53.991433,-21.778499
Leporinus friderici,-54.130556,-24.868333
Leporinus friderici,-53.251944,-22.761111
Leporinus friderici,-48.38288,-20.535922
Leporinus friderici,-56.438416,-21.437918
Leporinus friderici,-56.435962,-21.436856
Leporinus friderici,-60.34533,-3.188578
Leporinus friderici,-59.362004,-10.086581
Leporinus friderici,-59.361928,-10.086625
Leporinus friderici,-47.596944,-23.423889
Leporinus friderici,-53.508328,-21.586892
Leporinus friderici,-53.486248,-15.376577
Leporinus friderici,-56.388333,-20.263056
Leporinus friderici,-53.290278,-22.723056
Leporinus friderici,-57.018333,-19.577222
Leporinus friderici,-57.018333,-19.577222
Leporinus friderici,-57.018333,-19.577222
Leporinus friderici,-57.018333,-19.577222
Leporinus friderici,-57.018333,-19.577222
Leporinus friderici,-57.018333,-19.577222
Leporinus friderici,-57.018333,-19.577222
Leporinus friderici,-57.018333,-19.577222
Leporinus friderici,-57.018333,-19.577222
Leporinus friderici,-57.018333,-19.577222
Leporinus friderici,-57.018333,-19.577222
Leporinus friderici,-57.018333,-19.577222
Leporinus friderici,-47.811085,-21.169402
Leporinus friderici,-47.367361,-21.92675
Leporinus friderici,-47.367361,-21.92675
Leporinus friderici,-47.367361,-21.92675
Leporinus friderici,-47.367361,-21.92675
Leporinus friderici,-47.367361,-21.92675
Leporinus friderici,-47.367361,-21.92675
Leporinus friderici,-47.367361,-21.92675
Leporinus friderici,-47.367361,-21.92675
Leporinus friderici,-47.367361,-21.92675
Leporinus friderici,-47.367361,-21.92675
Leporinus friderici,-47.367361,-21.92675
Leporinus friderici,-47.367361,-21.92675
Leporinus friderici,-47.367361,-21.92675
Leporinus friderici,-47.367361,-21.92675
Leporinus friderici,-47.367361,-21.92675
Leporinus friderici,-47.367361,-21.92675
Leporinus friderici,-47.367361,-21.92675
Leporinus friderici,-47.367361,-21.92675
Leporinus friderici,-48.424643,-13.995796
Leporinus friderici,-51.706111,-19.114167
Leporinus friderici,-49.2496346,-21.9092885
Leporinus friderici,-58.926667,-12.849722
Leporinus friderici,-68.408152,-9.092477
Leporinus friderici,-52.170505,-6.74885
Leporinus friderici,-54.579444,-25.434444
Leporinus friderici,-54.933228,-10.065194
Leporinus friderici,-54.954811,-10.073564
Leporinus friderici,-47.824925,-24.403756
Leporinus friderici,-47.729269,-24.329961
Leporinus friderici,-49.19279,-21.76392
Leporinus friderici,-49.19279,-21.76392
Leporinus friderici,-49.19279,-21.76392
Leporinus friderici,-58.926667,-12.849722
Leporinus friderici,-54.549444,-25.446944
Leporinus friderici,-50.9,1.5
Leporinus friderici,-50.9,1.5
Leporinus friderici,-50.9,1.5
Leporinus friderici,-50.9,1.5
Leporinus friderici,-53.566111,-22.830278
Leporinus friderici,-49.1932008,-21.7643862
Leporinus friderici,-47.36746,-21.92661
Leporinus friderici,-47.36746,-21.92661
Leporinus friderici,-47.36746,-21.92661
Leporinus friderici,-53.366198,-19.878234
Leporinus friderici,-63.1275,-9.57
Leporinus friderici,-63.0575,-10.024722
Leporinus friderici,-53.014222,-22.522778
Leporinus friderici,-52.117306,-21.037422
Leporinus friderici,-51.075833,-23.385
Leporinus friderici,-47.5304851,-21.7976044
Leporinus friderici,-47.3678593,-21.9270812
Leporinus friderici,-58.639033,-2.836881
Leporinus friderici,-51.482944,-16.540747
Leporinus friderici,-46.95912,-22.26854
Leporinus friderici,-46.95912,-22.26854
Leporinus friderici,-46.95912,-22.26854
Leporinus friderici,-54.332946,-24.17223
Leporinus friderici,-54.203333,-24.918611
Leporinus friderici,-59.010278,-3.227222
Leporinus friderici,-63.111111,-10.205833
Leporinus friderici,-63.147778,-9.946389
Leporinus friderici,-56.97985,-10.3516
Leporinus friderici,-57.018056,-19.576667
Leporinus friderici,-57.018056,-19.576667
Leporinus friderici,-51.580694,-22.690194
Leporinus friderici,-56.975,-19.607778
Leporinus friderici,-56.983333,-10.332778
Leporinus friderici,-56.980278,-10.332222
Leporinus friderici,-56.97985,-10.3516
Leporinus friderici,-56.961667,-10.360556
Leporinus friderici,-56.987778,-10.358333
Leporinus friderici,-56.969444,-10.361389
Leporinus friderici,-56.983889,-10.330556
Leporinus friderici,-50.304167,-16.155833
Leporinus friderici,-47.367361,-21.92675
Leporinus friderici,-47.367361,-21.92675
Leporinus friderici,-50.607778,-13.276389
Leporinus friderici,-50.607778,-13.276389
Leporinus friderici,-50.563889,-13.232222
Leporinus friderici,-50.563889,-13.232222
Leporinus friderici,-47.3678593,-21.9270812
Leporinus friderici,-46.9595176,-22.2690132
Leporinus friderici,-50.061667,-3.815556
Leporinus friderici,-51.377778,-6.583333
Leporinus friderici,-52.120333,-21.020222
Leporinus friderici,-54.046944,-24.126388
Leporinus friderici,-53.785,-24.201944
Leporinus friderici,-56.965,-10.360833
Leporinus friderici,-56.987778,-10.358333
Leporinus friderici,-56.961667,-10.360556
Leporinus friderici,-56.979722,-10.351944
Leporinus friderici,-56.982222,-10.35
Leporinus friderici,-56.982222,-10.351667
Leporinus friderici,-56.998889,-10.358611
Leporinus friderici,-56.97985,-10.3516
Leporinus friderici,-52.481667,-21.689089
Leporinus friderici,-58.926667,-12.849722
Leporinus friderici,-58.918056,-12.910556
Leporinus friderici,-55.708556,-11.726639
Leporinus friderici,-56.983889,-10.330556
Leporinus friderici,-56.982222,-10.35
Leporinus friderici,-56.97985,-10.3516
Leporinus friderici,-56.981389,-10.351667
Leporinus friderici,-56.985556,-10.326111
Leporinus friderici,-56.987778,-10.358333
Leporinus friderici,-56.971667,-10.361944
Leporinus friderici,-56.965,-10.360833
Leporinus friderici,-56.961667,-10.360556
Leporinus friderici,-56.969444,-10.361389
Leporinus friderici,-56.979722,-10.351944
Leporinus friderici,-56.982222,-10.351667
Leporinus friderici,-56.998889,-10.358611
Leporinus friderici,-57.018056,-19.576667
Leporinus friderici,-54.280361,-19.315889
Leporinus friderici,-51.414258,-16.476731
Leporinus friderici,-47.428333,-20.731944
Leporinus friderici,-47.428333,-20.731944
Leporinus friderici,-55.687472,-11.60725
Leporinus friderici,-51.131403,-23.026519
Leporinus friderici,-51.131403,-23.026519
Leporinus friderici,-58.926667,-12.849722
Leporinus friderici,-56.969444,-10.361389
Leporinus friderici,-56.965,-10.360833
Leporinus friderici,-56.979722,-10.351944
Leporinus friderici,-56.981389,-10.351667
Leporinus friderici,-56.961667,-10.360556
Leporinus friderici,-56.998889,-10.358611
Leporinus friderici,-56.971667,-10.361944
Leporinus friderici,-56.983333,-10.332778
Leporinus friderici,-55.931944,-9.606667
Leporinus friderici,-56.982222,-10.35
Leporinus friderici,-56.980278,-10.332222
Leporinus friderici,-55.745222,-11.707889
Leporinus friderici,-58.507028,-3.086639
Leporinus friderici,-57.693333,-11.159167
Leporinus friderici,-54.185314,-19.345633
Leporinus friderici,-56.987778,-10.358333
Leporinus friderici,-56.982222,-10.351667
Leporinus friderici,-56.971667,-10.361944
Leporinus friderici,-56.982222,-10.35
Leporinus friderici,-47.6172082,-24.3247575
Leporinus friderici,-56.97985,-10.3516
Leporinus friderici,-56.982222,-10.351667
Leporinus friderici,-56.981389,-10.351667
Leporinus friderici,-56.971667,-10.361944
Leporinus friderici,-56.969444,-10.361389
Leporinus friderici,-56.982222,-10.35
Leporinus friderici,-51.121111,-6.531944
Leporinus friderici,-51.286667,-4.662222
Leporinus friderici,-56.971667,-10.361944
Leporinus friderici,-56.961667,-10.360556
Leporinus friderici,-56.97985,-10.3516
Leporinus friderici,-56.961667,-10.360556
Leporinus friderici,-56.982222,-10.35
Leporinus friderici,-56.981389,-10.351667
Leporinus friderici,-56.969444,-10.361389
Leporinus friderici,-56.965,-10.360833
Leporinus friderici,-56.987778,-10.358333
Leporinus friderici,-56.983333,-10.332778
Leporinus friderici,-56.980278,-10.332222
Leporinus friderici,-56.998889,-10.358611
Leporinus friderici,-56.982222,-10.351667
Leporinus friderici,-57.018333,-19.576944
Leporinus friderici,-70.04502,-4.40676
Leporinus friderici,-70.93625,-4.38461
Leporinus friderici,-70.2859,-4.61246
Leporinus friderici,-55.038816,-28.134763
Leporinus friderici,-63.068889,-9.939167
Leporinus friderici,-62.988611,-10.255556
Leporinus friderici,-63.147778,-10.083611
Leporinus friderici,-63.1275,-9.57
Leporinus friderici,-63.0575,-10.024722
Leporinus friderici,-56.97985,-10.3516
Leporinus friderici,-56.978333,-10.321111
Leporinus friderici,-56.998889,-10.358611
Leporinus friderici,-48.969444,-3.594167
Leporinus friderici,-53.740278000000004,-17.995833
Leporinus friderici,-50.946667,1.493333
Leporinus friderici,-50.207778,-5.721111
Leporinus friderici,-52.120333,-21.020222
Leporinus friderici,-54.896389,-27.700278
Leporinus friderici,-63.003611,-10.065278
Leporinus friderici,-63.147778,-10.083611
Leporinus friderici,-63.147778,-9.946389
Leporinus friderici,-63.0575,-10.024722
Leporinus friderici,-53.256111,-13.849444
Leporinus friderici,-56.971667,-10.361944
Leporinus friderici,-56.982222,-10.35
Leporinus friderici,-56.987778,-10.358333
Leporinus friderici,-56.982222,-10.351667
Leporinus friderici,-56.97985,-10.3516
Leporinus friderici,-56.981389,-10.351667
Leporinus friderici,-56.987778,-10.358333
Leporinus friderici,-56.979722,-10.351944
Leporinus friderici,-56.998889,-10.358611
Leporinus friderici,-50.034722,-5.452222
Leporinus friderici,-50.582778,-6.331944
Leporinus friderici,-49.748833,-19.904583
Leporinus friderici,-49.748833,-19.904583
Leporinus friderici,-46.307222,-23.142778
Leporinus friderici,-58.918056,-12.910556
Leporinus friderici,-56.979722,-10.351944
Leporinus friderici,-47.218329,-22.730929
Leporinus friderici,-55.701558,-11.662056
Leporinus friderici,-55.75,-11.706
Leporinus friderici,-56.979722,-10.351944
Leporinus friderici,-57.018056,-19.576667
Leporinus friderici,-57.018056,-19.576667
Leporinus friderici,-57.018056,-19.576667
Leporinus friderici,-57.018056,-19.576667
Leporinus friderici,-50.238333,-6.527778
Leporinus friderici,-51.126667,-6.520556
Leporinus friderici,-72.659444,-7.675556
Leporinus friderici,-72.666667,-7.633333
Leporinus friderici,-58.926667,-12.849722
Leporinus friderici,-59.978056,-7.249167
Leporinus friderici,-59.93733,-7.25444
Leporinus friderici,-59.921883,-7.212082
Leporinus friderici,-59.33427,-6.94735
Leporinus friderici,-57.018889,-19.5775
Leporinus friderici,-54.076583,-2.237667
Leporinus friderici,-48.960931,-1.005647
Leporinus friderici,-55.71075,-11.681058
Leporinus friderici,-55.701558,-11.662056
Leporinus friderici,-55.713219,-11.671658
Leporinus friderici,-55.701558,-11.662056
Leporinus friderici,-55.419167,-2.056306
Leporinus friderici,-45.0825,-2.521389
Leporinus friderici,-45.0825,-2.521389
Leporinus friderici,-51.0625,-20.561944
Leporinus friderici,-57.009925,-9.116667
Leporinus friderici,-56.786667,-9.316389
Leporinus friderici,-53.359722,-19.876944
Leporinus friderici,-53.359722,-19.876944
Leporinus friderici,-55.039806,-2.186083
Leporinus friderici,-56.777222,-9.345556
Leporinus friderici,-58.918056,-12.910556
Leporinus friderici,-55.128111,-2.309444
Leporinus friderici,-51.194167,0.853056
Leporinus friderici,-56.774167,-9.391111
Leporinus friderici,-47.316389,-21.949444
Leporinus friderici,-47.315556,-21.95
Leporinus friderici,-48.170833,-21.173333
Leporinus friderici,-47.316389,-21.949444
Leporinus friderici,-48.170833,-21.173333
Leporinus friderici,-47.818333,-21.615556
Leporinus friderici,-54.556583,-9.406611
Leporinus friderici,-54.968361,-8.499722
Leporinus friderici,-58.77939,-3.93262
Leporinus friderici,-55.128611,-8.173611
Leporinus friderici,-59.093524,-3.994864
Leporinus friderici,-59.09078,-3.98963
Leporinus friderici,-55.39225,-8.39621
Leporinus friderici,-55.27133,-8.18143
Leporinus friderici,-57.035833,-19.605833
Leporinus friderici,-57.017778,-19.576389
Leporinus friderici,-57.035833,-19.605833
Leporinus friderici,-57.017778,-19.576389
Leporinus friderici,-54.95724,-9.62023
