Species,decimalLongitude,decimalLatitude
Leporinus tigrinus,-53.251944,-22.761111
Leporinus tigrinus,-53.251944,-22.761111
Leporinus tigrinus,-53.529167,-22.890278
Leporinus tigrinus,-54.549444,-25.446944
Leporinus tigrinus,-47.573,-5.468
Leporinus tigrinus,-54.549444,-25.446944
Leporinus tigrinus,-51.853028,-21.255778
Leporinus tigrinus,-52.117306,-21.037422
Leporinus tigrinus,-51.481167,-16.537458
Leporinus tigrinus,-51.482944,-16.540747
Leporinus tigrinus,-51.427517,-16.498217
Leporinus tigrinus,-54.369383,-24.828403
Leporinus tigrinus,-50.607778,-13.276389
Leporinus tigrinus,-50.607778,-13.276389
Leporinus tigrinus,-50.607778,-13.276389
Leporinus tigrinus,-50.563889,-13.232222
Leporinus tigrinus,-50.563889,-13.232222
Leporinus tigrinus,-50.607777,-13.276388
Leporinus tigrinus,-50.56389,-12.215555
Leporinus tigrinus,-52.120333,-21.020222
Leporinus tigrinus,-52.146107,-21.037216
Leporinus tigrinus,-55.510167,-11.40275
Leporinus tigrinus,-55.510167,-11.40275
Leporinus tigrinus,-54.351389,-24.855
Leporinus tigrinus,-54.555833,-25.438889
Leporinus tigrinus,-55.453581,-11.270669
Leporinus tigrinus,-52.12,-21.037
Leporinus tigrinus,-52.12,-21.04
Leporinus tigrinus,-52.12,-21.037
Leporinus tigrinus,-52.12,-21.037
Leporinus tigrinus,-52.12,-21.037
Leporinus tigrinus,-52.12,-21.037
Leporinus tigrinus,-52.12,-21.04
Leporinus tigrinus,-52.12,-21.04
Leporinus tigrinus,-52.12,-21.04
Leporinus tigrinus,-52.12,-21.04
Leporinus tigrinus,-52.120333,-21.020222
Leporinus tigrinus,-56.777564,-9.331242
Leporinus tigrinus,-53.623056,-23.097778
Leporinus tigrinus,-52.481667,-21.689089
Leporinus tigrinus,-52.481667,-21.689089
Leporinus tigrinus,-52.180694,-1.930528
Leporinus tigrinus,-52.254444,-1.731389
Leporinus tigrinus,-51.690972,-3.127806
Leporinus tigrinus,-52.180556,-1.930556
Leporinus tigrinus,-51.998056,-15.874722
Leporinus tigrinus,-52.734444,-3.842222
Leporinus tigrinus,-52.734417,-3.8423060000000002
Leporinus tigrinus,-51.733028,-3.365028
Leporinus tigrinus,-51.733056,-3.365
Leporinus tigrinus,-51.733028,-3.365028
Leporinus tigrinus,-52.481667,-21.689089
Leporinus tigrinus,-52.481667,-21.689089
Leporinus tigrinus,-56.778056,-9.321667
Leporinus tigrinus,-52.481667,-21.689089
Leporinus tigrinus,-52.481667,-21.689089
Leporinus tigrinus,-50.038889,-18.716389
Leporinus tigrinus,-56.778333,-9.346944
Leporinus tigrinus,-51.94,-2.888333
Leporinus tigrinus,-51.726667,-3.365556
Leporinus tigrinus,-52.378589,-3.651261
Leporinus tigrinus,-52.254444,-1.731667
Leporinus tigrinus,-61.983611,-9.446111
Leporinus tigrinus,-52.548056,-19.461667
Leporinus tigrinus,-52.483333,-3.711111
Leporinus tigrinus,-52.483333,-3.711111
Leporinus tigrinus,-52.483333,-3.711111
Leporinus tigrinus,-52.483333,-3.711111
Leporinus tigrinus,-51.876111,-3.496944
Leporinus tigrinus,-52.483333,-3.711111
Leporinus tigrinus,-51.734028,-3.365056
Leporinus tigrinus,-56.778056,-9.321667
Leporinus tigrinus,-50.503889,-19.0425
Leporinus tigrinus,-50.503889,-19.0425
Leporinus tigrinus,-48.234444,-4.555556
Leporinus tigrinus,-52.186111,-3.325
Leporinus tigrinus,-52.18611,-3.325
Leporinus tigrinus,-50.575,-12.851389
Leporinus tigrinus,-50.503889,-19.0425
Leporinus tigrinus,-56.793889,-9.308333
Leporinus tigrinus,-50.502222,-18.994444
Leporinus tigrinus,-50.503889,-19.0425
Leporinus tigrinus,-55.958889,-4.339722
Leporinus tigrinus,-50.665556,-19.133056
Leporinus tigrinus,-48.392778,-6.134722
Leporinus tigrinus,-48.305694,-6.123389
Leporinus tigrinus,-50.665556,-19.133056
Leporinus tigrinus,-50.503889,-19.0425
Leporinus tigrinus,-56.775833,-9.341389
Leporinus tigrinus,-56.775833,-9.34
Leporinus tigrinus,-50.669444,-19.0425
Leporinus tigrinus,-53.184167,-15.799167
Leporinus tigrinus,-47.055833,-12.368889
Leporinus tigrinus,-47.055832,-12.368889
Leporinus tigrinus,-46.921667,-11.369444
Leporinus tigrinus,-49.600834,-18.5375
Leporinus tigrinus,-49.600833,-18.537222
Leporinus tigrinus,-51.668889,-3.126944
Leporinus tigrinus,-51.668889,-3.126944
Leporinus tigrinus,-48.548333,-17.726944
Leporinus tigrinus,-49.053333,-14.616667
Leporinus tigrinus,-48.416667,-13.782778
Leporinus tigrinus,-52.318611,-3.491111
Leporinus tigrinus,-52.318611,-3.491111
Leporinus tigrinus,-51.9275,-3.496389
Leporinus tigrinus,-52.318611,-3.491111
Leporinus tigrinus,-48.283333,-13.8475
Leporinus tigrinus,-48.283333,-13.816667
Leporinus tigrinus,-52.188611,-3.349167
Leporinus tigrinus,-56.263889,-4.561389
Leporinus tigrinus,-55.877778,-5.453056
Leporinus tigrinus,-56.263889,-4.561389
Leporinus tigrinus,-56.263889,-4.561389
Leporinus tigrinus,-56.263889,-4.561389
Leporinus tigrinus,-55.877778,-5.453056
Leporinus tigrinus,-51.855556,-3.563056
Leporinus tigrinus,-48.316667,-13.833333
Leporinus tigrinus,-49.6725,-3.766111
Leporinus tigrinus,-49.6725,-3.766111
Leporinus tigrinus,-49.6725,-3.766111
Leporinus tigrinus,-49.65,-4.566667
Leporinus tigrinus,-48.642249,-11.526053
Leporinus tigrinus,-50.11667,-15.95
Leporinus tigrinus,-44.03,-19.28
Leporinus tigrinus,-56.781111,-9.326111
Leporinus tigrinus,-56.778333,-9.324444
Leporinus tigrinus,-56.775833,-9.34
Leporinus tigrinus,-56.778333,-9.343889
Leporinus tigrinus,-56.786111,-9.316111
Leporinus tigrinus,-52.467361,-3.714472
