scientific_name,decimalLongitude,decimalLatitude
Leptodactylus labyrinthicus,-49.337875,-16.826724
Leptodactylus labyrinthicus,-49.150331,-18.399499
Leptodactylus labyrinthicus,-50.143137,-15.942156
Leptodactylus labyrinthicus,-47.051753,-1.74849
Leptodactylus labyrinthicus,-50.7009,-16.734772
Leptodactylus labyrinthicus,-49.298879,-16.833339
Leptodactylus labyrinthicus,-49.290005,-16.840224
Leptodactylus labyrinthicus,-56.630039,-13.540121
Leptodactylus labyrinthicus,-51.089686,-17.801787
Leptodactylus labyrinthicus,-49.345804,-16.811503
Leptodactylus labyrinthicus,-47.630105,-22.706959
Leptodactylus labyrinthicus,-49.345804,-16.811503
Leptodactylus labyrinthicus,-49.345804,-16.811503
Leptodactylus labyrinthicus,-44.189675,-19.937112
Leptodactylus labyrinthicus,-42.675285,-19.813514
Leptodactylus labyrinthicus,-48.953403,-16.328534
Leptodactylus labyrinthicus,-52.629803,-20.39827
Leptodactylus labyrinthicus,-60.02053,-14.928913
Leptodactylus labyrinthicus,-47.773113,-16.112317
Leptodactylus labyrinthicus,-47.773137,-16.112383
Leptodactylus labyrinthicus,-49.31575,-16.840192
Leptodactylus labyrinthicus,-47.933212,-15.9704
Leptodactylus labyrinthicus,-47.773097,-16.112355
Leptodactylus labyrinthicus,-47.938027,-15.947008
Leptodactylus labyrinthicus,-47.933292,-15.970162
Leptodactylus labyrinthicus,-47.944529,-15.945225
Leptodactylus labyrinthicus,-47.773113,-16.112403
Leptodactylus labyrinthicus,-47.899548,-15.934922
Leptodactylus labyrinthicus,-41.171716,-13.163357
Leptodactylus labyrinthicus,-47.773122,-16.112361
Leptodactylus labyrinthicus,-47.617158,-22.725341
Leptodactylus labyrinthicus,-46.382165,-13.523
Leptodactylus labyrinthicus,-56.933298,-20.408945
Leptodactylus labyrinthicus,-47.773137,-16.112358
Leptodactylus labyrinthicus,-55.751082,-15.450445
Leptodactylus labyrinthicus,-50.78827,-16.6097
Leptodactylus labyrinthicus,-52.908453,-18.122433
Leptodactylus labyrinthicus,-47.622045,-22.722656
Leptodactylus labyrinthicus,-49.350879,-16.817512
Leptodactylus labyrinthicus,-50.028686,-22.139018
Leptodactylus labyrinthicus,-47.773143,-16.112302
Leptodactylus labyrinthicus,-49.048642,-16.153062
Leptodactylus labyrinthicus,-47.57748,-22.414961
Leptodactylus labyrinthicus,-47.773167,-16.11233
Leptodactylus labyrinthicus,-45.976805,-14.81912
Leptodactylus labyrinthicus,-52.961878,-18.265759
Leptodactylus labyrinthicus,-48.135807,-15.776988
Leptodactylus labyrinthicus,-48.135447,-15.776425
Leptodactylus labyrinthicus,-52.814936,-18.310287
Leptodactylus labyrinthicus,-45.802144,-14.643967
Leptodactylus labyrinthicus,-47.940674,-15.940631
Leptodactylus labyrinthicus,-47.776105,-15.875838
Leptodactylus labyrinthicus,-47.773137,-16.112339
Leptodactylus labyrinthicus,-48.752157,-17.773732
Leptodactylus labyrinthicus,-47.773105,-16.112355
Leptodactylus labyrinthicus,-47.773237,-16.112286
Leptodactylus labyrinthicus,-51.084036,-21.037841
Leptodactylus labyrinthicus,-47.617266,-22.725072
Leptodactylus labyrinthicus,-47.773125,-16.112269
Leptodactylus labyrinthicus,-47.933279,-15.970182
Leptodactylus labyrinthicus,-47.773167,-16.112342
Leptodactylus labyrinthicus,-47.773105,-16.112358
Leptodactylus labyrinthicus,-48.548892,-14.48014
Leptodactylus labyrinthicus,-47.773216,-15.958903
Leptodactylus labyrinthicus,-49.134902,-16.798622
Leptodactylus labyrinthicus,-54.608832,-20.503977
Leptodactylus labyrinthicus,-46.121393,-18.306592
Leptodactylus labyrinthicus,-47.549255,-23.54696
Leptodactylus labyrinthicus,-47.549277,-23.546919
Leptodactylus labyrinthicus,-47.549242,-23.546899
Leptodactylus labyrinthicus,-47.549253,-23.546907
Leptodactylus labyrinthicus,-47.549203,-23.546851
Leptodactylus labyrinthicus,-56.714366,-20.756237
Leptodactylus labyrinthicus,-54.652953,-20.404772
Leptodactylus labyrinthicus,-59.939962,-3.007176
Leptodactylus labyrinthicus,-43.683274,-18.315673
Leptodactylus labyrinthicus,-43.768238,-18.343689
Leptodactylus labyrinthicus,-38.78074,-12.51774
Leptodactylus labyrinthicus,-47.777203,-21.027594
Leptodactylus labyrinthicus,-47.435738,-13.801139
Leptodactylus labyrinthicus,-48.114201,-15.821435
Leptodactylus labyrinthicus,-48.194782,-15.803506
Leptodactylus labyrinthicus,-59.922818,-2.963391
Leptodactylus labyrinthicus,-61.36866,-6.496787
Leptodactylus labyrinthicus,-56.629999,-13.540243
Leptodactylus labyrinthicus,-46.246304,-19.195859
Leptodactylus labyrinthicus,-43.166912,-17.503574
Leptodactylus labyrinthicus,-43.166912,-17.503574
Leptodactylus labyrinthicus,-54.609694,-20.503744
Leptodactylus labyrinthicus,-52.908453,-18.122433
Leptodactylus labyrinthicus,-54.652663,-20.404712
Leptodactylus labyrinthicus,-56.09813,-9.877823
Leptodactylus labyrinthicus,-56.098153,-9.877816
Leptodactylus labyrinthicus,-45.947021,-21.42443
Leptodactylus labyrinthicus,-46.6,-23.414166
Leptodactylus labyrinthicus,-47.673977,-22.299559
Leptodactylus labyrinthicus,-47.773134,-16.112347
Leptodactylus labyrinthicus,-59.922833,-2.963344
Leptodactylus labyrinthicus,-59.885645,-2.995218
Leptodactylus labyrinthicus,-47.773227,-16.112353
Leptodactylus labyrinthicus,-44.48579,-13.747911
