Species,decimalLongitude,decimalLatitude
Lepus europaeus,-46.898451,-22.742586
Lepus europaeus,-46.898451,-22.742586
Lepus europaeus,-53.925503,-24.307672
Lepus europaeus,-51.170892,-28.070998
Lepus europaeus,-50.380823,-29.393108
Lepus europaeus,-47.517845,-23.391572
Lepus europaeus,-54.126848,-29.712992
Lepus europaeus,-49.09608,-25.444834
Lepus europaeus,-49.955408,-23.004391
Lepus europaeus,-50.094424,-23.521283
Lepus europaeus,-49.509409,-28.632076
Lepus europaeus,-49.052941,-28.642833
Lepus europaeus,-51.15777,-23.95669
Lepus europaeus,-53.712778,-29.731222
Lepus europaeus,-46.544771,-21.820199
Lepus europaeus,-48.153141,-21.714632
Lepus europaeus,-48.215422,-21.879795
Lepus europaeus,-52.327972,-23.904212
Lepus europaeus,-46.36672,-20.245328
Lepus europaeus,-53.530744,-25.793014
Lepus europaeus,-54.673422,-30.982687
Lepus europaeus,-53.724619,-29.723222
Lepus europaeus,-48.207441,-21.355081
Lepus europaeus,-52.256006,-32.041916
Lepus europaeus,-46.573087,-23.072608
Lepus europaeus,-49.309925,-28.462875
Lepus europaeus,-52.423922,-30.343918
Lepus europaeus,-49.643133,-28.140265
Lepus europaeus,-47.938061,-22.851904
Lepus europaeus,-49.570809,-27.846646
Lepus europaeus,-49.570781,-27.859127
Lepus europaeus,-50.987088,-31.258872
Lepus europaeus,-51.890347,-24.86739
Lepus europaeus,-48.894339,-19.888898
Lepus europaeus,-52.64775,-26.016837
Lepus europaeus,-48.937325,-20.017501
Lepus europaeus,-48.350588,-20.765287
Lepus europaeus,-51.141113,-23.762251
Lepus europaeus,-51.166372,-23.799802
Lepus europaeus,-51.180619,-23.886759
Lepus europaeus,-51.171114,-23.874928
Lepus europaeus,-51.177757,-23.884558
Lepus europaeus,-54.530215,-25.573593
Lepus europaeus,-47.182932,-22.260323
Lepus europaeus,-51.15624,-23.782126
Lepus europaeus,-51.160083,-23.850011
Lepus europaeus,-51.172524,-23.879064
Lepus europaeus,-52.830333,-23.883528
Lepus europaeus,-47.200482,-22.938255
Lepus europaeus,-51.163989,-23.855841
Lepus europaeus,-51.189293,-23.900252
Lepus europaeus,-54.909007,-28.762618
Lepus europaeus,-51.124319,-23.718051
Lepus europaeus,-49.242424,-28.765409
Lepus europaeus,-52.782972,-23.900108
Lepus europaeus,-51.122693,-23.720979
Lepus europaeus,-52.763622,-23.907167
Lepus europaeus,-46.688544,-23.334127
Lepus europaeus,-57.489957,-30.199886
Lepus europaeus,-49.757778,-29.380337
Lepus europaeus,-51.163827,-23.820651
Lepus europaeus,-51.165159,-23.857511
Lepus europaeus,-47.212143,-23.015578
Lepus europaeus,-52.250633,-32.038377
Lepus europaeus,-53.004852,-26.357296
Lepus europaeus,-52.250633,-32.038377
Lepus europaeus,-51.181366,-23.887345
Lepus europaeus,-51.163846,-23.820823
Lepus europaeus,-44.940946,-19.221608
Lepus europaeus,-51.982456,-27.232379
Lepus europaeus,-49.308959,-23.190732
Lepus europaeus,-46.473739,-18.471436
Lepus europaeus,-50.892204,-22.2294
