Species,decimalLongitude,decimalLatitude
Leucaena leucocephala,-35.223515,-5.930694
Leucaena leucocephala,-40.286781,-20.268801
Leucaena leucocephala,-41.326251,-21.752215
Leucaena leucocephala,-40.142971,-19.943722
Leucaena leucocephala,-35.194948,-5.756438
Leucaena leucocephala,-48.533735,-27.793848
Leucaena leucocephala,-40.350645,-20.352954
Leucaena leucocephala,-43.214526,-22.511557
Leucaena leucocephala,-46.626778,-23.573697
Leucaena leucocephala,-42.716164,-21.402861
Leucaena leucocephala,-48.958975,-28.456413
Leucaena leucocephala,-46.290662,-23.000744
Leucaena leucocephala,-55.745858,-15.454008
Leucaena leucocephala,-40.178687,-20.112167
Leucaena leucocephala,-47.879403,-21.983842
Leucaena leucocephala,-56.586111,-15.610833
Leucaena leucocephala,-43.931111,-19.929625
Leucaena leucocephala,-43.938669,-19.919012
Leucaena leucocephala,-38.261545,-6.734039
Leucaena leucocephala,-39.290353,-6.370981
Leucaena leucocephala,-47.218176,-23.078306
Leucaena leucocephala,-37.393351,-5.23777
Leucaena leucocephala,-37.224783,-5.374368
Leucaena leucocephala,-43.654758,-22.646833
Leucaena leucocephala,-43.654758,-22.646833
Leucaena leucocephala,-46.557207,-23.680052
Leucaena leucocephala,-46.64028,-23.0569
Leucaena leucocephala,-48.375137,-1.353347
Leucaena leucocephala,-37.389277,-5.291463
Leucaena leucocephala,-41.290272,-21.761384
Leucaena leucocephala,-42.659722,-12.14
Leucaena leucocephala,-46.569941,-23.660851
Leucaena leucocephala,-46.355353,-23.950558
Leucaena leucocephala,-37.370662,-5.060994
Leucaena leucocephala,-37.326163,-5.202112
Leucaena leucocephala,-37.330308,-5.207412
Leucaena leucocephala,-37.330412,-5.207312
Leucaena leucocephala,-48.662163,-27.02275
Leucaena leucocephala,-49.06452,-26.92316
Leucaena leucocephala,-43.434962,-22.702488
Leucaena leucocephala,-43.434962,-22.702488
Leucaena leucocephala,-41.537778,-7.523611
Leucaena leucocephala,-41.537778,-7.523611
Leucaena leucocephala,-53.777032,-25.586148
Leucaena leucocephala,-46.73263,-23.562153
Leucaena leucocephala,-54.573635,-25.547188
Leucaena leucocephala,-51.853889,-23.869167
Leucaena leucocephala,-51.935,-23.822222
Leucaena leucocephala,-51.854056,-23.86925
Leucaena leucocephala,-51.935111,-23.822389
Leucaena leucocephala,-44.921745,-20.07892
Leucaena leucocephala,-48.653425,-26.912429
Leucaena leucocephala,-47.137694,-22.952101
Leucaena leucocephala,-43.233131,-22.841337
Leucaena leucocephala,-54.570026,-25.573142
Leucaena leucocephala,-47.630766,-22.716668
Leucaena leucocephala,-35.777662,-9.5585
Leucaena leucocephala,-48.444405,-22.91468
Leucaena leucocephala,-52.337391,-31.778735
Leucaena leucocephala,-52.337364,-31.778954
Leucaena leucocephala,-37.312693,-5.858881
Leucaena leucocephala,-34.87343,-7.109246
Leucaena leucocephala,-46.518439,-23.49292
Leucaena leucocephala,-43.239863,-22.843387
Leucaena leucocephala,-43.232628,-22.870187
