scientific_name,decimalLongitude,decimalLatitude
Ligustrum japonicum,-49.2333,-25.4478
Ligustrum japonicum,-51.196944,-23.325833
Ligustrum japonicum,-51.196869,-23.325717
Ligustrum japonicum,-51.941944,-22.391111
Ligustrum japonicum,-51.941944,-23.391111
Ligustrum japonicum,-51.941944,-22.391111
Ligustrum japonicum,-51.941944,-23.391111
Ligustrum japonicum,-51.859167,-29.0675
Ligustrum japonicum,-57.088056,-29.755
Ligustrum japonicum,-49.354444,-20.776944
Ligustrum japonicum,-49.007222,-28.467222
Ligustrum japonicum,-49.007222,-28.467222
Ligustrum japonicum,-42.881667,-20.754167
Ligustrum japonicum,-42.881667,-20.754167
Ligustrum japonicum,-51.237222,-30.019139
Ligustrum japonicum,-46.6577974,-23.586877
Ligustrum japonicum,-46.8437997,-23.6086775
Ligustrum japonicum,-46.8437997,-23.6086775
Ligustrum japonicum,-46.64,-23.55
Ligustrum japonicum,-43.508056,-20.2875
Ligustrum japonicum,-51.214437,-30.034991
Ligustrum japonicum,-51.214437,-30.034991
Ligustrum japonicum,-47.964333,-15.8785
Ligustrum japonicum,-46.64,-23.55
Ligustrum japonicum,-47.0608,-22.9056
Ligustrum japonicum,-46.633333,-23.6
Ligustrum japonicum,-47.533333,-22.383333
Ligustrum japonicum,-47.0608,-22.9056
Ligustrum japonicum,-46.618358,-23.646109
Ligustrum japonicum,-46.618333,-23.646111
Ligustrum japonicum,-46.64,-23.55
Ligustrum japonicum,-46.6361,-23.5475
Ligustrum japonicum,-45.7308,-22.6889
