Species,decimalLongitude,decimalLatitude
Ligustrum sinense,-49.232944,-25.430883
Ligustrum sinense,-50.816667,-29.321389
Ligustrum sinense,-49.207222,-25.379722
Ligustrum sinense,-49.207222,-25.379722
Ligustrum sinense,-51.597222,-25.918056
Ligustrum sinense,-51.597222,-25.918056
Ligustrum sinense,-49.2404,-25.4481
Ligustrum sinense,-49.990278000000004,-28.603333
Ligustrum sinense,-51.971667,-29.464444
Ligustrum sinense,-51.272194,-26.37075
Ligustrum sinense,-49.122306,-25.3815
Ligustrum sinense,-51.254722,-25.945639
Ligustrum sinense,-47.860525,-22.969086
Ligustrum sinense,-50.80325,-26.238222
Ligustrum sinense,-49.216667,-25.283333
Ligustrum sinense,-49.216667,-25.283333
Ligustrum sinense,-50.740514,-29.29039
Ligustrum sinense,-50.740556,-29.290278
Ligustrum sinense,-50.4717,-29.4892
Ligustrum sinense,-50.471667,-29.489167
Ligustrum sinense,-50.580556,-29.436667
Ligustrum sinense,-50.7242,-29.4968
Ligustrum sinense,-50.580556,-29.436667
Ligustrum sinense,-50.7347,-29.3142
Ligustrum sinense,-50.580556,-29.436667
Ligustrum sinense,-46.6577974,-23.586877
Ligustrum sinense,-47.887778,-15.793889
Ligustrum sinense,-47.887778,-15.793889
Ligustrum sinense,-47.915556,-15.8175
Ligustrum sinense,-50.854669,-29.311825
Ligustrum sinense,-50.854669,-29.311825
Ligustrum sinense,-47.0608,-22.9056
Ligustrum sinense,-47.0608,-22.9056
