Species,decimalLongitude,decimalLatitude
Limnoperna fortunei,-51.183193,-27.577855
Limnoperna fortunei,-46.145084,-20.710989
Limnoperna fortunei,-46.978595,-22.960055
Limnoperna fortunei,-46.19486,-20.704887
Limnoperna fortunei,-51.241424,-30.03539
Limnoperna fortunei,-41.159492,-21.69975
Limnoperna fortunei,-41.308602,-21.751355
Limnoperna fortunei,-38.960967,-6.682746
Limnoperna fortunei,-48.769857,-18.224248
Limnoperna fortunei,-51.761795,-29.954878
Limnoperna fortunei,-50.318111,-29.810687
Limnoperna fortunei,-50.399995,-29.878983
Limnoperna fortunei,-50.398439,-29.877738
Limnoperna fortunei,-51.239496,-30.042505
Limnoperna fortunei,-56.810279,-29.470713
Limnoperna fortunei,-38.961306,-6.682865
Limnoperna fortunei,-38.247138,-9.339174
Limnoperna fortunei,-50.379733,-29.988291
Limnoperna fortunei,-51.070304,-30.246087
Limnoperna fortunei,-51.243622,-30.074498
Limnoperna fortunei,-51.060536,-27.904362
Limnoperna fortunei,-53.161151,-29.037582
Limnoperna fortunei,-52.102021,-27.309596
Limnoperna fortunei,-50.546071,-20.829037
Limnoperna fortunei,-50.195476,-29.770416
Limnoperna fortunei,-46.158052,-20.705352
Limnoperna fortunei,-50.941176,-28.50712
Limnoperna fortunei,-52.58132,-32.499087
Limnoperna fortunei,-52.158333,-32.191667
Limnoperna fortunei,-56.448889,-30.380556
Limnoperna fortunei,-54.585376,-25.516336
Limnoperna fortunei,-51.945278,-29.606667
Limnoperna fortunei,-51.945278,-29.606667
Limnoperna fortunei,-51.945278,-29.606667
Limnoperna fortunei,-51.179167,-29.861667
Limnoperna fortunei,-52.383056,-30.004722
Limnoperna fortunei,-52.376944,-29.996389
Limnoperna fortunei,-52.065,-31.001111
Limnoperna fortunei,-52.065,-31.001111
Limnoperna fortunei,-52.158333,-32.191667
Limnoperna fortunei,-52.158333,-32.191667
Limnoperna fortunei,-52.158333,-32.191667
Limnoperna fortunei,-52.158333,-32.191667
Limnoperna fortunei,-52.594167,-32.508056
Limnoperna fortunei,-52.594167,-32.508056
Limnoperna fortunei,-52.599722,-32.117778
Limnoperna fortunei,-52.599722,-32.117778
Limnoperna fortunei,-52.599722,-32.117778
Limnoperna fortunei,-52.599722,-32.117778
Limnoperna fortunei,-52.599722,-32.117778
Limnoperna fortunei,-51.180278,-29.8
Limnoperna fortunei,-51.25,-30.001944
Limnoperna fortunei,-51.226389,-30.014167
Limnoperna fortunei,-51.226389,-30.014167
Limnoperna fortunei,-51.235833,-29.931667
Limnoperna fortunei,-51.180278,-29.82
Limnoperna fortunei,-51.235833,-29.931667
Limnoperna fortunei,-51.015556,-30.276667
Limnoperna fortunei,-51.015556,-30.276667
Limnoperna fortunei,-51.015556,-30.276667
Limnoperna fortunei,-51.015556,-30.276667
Limnoperna fortunei,-51.706944,-29.911944
Limnoperna fortunei,-51.183611,-29.918056
Limnoperna fortunei,-51.183611,-29.918056
Limnoperna fortunei,-50.642222,-30.47
Limnoperna fortunei,-50.642222,-30.47
Limnoperna fortunei,-50.642222,-30.47
Limnoperna fortunei,-51.249722,-30.032778
Limnoperna fortunei,-51.015556,-30.276667
Limnoperna fortunei,-51.015556,-30.276667
Limnoperna fortunei,-50.271111,-30.339444
Limnoperna fortunei,-50.271111,-30.339444
