scientific_name,decimalLongitude,decimalLatitude
Liolaemus lutzae,-42.826186,-22.827653
Liolaemus lutzae,-42.029336,-22.89269
Liolaemus lutzae,-40.936389,-21.207222
Liolaemus lutzae,-40.936389,-21.207222
Liolaemus lutzae,-43.224936,-22.966375
Liolaemus lutzae,-40.969167,-21.28
Liolaemus lutzae,-40.969167,-21.28
Liolaemus lutzae,-42.034283,-22.882353
Liolaemus lutzae,-42.034283,-22.882353
Liolaemus lutzae,-42.034283,-22.882353
Liolaemus lutzae,-42.034283,-22.882353
Liolaemus lutzae,-42.034283,-22.882353
Liolaemus lutzae,-42.034283,-22.882353
Liolaemus lutzae,-42.034283,-22.882353
Liolaemus lutzae,-42.034283,-22.882353
Liolaemus lutzae,-42.034283,-22.882353
Liolaemus lutzae,-42.034283,-22.882353
Liolaemus lutzae,-42.034283,-22.882353
Liolaemus lutzae,-42.034283,-22.882353
Liolaemus lutzae,-42.034283,-22.882353
Liolaemus lutzae,-42.034283,-22.882353
Liolaemus lutzae,-42.034283,-22.882353
Liolaemus lutzae,-42.034283,-22.882353
Liolaemus lutzae,-42.034283,-22.882353
Liolaemus lutzae,-42.034283,-22.882353
Liolaemus lutzae,-42.034283,-22.882353
Liolaemus lutzae,-42.034283,-22.882353
Liolaemus lutzae,-42.034283,-22.882353
Liolaemus lutzae,-42.034283,-22.882353
Liolaemus lutzae,-42.034283,-22.882353
Liolaemus lutzae,-42.034283,-22.882353
Liolaemus lutzae,-42.034283,-22.882353
Liolaemus lutzae,-42.01667,-22.88333
Liolaemus lutzae,-42.01667,-22.88333
Liolaemus lutzae,-42.01667,-22.88333
Liolaemus lutzae,-42.01667,-22.88333
Liolaemus lutzae,-42.020833,-22.875556
Liolaemus lutzae,-42.020833,-22.875556
Liolaemus lutzae,-42.01667,-22.88333
Liolaemus lutzae,-42.01667,-22.88333
Liolaemus lutzae,-42.01667,-22.88333
Liolaemus lutzae,-42.01667,-22.88333
Liolaemus lutzae,-43.465631,-23.017108
Liolaemus lutzae,-43.35,-22.91667
Liolaemus lutzae,-43.465631,-23.017108
Liolaemus lutzae,-54.355206,-11.524631
Liolaemus lutzae,-42.01667,-22.88333
Liolaemus lutzae,-42.01667,-22.88333
Liolaemus lutzae,-42.01667,-22.88333
Liolaemus lutzae,-42.01667,-22.88333
Liolaemus lutzae,-42.01667,-22.88333
Liolaemus lutzae,-42.01667,-22.88333
Liolaemus lutzae,-42.01667,-22.88333
