Species,decimalLongitude,decimalLatitude
Lissachatina fulica,-43.2857,-22.657767
Lissachatina fulica,-47.932624,-21.940108
Lissachatina fulica,-40.277539,-20.271738
Lissachatina fulica,-49.342611,-16.781766
Lissachatina fulica,-43.129321,-22.419669
Lissachatina fulica,-42.537408,-22.306151
Lissachatina fulica,-40.276562,-20.271004
Lissachatina fulica,-43.240584,-22.966972
Lissachatina fulica,-48.585895,-26.281024
Lissachatina fulica,-39.859851,-18.676426
Lissachatina fulica,-46.963269,-24.292981
Lissachatina fulica,-47.056423,-22.891793
Lissachatina fulica,-41.305378,-21.761047
Lissachatina fulica,-41.305303,-21.76102
Lissachatina fulica,-44.526409,-22.442793000000002
Lissachatina fulica,-42.610997,-22.930582
Lissachatina fulica,-45.418697,-23.631005
Lissachatina fulica,-47.98715,-15.847172
Lissachatina fulica,-36.83768,-9.878055
Lissachatina fulica,-39.009235,-16.336818
Lissachatina fulica,-47.601491,-15.624071
Lissachatina fulica,-40.273801,-20.269374
Lissachatina fulica,-40.285837,-20.271851
Lissachatina fulica,-48.255623,-18.915693
Lissachatina fulica,-39.308728,-7.24487
Lissachatina fulica,-55.425467,-20.454745
Lissachatina fulica,-48.599255,-27.400363
Lissachatina fulica,-48.39767,-27.472562
Lissachatina fulica,-47.468975,-23.530682
Lissachatina fulica,-35.223515,-5.930694
Lissachatina fulica,-60.924417,-2.638808
Lissachatina fulica,-38.557773,-3.794282
Lissachatina fulica,-48.39888,-27.428238
Lissachatina fulica,-40.50881,-11.180822
Lissachatina fulica,-48.47515,-27.65818
Lissachatina fulica,-40.336377,-20.364465
Lissachatina fulica,-47.137693,-22.951733
Lissachatina fulica,-48.614268,-26.028047
Lissachatina fulica,-46.163532,-22.272304
Lissachatina fulica,-42.348423,-21.658558
Lissachatina fulica,-39.189721,-16.345681
Lissachatina fulica,-47.547001,-22.406427
Lissachatina fulica,-56.083555,-9.85573
Lissachatina fulica,-46.0431,-7.521914
Lissachatina fulica,-46.344161,-23.959751
Lissachatina fulica,-45.062883,-23.401128
Lissachatina fulica,-48.000855,-15.862206
Lissachatina fulica,-47.547598,-22.28428
Lissachatina fulica,-49.122722,-18.386024
Lissachatina fulica,-39.8599,-18.676348
Lissachatina fulica,-39.859926,-18.676418
Lissachatina fulica,-48.26965,-18.875956
Lissachatina fulica,-38.501242,-3.754556
Lissachatina fulica,-46.876407,-24.231441
