Species,decimalLongitude,decimalLatitude
Livistona chinensis,-48.510085,-27.598366
Livistona chinensis,-53.915761,-29.659637
Livistona chinensis,-53.526925,-25.79435
Livistona chinensis,-43.988151,-19.971879
Livistona chinensis,-46.668744,-23.531783
Livistona chinensis,-49.280409,-26.803513
Livistona chinensis,-49.278921,-26.794102
Livistona chinensis,-49.266945,-25.429092
Livistona chinensis,-46.624261,-23.442162
Livistona chinensis,-46.638778,-23.456291
Livistona chinensis,-46.638778,-23.456291
Livistona chinensis,-50.85112,-29.689983
Livistona chinensis,-46.64986,-23.550091
Livistona chinensis,-48.795328,-26.31055
Livistona chinensis,-51.232758,-30.056998
Livistona chinensis,-44.459123,-22.464029
Livistona chinensis,-48.902063,-26.96507
Livistona chinensis,-48.922329,-27.12307
Livistona chinensis,-49.230147,-26.892917
Livistona chinensis,-48.923454,-27.124064
Livistona chinensis,-49.143887,-26.903511
Livistona chinensis,-49.055857,-26.854082
Livistona chinensis,-49.161992,-25.448198
Livistona chinensis,-51.075576,-29.949361
Livistona chinensis,-53.505766,-28.293267
Livistona chinensis,-49.282424,-26.803216
Livistona chinensis,-48.673697,-28.056039
Livistona chinensis,-53.527015,-25.793795
Livistona chinensis,-49.821341,-27.396676
Livistona chinensis,-46.657983,-23.58712
Livistona chinensis,-49.08065,-26.925954
Livistona chinensis,-46.758112,-23.174415
Livistona chinensis,-46.728673,-23.583854
Livistona chinensis,-49.28192,-26.802008
Livistona chinensis,-54.437449,-25.690419
Livistona chinensis,-42.042302,-20.962874
Livistona chinensis,-43.216292,-22.948717
Livistona chinensis,-49.049009,-26.929272
Livistona chinensis,-48.921916,-27.094029
Livistona chinensis,-49.278921,-26.794102
Livistona chinensis,-49.278921,-26.794102
Livistona chinensis,-49.282695,-26.830975
Livistona chinensis,-53.786732,-29.699119
Livistona chinensis,-35.00421,-7.967125
Livistona chinensis,-48.881821,-28.478579
Livistona chinensis,-49.609698,-27.207376
Livistona chinensis,-48.783607,-26.110263
Livistona chinensis,-47.02103,-22.904808
Livistona chinensis,-48.951387,-26.805265
Livistona chinensis,-48.951387,-26.805265
Livistona chinensis,-46.657128,-23.562856
Livistona chinensis,-52.613201,-27.145613
Livistona chinensis,-49.063839,-26.923083
Livistona chinensis,-49.134403,-26.933029
Livistona chinensis,-49.134196,-26.933023
Livistona chinensis,-49.134303,-26.933048
Livistona chinensis,-54.561111,-25.485278
Livistona chinensis,-54.561111,-25.485278
Livistona chinensis,-46.717186,-23.566595
Livistona chinensis,-46.717222,-23.566667
Livistona chinensis,-43.449505,-22.759464
Livistona chinensis,-47.0608,-22.9056
Livistona chinensis,-46.716667,-23.55
Livistona chinensis,-46.7572021,-23.5900777
Livistona chinensis,-43.966667,-19.866667
Livistona chinensis,-47.627222,-22.709167
Livistona chinensis,-46.6577974,-23.586877
Livistona chinensis,-51.214437,-30.034991
Livistona chinensis,-47.065751,-22.9056
