scientific_name,decimalLongitude,decimalLatitude
Lophiosilurus alexandri,-46.256463,-18.479781
Lophiosilurus alexandri,-44.282746,-15.58191
Lophiosilurus alexandri,-41.066667,-19.483333
Lophiosilurus alexandri,-41.066667,-19.483333
Lophiosilurus alexandri,-41.066667,-19.483333
Lophiosilurus alexandri,-40.9175,-19.501111
Lophiosilurus alexandri,-43.438333,-13.487222
Lophiosilurus alexandri,-43.428333,-13.448889
Lophiosilurus alexandri,-36.837778,-10.185
Lophiosilurus alexandri,-42.122,-19.022
Lophiosilurus alexandri,-42.306111,-19.238611
Lophiosilurus alexandri,-45.253132,-18.198451
Lophiosilurus alexandri,-45.694,-16.152
Lophiosilurus alexandri,-45.69,-16.15
Lophiosilurus alexandri,-46.105833,-15.916944
Lophiosilurus alexandri,-43.157222,-11.102222
Lophiosilurus alexandri,-43.138889,-11.092222
Lophiosilurus alexandri,-43.988333,-18.684444
Lophiosilurus alexandri,-44.188889,-18.415556
Lophiosilurus alexandri,-45,-12.133333
Lophiosilurus alexandri,-45.253132,-18.198451
Lophiosilurus alexandri,-45.248,-18.228
Lophiosilurus alexandri,-45.248,-18.228
Lophiosilurus alexandri,-45.25,-18.23
Lophiosilurus alexandri,-45.25,-18.23
Lophiosilurus alexandri,-43.429713,-13.250502
Lophiosilurus alexandri,-44.95,-17.433333
Lophiosilurus alexandri,-44.95,-17.433333
Lophiosilurus alexandri,-44.95,-17.433333
Lophiosilurus alexandri,-44.95,-17.433333
Lophiosilurus alexandri,-44.95,-17.433333
Lophiosilurus alexandri,-45.25,-18.216667
Lophiosilurus alexandri,-45.25,-18.216667
Lophiosilurus alexandri,-45.283333,-18.5
Lophiosilurus alexandri,-36.866667,-10.7
Lophiosilurus alexandri,-44.954963,-17.336154
Lophiosilurus alexandri,-44.357,-15.49277
Lophiosilurus alexandri,-36.588155,-10.290511
Lophiosilurus alexandri,-43.145381,-11.096473
Lophiosilurus alexandri,-44.355681,-15.493341
Lophiosilurus alexandri,-43.145381,-11.096473
Lophiosilurus alexandri,-40.50765,-9.406985
Lophiosilurus alexandri,-43.145381,-11.096473
Lophiosilurus alexandri,-44.303611,-13.587778
Lophiosilurus alexandri,-44.95,-17.433333
Lophiosilurus alexandri,-44.61,-15.71
Lophiosilurus alexandri,-44.954963,-17.336154
