Species,decimalLongitude,decimalLatitude
Loricariichthys platymetopon,-55.902275,-18.028178
Loricariichthys platymetopon,-55.978278,-18.123778
Loricariichthys platymetopon,-55.105256,-22.254411
Loricariichthys platymetopon,-56.040639,-18.061611
Loricariichthys platymetopon,-54.22,-24.868056
Loricariichthys platymetopon,-54.571295,-25.591923
Loricariichthys platymetopon,-53.000094,-22.483217
Loricariichthys platymetopon,-55.939417,-17.994194
Loricariichthys platymetopon,-55.902275,-18.028178
Loricariichthys platymetopon,-55.991222,-18.08175
Loricariichthys platymetopon,-55.881083,-18.003667
Loricariichthys platymetopon,-55.923833,-17.959528
Loricariichthys platymetopon,-51.18627,-23.31798
Loricariichthys platymetopon,-51.18627,-23.31798
Loricariichthys platymetopon,-51.18627,-23.31798
Loricariichthys platymetopon,-51.18627,-23.31798
Loricariichthys platymetopon,-51.18627,-23.31798
Loricariichthys platymetopon,-51.18627,-23.31798
Loricariichthys platymetopon,-54.255278,-24.076111
Loricariichthys platymetopon,-51.631083,-20.855639
Loricariichthys platymetopon,-56.166944,-17.431944
Loricariichthys platymetopon,-51.790953,-21.596653
Loricariichthys platymetopon,-50.568056,-13.053056
Loricariichthys platymetopon,-50.563889,-13.232222
Loricariichthys platymetopon,-54.351472,-24.808611
Loricariichthys platymetopon,-54.83479,-18.422469
Loricariichthys platymetopon,-57.498136,-19.021735
Loricariichthys platymetopon,-54.741755,-18.52568
Loricariichthys platymetopon,-52.481667,-21.689089
Loricariichthys platymetopon,-53.853333,-24.293333
Loricariichthys platymetopon,-51.580694,-22.690194
Loricariichthys platymetopon,-51.8145,-21.296167
Loricariichthys platymetopon,-54.896389,-27.700278
Loricariichthys platymetopon,-52.481667,-21.689089
Loricariichthys platymetopon,-54.292222,-25.217778
Loricariichthys platymetopon,-50.9645,-23.225389
Loricariichthys platymetopon,-50.9645,-23.225389
Loricariichthys platymetopon,-50.9645,-23.225389
Loricariichthys platymetopon,-50.9645,-23.225389
Loricariichthys platymetopon,-55.076667,-2.237778
Loricariichthys platymetopon,-55.419167,-2.056306
Loricariichthys platymetopon,-54.85775,-2.191472
Loricariichthys platymetopon,-55.039722,-2.186111
Loricariichthys platymetopon,-55.039806,-2.186083
Loricariichthys platymetopon,-55.039806,-2.186083
Loricariichthys platymetopon,-51.075833,-23.385
Loricariichthys platymetopon,-51.075833,-23.385
Loricariichthys platymetopon,-57.042333,-19.501778
Loricariichthys platymetopon,-57.040875,-19.525678
Loricariichthys platymetopon,-57.040694,-19.526222
Loricariichthys platymetopon,-57.042333,-19.501778
Loricariichthys platymetopon,-57.040875,-19.525678
Loricariichthys platymetopon,-57.040694,-19.526222
Loricariichthys platymetopon,-55.039806,-2.186083
Loricariichthys platymetopon,-53.293889,-22.756667
Loricariichthys platymetopon,-55.039722,-2.186111
Loricariichthys platymetopon,-55.039722,-2.186111
Loricariichthys platymetopon,-50.527222,-22.942778
Loricariichthys platymetopon,-53.9164,-23.3819
Loricariichthys platymetopon,-54.0739,-23.8478
Loricariichthys platymetopon,-54.1662,-23.9257
Loricariichthys platymetopon,-53.7234,-23.2432
Loricariichthys platymetopon,-54.0773,-24.0312
Loricariichthys platymetopon,-54.0635,-23.6705
Loricariichthys platymetopon,-60.692778,2.740556
Loricariichthys platymetopon,-51.445,-22.646111
Loricariichthys platymetopon,-51.075833,-23.385
Loricariichthys platymetopon,-51.075833,-23.385
Loricariichthys platymetopon,-50.978833,-22.996889
Loricariichthys platymetopon,-50.978833,-22.996889
Loricariichthys platymetopon,-50.978833,-22.996889
Loricariichthys platymetopon,-53.537222,-22.794444
Loricariichthys platymetopon,-53.600278,-22.856389
Loricariichthys platymetopon,-57.303056,-19.405833
Loricariichthys platymetopon,-57.728611,-18.978333
Loricariichthys platymetopon,-51.445278,-22.706667
Loricariichthys platymetopon,-51.445278,-22.706667
Loricariichthys platymetopon,-51.689442,-21.053608
Loricariichthys platymetopon,-51.689442,-21.053608
Loricariichthys platymetopon,-62.942222,-7.776667
Loricariichthys platymetopon,-59.381111,-4.153611
Loricariichthys platymetopon,-52.055278,-29.406111
Loricariichthys platymetopon,-50.44775,-23.031639
Loricariichthys platymetopon,-52.055278,-29.406111
Loricariichthys platymetopon,-50.44775,-23.031639
Loricariichthys platymetopon,-57.88,-21.686111
Loricariichthys platymetopon,-54.563814,-25.588331
Loricariichthys platymetopon,-54.563814,-25.588331
Loricariichthys platymetopon,-57.0145,-19.575639
Loricariichthys platymetopon,-57.0145,-19.575639
Loricariichthys platymetopon,-54.55,-25.433333
Loricariichthys platymetopon,-54.58,-25.435278
Loricariichthys platymetopon,-55.006917,-23.509806
Loricariichthys platymetopon,-54.669167,-22.238611
Loricariichthys platymetopon,-52.962222,-22.200111
Loricariichthys platymetopon,-54.559444,-18.243056
Loricariichthys platymetopon,-57.040778,-19.512417
Loricariichthys platymetopon,-57.040778,-19.512417
Loricariichthys platymetopon,-54.539722,-18.211389
Loricariichthys platymetopon,-53.349445,-22.79139
Loricariichthys platymetopon,-53.3494,-22.7914
Loricariichthys platymetopon,-53.3494,-22.7914
Loricariichthys platymetopon,-53.35,-22.79
Loricariichthys platymetopon,-53.35,-22.79
Loricariichthys platymetopon,-53.35,-22.79
Loricariichthys platymetopon,-54.559444,-18.243056
Loricariichthys platymetopon,-54.648889,-18.514722
Loricariichthys platymetopon,-52.849722,-22.6225
Loricariichthys platymetopon,-52.406315,-25.049336
Loricariichthys platymetopon,-54.283575,-23.934766
Loricariichthys platymetopon,-51.069,-22.708417
Loricariichthys platymetopon,-51.069,-22.708417
Loricariichthys platymetopon,-53.213056,-23.931111
Loricariichthys platymetopon,-54.161667,-24.605556
Loricariichthys platymetopon,-53.291,-22.717556
Loricariichthys platymetopon,-53.291,-22.7176
Loricariichthys platymetopon,-53.29,-22.72
Loricariichthys platymetopon,-53.29,-22.72
Loricariichthys platymetopon,-57.755,-16.106389
Loricariichthys platymetopon,-53.2865,-22.7221
Loricariichthys platymetopon,-53.29,-22.72
Loricariichthys platymetopon,-55.166668,-28.333334
Loricariichthys platymetopon,-56.644722,-16.349722
Loricariichthys platymetopon,-59.355,-15.216111
Loricariichthys platymetopon,-58.608334,-15.898889
Loricariichthys platymetopon,-57.713889,-15.276389
Loricariichthys platymetopon,-52.872222,-22.600278
Loricariichthys platymetopon,-57.040556,-19.526111
Loricariichthys platymetopon,-57.033333,-19.633333
Loricariichthys platymetopon,-57.040556,-19.526111
Loricariichthys platymetopon,-57.033333,-19.633333
Loricariichthys platymetopon,-51.556667,-22.985833
Loricariichthys platymetopon,-51.556667,-22.985833
