Species,decimalLongitude,decimalLatitude
Macrobrachium rosenbergii,-48.614238,-27.24733
Macrobrachium rosenbergii,-46.629944,-1.033694
Macrobrachium rosenbergii,-54.355206,-11.524631
Macrobrachium rosenbergii,-54.355206,-11.524631
Macrobrachium rosenbergii,-54.355206,-11.524631
Macrobrachium rosenbergii,-54.355206,-11.524631
Macrobrachium rosenbergii,-54.355206,-11.524631
Macrobrachium rosenbergii,-54.355206,-11.524631
Macrobrachium rosenbergii,-54.355206,-11.524631
Macrobrachium rosenbergii,-54.355206,-11.524631
Macrobrachium rosenbergii,-54.355206,-11.524631
Macrobrachium rosenbergii,-54.355206,-11.524631
Macrobrachium rosenbergii,-54.355206,-11.524631
Macrobrachium rosenbergii,-49.726944,-29.338889000000002
Macrobrachium rosenbergii,-46.765556,-1.053611
Macrobrachium rosenbergii,-46.765556,-1.053611
Macrobrachium rosenbergii,-50.1375,-29.975833
Macrobrachium rosenbergii,-46.617994,-1.033369
Macrobrachium rosenbergii,-46.617994,-1.033369
Macrobrachium rosenbergii,-46.617994,-1.033369
Macrobrachium rosenbergii,-46.617994,-1.033369
Macrobrachium rosenbergii,-46.617994,-1.033369
Macrobrachium rosenbergii,-46.617994,-1.033369
