Species,decimalLongitude,decimalLatitude
Magallana gigas,-48.620217,-26.999838
Magallana gigas,-48.6059,-27.004744
Magallana gigas,-48.442,-27.585
Magallana gigas,-48.442,-27.585
Magallana gigas,-48.442,-27.585
Magallana gigas,-48.44,-27.59
Magallana gigas,-48.44,-27.59
Magallana gigas,-48.44,-27.59
Magallana gigas,-48.44,-27.59
Magallana gigas,-48.44,-27.59
Magallana gigas,-48.44,-27.59
Magallana gigas,-48.44,-27.59
Magallana gigas,-48.44,-27.59
Magallana gigas,-48.44,-27.59
Magallana gigas,-48.44,-27.59
Magallana gigas,-48.442,-27.585
Magallana gigas,-48.442,-27.585
Magallana gigas,-48.442,-27.585
Magallana gigas,-48.442,-27.585
Magallana gigas,-48.442,-27.585
Magallana gigas,-48.442,-27.585
Magallana gigas,-48.442,-27.585
