Species,decimalLongitude,decimalLatitude
Mangifera indica,-34.944353,-8.015259
Mangifera indica,-59.983411,-3.130241
Mangifera indica,-54.57851,-25.484186
Mangifera indica,-51.201033,-23.325937
Mangifera indica,-49.267578,-25.441275
Mangifera indica,-47.723294,-23.194971
Mangifera indica,-44.026571,-19.982158
Mangifera indica,-43.983226,-19.881609
Mangifera indica,-49.093494,-5.35312
Mangifera indica,-44.524021,-22.439914
Mangifera indica,-63.154679,-4.099682
Mangifera indica,-47.424226,-23.55233
Mangifera indica,-38.929722,-12.236389
Mangifera indica,-50.426701,-29.792784
Mangifera indica,-60.630231,-3.288317
Mangifera indica,-39.400558,-11.767045
Mangifera indica,-60.542587,-3.250778
Mangifera indica,-36.032241,-9.153734
Mangifera indica,-60.642651,-3.278246
Mangifera indica,-58.434509,-3.126751
Mangifera indica,-58.434466,-3.126631
Mangifera indica,-43.494903,-5.495137
Mangifera indica,-49.228502,-25.392321
Mangifera indica,-43.417069,-22.590644
Mangifera indica,-40.970278,-21.171667
Mangifera indica,-41.601389,-21.800278
Mangifera indica,-40.970278,-21.171667
Mangifera indica,-52.492945,-29.723527
Mangifera indica,-51.853889,-23.868611
Mangifera indica,-51.854028,-23.868833
Mangifera indica,-43.950325,-19.839478
Mangifera indica,-51.185304,0.856787
Mangifera indica,-50.845873,2.602406
Mangifera indica,-40.702778,-13.402222
Mangifera indica,-45.895718,-23.198
Mangifera indica,-51.961028,-23.427212
Mangifera indica,-40.35423,-20.454361
Mangifera indica,-43.970014,-19.862605
Mangifera indica,-40.351944,-10.650278
Mangifera indica,-40.032983,-18.617298
Mangifera indica,-48.437067,-22.85149
Mangifera indica,-49.24746,-25.480377
Mangifera indica,-46.562863,-23.730116
Mangifera indica,-43.162687,-22.435858
Mangifera indica,-43.162382,-22.435231
Mangifera indica,-35.80401,-9.63915
Mangifera indica,-40.07087,-13.8724
Mangifera indica,-49.30605,-25.453369
Mangifera indica,-51.362667,-24.275917
Mangifera indica,-40.04164,-13.5222
Mangifera indica,-54.570676,-25.45464
Mangifera indica,-43.061841,-22.553361
Mangifera indica,-52.666449,-18.393056
Mangifera indica,-53.534183,-25.766625
Mangifera indica,-56.080243,-9.835385
Mangifera indica,-40.248522,-18.329667
Mangifera indica,-48.957833,-15.853433
Mangifera indica,-48.935528,-15.845317
Mangifera indica,-44.083092,-20.134676
Mangifera indica,-40.005906,-19.274361
Mangifera indica,-44.04803,-22.656166
Mangifera indica,-47.880938,-22.599033
Mangifera indica,-43.559597,-22.889063
Mangifera indica,-35.566146,-9.489262
Mangifera indica,-36.84,-6.12
Mangifera indica,-46.365582,-23.233734
Mangifera indica,-41.850542,-19.030186
Mangifera indica,-43.049841,-22.557297
Mangifera indica,-41.31,-9.81
Mangifera indica,-41.399722,-4.5
Mangifera indica,-38.477046,-6.815207
Mangifera indica,-47.062633,-22.909845
Mangifera indica,-46.550672,-23.664554
Mangifera indica,-43.210842,-22.952163
Mangifera indica,-52.841869,-23.962679
Mangifera indica,-38.930953,-4.322981
Mangifera indica,-49.325872,-16.729176
Mangifera indica,-43.221389,-22.965833
Mangifera indica,-67.874712,-9.953033
Mangifera indica,-49.281119,-16.379894
Mangifera indica,-43.816592,-19.986483
Mangifera indica,-54.576298,-25.559413
Mangifera indica,-55.964973,-20.095154
Mangifera indica,-42.858056,-6.2575
Mangifera indica,-56.711769,-16.51224
Mangifera indica,-42.358611,-22.863333
Mangifera indica,-39.311389,-7.237222
Mangifera indica,-39.414722,-7.235833
Mangifera indica,-43.787158,-20.084938
Mangifera indica,-72.396235,-7.773215
Mangifera indica,-44.309194,-2.558278
Mangifera indica,-47.08514,-22.849087
Mangifera indica,-43.9654,-19.8431
Mangifera indica,-49.190558,-25.562737
Mangifera indica,-41.535278,-7.521944
Mangifera indica,-41.535278,-7.521944
Mangifera indica,-43.799076,-20.025967
Mangifera indica,-35.566146,-9.489262
Mangifera indica,-43.198715,-22.94096
Mangifera indica,-36.633732,-9.411334
Mangifera indica,-50.801196,-29.336625
Mangifera indica,-47.621469,-22.223563
Mangifera indica,-48.364441,-10.187697
Mangifera indica,-47.868333,-15.946667
Mangifera indica,-47.868333,-15.946667
Mangifera indica,-48.636623,-27.953923
Mangifera indica,-49.050375,-26.478817
Mangifera indica,-49.293245,-16.732695
Mangifera indica,-53.354730000000004,-25.524209
Mangifera indica,-50.357668,-23.106963
Mangifera indica,-49.068783,-26.947445
Mangifera indica,-49.327663,-16.749809
Mangifera indica,-48.712548,-25.430854
Mangifera indica,-54.560076,-25.562005
Mangifera indica,-48.748797,-17.774991
Mangifera indica,-49.137227,-16.756332
Mangifera indica,-47.868889,-15.946944
Mangifera indica,-47.868889,-15.946944
Mangifera indica,-51.337315,-30.123424
Mangifera indica,-52.784052,-29.668353
Mangifera indica,-52.653253,-25.677356
Mangifera indica,-54.399143,-25.43648
Mangifera indica,-54.570333,-25.450508
Mangifera indica,-51.058502,-30.006927
Mangifera indica,-56.021937,-28.645213
Mangifera indica,-49.808434,-29.436974
Mangifera indica,-40.321169,-20.307344
Mangifera indica,-49.833307,-29.30801
Mangifera indica,-48.877365,-27.051433
Mangifera indica,-39.465833,-6.072778
Mangifera indica,-51.229314,-29.899817
Mangifera indica,-53.426619,-25.491379
Mangifera indica,-51.281132,-29.325097
Mangifera indica,-51.267748,-29.617524
Mangifera indica,-50.394245,-26.184364
Mangifera indica,-50.115788,-25.101945
Mangifera indica,-51.220747,-30.057082
Mangifera indica,-50.786836,-23.655885
Mangifera indica,-48.6104,-26.106802
Mangifera indica,-49.428883,-16.501356
Mangifera indica,-49.08131,-22.363419
Mangifera indica,-35.606091,-9.530322
Mangifera indica,-48.526916,-26.229207
Mangifera indica,-53.323399,-23.786884
Mangifera indica,-51.241697,-30.074252
Mangifera indica,-50.264707,-29.88868
Mangifera indica,-49.179558,-16.621055
Mangifera indica,-51.181272,-29.666376
Mangifera indica,-47.956922,-16.068887
Mangifera indica,-51.197277,-30.02192
Mangifera indica,-49.29627,-16.695165
Mangifera indica,-54.573503,-25.548315
Mangifera indica,-46.556488,-23.55833
Mangifera indica,-46.111,-23.822222
Mangifera indica,-37.761153,-9.626098
Mangifera indica,-54.572895,-25.455545
Mangifera indica,-49.9925,-23.146389
Mangifera indica,-35.2225,-7.504444
Mangifera indica,-49.992722,-23.146528
Mangifera indica,-49.992611,-23.172083
Mangifera indica,-49.289304,-25.485162
Mangifera indica,-49.098189,-26.893817
Mangifera indica,-39.105333,-16.603788
Mangifera indica,-48.418,-25.613865
Mangifera indica,-48.680828,-26.76587
Mangifera indica,-49.200009,-25.481477
Mangifera indica,-43.472778,-22.697778
Mangifera indica,-46.683802,-23.58676
Mangifera indica,-56.711386,-16.512273
Mangifera indica,-54.150204,-17.210683
Mangifera indica,-47.424226,-23.55233
Mangifera indica,-53.425,-24.190833
Mangifera indica,-39.578333,-16.349722
Mangifera indica,-44.802389,-3.396639
Mangifera indica,-39.105458,-16.603827
Mangifera indica,-49.325813,-26.83445
Mangifera indica,-50.83475,-29.7319
Mangifera indica,-56.316986,-16.167509
Mangifera indica,-51.919683,-23.407877
Mangifera indica,-54.958988,-28.414455
Mangifera indica,-54.142753,-17.200986
Mangifera indica,-49.914098,-23.025991
Mangifera indica,-50.025537,-29.762253
Mangifera indica,-50.895554,-29.549848
Mangifera indica,-38.965833,-12.201667
Mangifera indica,-50.979829,-29.931709
Mangifera indica,-49.324721,-16.741383
Mangifera indica,-48.331844,-18.888396
Mangifera indica,-47.939332,-22.850582
Mangifera indica,-40.376152,-18.713565
Mangifera indica,-41.031667,-6.883611
Mangifera indica,-41.031667,-6.883611
Mangifera indica,-51.186117,-30.028267
Mangifera indica,-49.945135,-23.113819
Mangifera indica,-39.051873,-16.29854
Mangifera indica,-46.862985,-22.722236
Mangifera indica,-35.223515,-5.930694
Mangifera indica,-43.231109,-22.975429
Mangifera indica,-43.42193,-23.00608
Mangifera indica,-54.871038,-29.194243
Mangifera indica,-51.312538,-30.104138
Mangifera indica,-53.170415,-26.291874
Mangifera indica,-54.593889,-25.501944
Mangifera indica,-53.455011,-33.68697
Mangifera indica,-53.455116,-33.686916
Mangifera indica,-50.871351,-30.133986
Mangifera indica,-51.157394,-30.066605
Mangifera indica,-48.963824,-16.307463
Mangifera indica,-48.801562,-26.277928
Mangifera indica,-54.187778,-29.498611
Mangifera indica,-52.864801,-23.739754
Mangifera indica,-51.491745,-29.745475
Mangifera indica,-43.413391,-22.996253
Mangifera indica,-52.330621,-31.778072
Mangifera indica,-49.674644,-29.261139
Mangifera indica,-51.084925,-30.063394
Mangifera indica,-51.126037,-23.30055
Mangifera indica,-53.883169,-30.345431
Mangifera indica,-49.284318,-25.418594
Mangifera indica,-60.040505,-3.083439
Mangifera indica,-59.988271,-3.098305
Mangifera indica,-43.22171,-22.909687
Mangifera indica,-48.709557,-16.194206
Mangifera indica,-54.684186,-29.500251
Mangifera indica,-47.928385,-16.090117
Mangifera indica,-47.928385,-16.090117
Mangifera indica,-43.855898,-16.727123
Mangifera indica,-49.494504,-16.382831
Mangifera indica,-49.158134,-16.653326
Mangifera indica,-48.516926,-27.529937
Mangifera indica,-54.236537,-24.086403
Mangifera indica,-48.72056,-27.126244
Mangifera indica,-50.90322,-15.888003
Mangifera indica,-52.178118,-32.170487
Mangifera indica,-49.261251,-16.825138
Mangifera indica,-49.350391,-25.521763
Mangifera indica,-51.17364,-30.059725
Mangifera indica,-47.544315,-22.400954
Mangifera indica,-47.290826,-22.816653
Mangifera indica,-47.559621,-22.410765
Mangifera indica,-47.559621,-22.410765
Mangifera indica,-47.559621,-22.410765
Mangifera indica,-47.559621,-22.410765
Mangifera indica,-46.774405,-23.434013
Mangifera indica,-47.686111,-22.241667
Mangifera indica,-52.574356,-23.680989
Mangifera indica,-44.418056,-20.197222
Mangifera indica,-49.271844,-25.443234
Mangifera indica,-47.623976999999996,-16.767524
Mangifera indica,-52.003117,-23.39989
Mangifera indica,-49.506186,-25.869299
Mangifera indica,-49.127938,-25.789039
Mangifera indica,-49.283293,-16.698232
Mangifera indica,-50.364491,-16.643822
Mangifera indica,-47.559621,-22.410765
Mangifera indica,-40.594362,-19.935727
Mangifera indica,-45.964019,-23.325637
Mangifera indica,-54.635378,-20.478146
Mangifera indica,-48.573609,-26.218434
Mangifera indica,-48.794923,-28.24256
Mangifera indica,-48.930498,-16.275797
Mangifera indica,-54.289561,-23.929339
Mangifera indica,-49.364308,-25.438473
Mangifera indica,-42.866581,-16.717979
Mangifera indica,-47.958603,-16.120063
Mangifera indica,-54.239608,-24.079275
Mangifera indica,-54.577778,-20.560278
Mangifera indica,-53.295,-23.627778
Mangifera indica,-51.959167,-24.368611
Mangifera indica,-40.284057,-20.072936
Mangifera indica,-43.011738,-22.26205
Mangifera indica,-53.295,-23.627778
Mangifera indica,-51.959278,-24.368694
Mangifera indica,-54.577778,-20.560278
Mangifera indica,-56.6,-15.655556
Mangifera indica,-49.271105,-25.499025
Mangifera indica,-50.134295,-23.754486
Mangifera indica,-56.019312,-28.628473
Mangifera indica,-49.341961,-25.462819
Mangifera indica,-50.134463,-23.754871
Mangifera indica,-53.788151,-29.712724
Mangifera indica,-53.508348,-24.396969
Mangifera indica,-51.092467,-29.92853
Mangifera indica,-47.991199,-16.776927
Mangifera indica,-50.26256,-30.295692
Mangifera indica,-49.204925,-25.343786
Mangifera indica,-48.854704,-26.306104
Mangifera indica,-56.545601,-29.151901
Mangifera indica,-48.111427,-16.075677
Mangifera indica,-54.558538,-25.50013
Mangifera indica,-42.459053,-16.951972
Mangifera indica,-42.459174,-16.951991
Mangifera indica,-51.162116,-29.903487
Mangifera indica,-51.227778,-30.110278
Mangifera indica,-44.367007,-16.390254
Mangifera indica,-54.155109,-25.317641
Mangifera indica,-48.997128,-17.023346
Mangifera indica,-53.244434,-23.388347
Mangifera indica,-46.703975,-23.603708
Mangifera indica,-54.690833,-20.46
Mangifera indica,-54.690833,-20.46
Mangifera indica,-53.318665,-24.300446
Mangifera indica,-49.022154,-16.743146
Mangifera indica,-43.8625,-16.686111
Mangifera indica,-49.442606,-16.927729
Mangifera indica,-48.981116,-16.387475
Mangifera indica,-49.470016,-25.333752
Mangifera indica,-52.348773,-31.728558
Mangifera indica,-48.52343,-27.540878
Mangifera indica,-49.49227,-16.644433
Mangifera indica,-51.887997,-23.509994
Mangifera indica,-50.373686,-23.100132
Mangifera indica,-50.373717,-23.100098
Mangifera indica,-51.074023,-29.870977
Mangifera indica,-51.044218,-23.253217
Mangifera indica,-51.235861,-23.311003
Mangifera indica,-49.49089,-16.44576
Mangifera indica,-49.178285,-26.876462
Mangifera indica,-46.937715,-21.362688
Mangifera indica,-44.418056,-20.197222
Mangifera indica,-48.980723,-16.389075
Mangifera indica,-49.177968,-25.459644
Mangifera indica,-49.330624,-16.605713
