Species,decimalLongitude,decimalLatitude
Megabalanus coccopoma,-42.487867,-22.935932
Megabalanus coccopoma,-42.592817,-22.927497
Megabalanus coccopoma,-48.6344,-26.925242
Megabalanus coccopoma,-48.435003,-25.647686
Megabalanus coccopoma,-47.011559,-24.368673
Megabalanus coccopoma,-48.512648,-26.250697
Megabalanus coccopoma,-42.026649,-22.886901
Megabalanus coccopoma,-44.718192,-23.220411
Megabalanus coccopoma,-45.3847897,-23.6182813
Megabalanus coccopoma,-45.3750897,-23.6262803
Megabalanus coccopoma,-45.3750897,-23.6265813
Megabalanus coccopoma,-44.9328858,-23.3573806
Megabalanus coccopoma,-44.8661853,-23.3573808
Megabalanus coccopoma,-45.3809907,-23.6293823
Megabalanus coccopoma,-38.634069,-13.001833
Megabalanus coccopoma,-41.936534,-22.536039
Megabalanus coccopoma,-42.638733,-22.937277
Megabalanus coccopoma,-50.042222,-29.755556
