Species,decimalLongitude,decimalLatitude
Melia azedarach,-45.427889,-22.444331
Melia azedarach,-52.324399,-31.752444
Melia azedarach,-51.923962,-28.720525
Melia azedarach,-49.281939,-26.803517
Melia azedarach,-49.281944,-26.803333
Melia azedarach,-46.679951,-23.658361
Melia azedarach,-46.746984,-23.482531
Melia azedarach,-52.318402,-23.86681
Melia azedarach,-48.63262,-26.97162
Melia azedarach,-40.340253,-20.365195
Melia azedarach,-47.747232,-21.156516
Melia azedarach,-51.864867,-29.147902
Melia azedarach,-48.005102,-23.876763
Melia azedarach,-45.941744,-22.241754
Melia azedarach,-49.572231,-25.471451
Melia azedarach,-46.635714,-23.503413
Melia azedarach,-46.635714,-23.503413
Melia azedarach,-48.922288,-27.094086
Melia azedarach,-46.625592,-23.498995
Melia azedarach,-48.603745,-27.004178
Melia azedarach,-49.808984,-25.416971
Melia azedarach,-47.606507,-23.437375
Melia azedarach,-48.484653,-27.680575
Melia azedarach,-46.72334,-23.559751
Melia azedarach,-49.218622,-25.434561
Melia azedarach,-48.445542,-22.912903
Melia azedarach,-45.889561,-23.171413
Melia azedarach,-53.067601,-23.793308
Melia azedarach,-38.456121,-6.93606
Melia azedarach,-38.453353,-6.981249
Melia azedarach,-49.248101,-25.406588
Melia azedarach,-51.110449,-30.012497
Melia azedarach,-51.10685,-30.012608
Melia azedarach,-48.510605,-27.595872
Melia azedarach,-51.359583,-24.282056
Melia azedarach,-51.20523,-30.022358
Melia azedarach,-41.287142,-21.761166
Melia azedarach,-48.873507,-28.472745
Melia azedarach,-38.590668,-6.9115
Melia azedarach,-38.590722,-6.942591
Melia azedarach,-41.287066,-21.760975
Melia azedarach,-38.953106,-6.76644
Melia azedarach,-40.301596,-18.540059
Melia azedarach,-51.36468,-29.58108
Melia azedarach,-48.879108,-28.47554
Melia azedarach,-53.041111,-24.084167
Melia azedarach,-53.041306,-24.084167
Melia azedarach,-53.041306,-24.084167
Melia azedarach,-53.231323,-25.790784
Melia azedarach,-46.729929,-23.583427
Melia azedarach,-51.714167,-29.448055
Melia azedarach,-38.475068,-6.82018
Melia azedarach,-47.289853,-23.271238
Melia azedarach,-43.319439,-22.757306
Melia azedarach,-36.482673,-8.889363
Melia azedarach,-51.519686,-29.189323
Melia azedarach,-41.289353,-21.76202
Melia azedarach,-49.485502,-26.716506
Melia azedarach,-49.359722,-20.785
Melia azedarach,-51.806944,-28.992222
Melia azedarach,-38.888257,-6.733285
Melia azedarach,-47.377366,-20.560561
Melia azedarach,-51.429994,-29.942784
Melia azedarach,-48.922003,-27.093644
Melia azedarach,-49.190172,-25.562224
Melia azedarach,-49.211669,-26.761696
Melia azedarach,-40.339047,-20.368822
