Species,decimalLongitude,decimalLatitude
Melinis minutiflora,-40.60117,-19.932762
Melinis minutiflora,-43.919601,-19.965329
Melinis minutiflora,-48.628095,-26.9374
Melinis minutiflora,-47.525964,-22.394376
Melinis minutiflora,-48.66477,-27.039358
Melinis minutiflora,-48.697785,-26.367023
Melinis minutiflora,-47.866584,-15.681839
Melinis minutiflora,-48.984705,-27.08987
Melinis minutiflora,-48.489156,-27.596003
Melinis minutiflora,-49.507437,-28.489342
Melinis minutiflora,-48.988933,-27.087682
Melinis minutiflora,-52.656342,-18.394731
Melinis minutiflora,-41.048753,-20.271228
Melinis minutiflora,-48.867397,-26.035008
Melinis minutiflora,-42.993611,-22.424444
Melinis minutiflora,-49.066492,-28.328685
Melinis minutiflora,-42.042302,-20.962874
Melinis minutiflora,-40.608333,-19.988611
Melinis minutiflora,-43.498055,-20.272222
Melinis minutiflora,-49.375,-7.995
Melinis minutiflora,-40.608333,-19.988611
Melinis minutiflora,-43.554776,-18.552251
Melinis minutiflora,-44.999623,-21.729246
Melinis minutiflora,-44.999978,-21.72914
Melinis minutiflora,-41.734444,-20.394722
Melinis minutiflora,-38.433333,-12.783333
Melinis minutiflora,-41.020278,-20.399722
Melinis minutiflora,-41.466667,-13.683333
Melinis minutiflora,-41,-12
Melinis minutiflora,-49.071428,-26.93135
Melinis minutiflora,-47.898056,-15.933056
Melinis minutiflora,-41.466667,-13.683333
Melinis minutiflora,-47.893751,-15.928439
Melinis minutiflora,-47.8954,-15.92919
Melinis minutiflora,-40.676667,-19.021389
Melinis minutiflora,-40.741944,-19.055833
Melinis minutiflora,-47.926062,-15.739069
Melinis minutiflora,-47.884251,-15.74456
Melinis minutiflora,-40.676111,-19.022222
Melinis minutiflora,-40.685,-19.021667
Melinis minutiflora,-40.829722,-19.181389
Melinis minutiflora,-40.676111,-19.022222
Melinis minutiflora,-40.685,-19.021667
Melinis minutiflora,-40.829722,-19.181389
Melinis minutiflora,-47.898333,-15.944444
Melinis minutiflora,-40.676111,-19.022222
Melinis minutiflora,-40.685,-19.021666
