scientific_name,decimalLongitude,decimalLatitude
Mesocyclops ogunnus,-48.779389,-26.328864
Mesocyclops ogunnus,-48.779389,-26.328864
Mesocyclops ogunnus,-48.782558,-26.327109
Mesocyclops ogunnus,-48.779389,-26.328864
Mesocyclops ogunnus,-48.782558,-26.327109
Mesocyclops ogunnus,-48.779389,-26.328864
Mesocyclops ogunnus,-48.782558,-26.327109
Mesocyclops ogunnus,-48.782558,-26.327109
Mesocyclops ogunnus,-48.52,-22.87
Mesocyclops ogunnus,-50.1051133,-21.2951636
Mesocyclops ogunnus,-50.1362145,-21.2962615
Mesocyclops ogunnus,-50.1823152,-21.1062628
Mesocyclops ogunnus,-50.1076156,-21.0679609
Mesocyclops ogunnus,-50.1162137,-21.0748619
Mesocyclops ogunnus,-50.563516,-20.8932593
Mesocyclops ogunnus,-50.4640142,-20.0785581
Mesocyclops ogunnus,-51.0365173,-20.2943564
Mesocyclops ogunnus,-50.536516399999996,-21.10106
Mesocyclops ogunnus,-50.5360164,-21.100761
Mesocyclops ogunnus,-48.675706,-20.8765648
Mesocyclops ogunnus,-49.6754079,-19.9496596
Mesocyclops ogunnus,-49.8162101,-20.0715596
Mesocyclops ogunnus,-49.8137111,-20.0701596
Mesocyclops ogunnus,-50.0110123,-20.028758
Mesocyclops ogunnus,-50.0079112,-20.031259
Mesocyclops ogunnus,-50.3093117,-19.8854579
Mesocyclops ogunnus,-50.2865116,-19.890158
Mesocyclops ogunnus,-50.9785174,-20.0807559
Mesocyclops ogunnus,-48.1471057,-21.6590685
Mesocyclops ogunnus,-48.3857045,-21.362667
Mesocyclops ogunnus,-49.7440121,-21.3429646
Mesocyclops ogunnus,-49.6615121,-21.5318654
Mesocyclops ogunnus,-49.6615121,-21.5318654
Mesocyclops ogunnus,-49.5846144,-21.4632634
Mesocyclops ogunnus,-49.2751111,-21.6840648
Mesocyclops ogunnus,-51.851027,-21.2960592
Mesocyclops ogunnus,-48.5623033,-20.1268627
Mesocyclops ogunnus,-46.7267991,-23.674379
Mesocyclops ogunnus,-45.386491,-23.3865816
Mesocyclops ogunnus,-45.8620913,-23.3698793
Mesocyclops ogunnus,-45.8581923,-23.3685783
Mesocyclops ogunnus,-45.4420904,-23.3865814
Mesocyclops ogunnus,-45.5622924,-23.4485793
Mesocyclops ogunnus,-44.6467827,-22.626081
Mesocyclops ogunnus,-44.6339803,-22.5123796
Mesocyclops ogunnus,-46.8270927,-21.5490703
Mesocyclops ogunnus,-46.7478953,-21.5860716
Mesocyclops ogunnus,-46.7478953,-21.5860716
Mesocyclops ogunnus,-46.7478953,-21.5860716
Mesocyclops ogunnus,-47.4103947,-20.0796661
Mesocyclops ogunnus,-47.4103947,-20.0796661
Mesocyclops ogunnus,-47.4303949,-20.0937651
Mesocyclops ogunnus,-47.4103947,-20.0796661
Mesocyclops ogunnus,-47.4103947,-20.0796661
Mesocyclops ogunnus,-47.7322982,-20.9915674
Mesocyclops ogunnus,-49.6004163,-23.4021687
Mesocyclops ogunnus,-49.2254134,-23.2276703
Mesocyclops ogunnus,-49.7071172,-23.1410687
Mesocyclops ogunnus,-51.9887306,-22.5437621
Mesocyclops ogunnus,-52.526835,-22.5732597
Mesocyclops ogunnus,-52.526835,-22.5732597
Mesocyclops ogunnus,-47.2603974,-22.2096723
Mesocyclops ogunnus,-47.2603974,-22.2096723
Mesocyclops ogunnus,-48.9748094,-21.7573677
Mesocyclops ogunnus,-48.5210077,-22.5307701
Mesocyclops ogunnus,-48.743211,-22.1626695
Mesocyclops ogunnus,-46.5451002,-23.7918799
Mesocyclops ogunnus,-46.7578964,-22.3243739
