Species,decimalLongitude,decimalLatitude
Metynnis lippincottianus,-41.398141,-21.818354
Metynnis lippincottianus,-50.977888,-20.260003
Metynnis lippincottianus,-53.31385,-22.770458
Metynnis lippincottianus,-53.096128,-22.559525
Metynnis lippincottianus,-54.549444,-25.446944
Metynnis lippincottianus,-53.290556,-22.723056
Metynnis lippincottianus,-51.878664,-22.425114
Metynnis lippincottianus,-53.014222,-22.522778
Metynnis lippincottianus,-52.115925,-21.039856
Metynnis lippincottianus,-51.790953,-21.596653
Metynnis lippincottianus,-52.194833,-21.850278
Metynnis lippincottianus,-50.521111,-14.648889
Metynnis lippincottianus,-59.928333,-3.156111
Metynnis lippincottianus,-50.61,-4.625556
Metynnis lippincottianus,-50.434722,-4.836389
Metynnis lippincottianus,-51.859444,3.821944
Metynnis lippincottianus,-58.26291,-3.04288
Metynnis lippincottianus,-58.468167,-3.067583
Metynnis lippincottianus,-51.859444,3.821944
Metynnis lippincottianus,-51.580694,-22.690194
Metynnis lippincottianus,-53.217778,-22.724167
Metynnis lippincottianus,-48.958889,-20.103056
Metynnis lippincottianus,-50.888611,1.229167
Metynnis lippincottianus,-50.859444,1.139444
Metynnis lippincottianus,-50.893333,1.226111
Metynnis lippincottianus,-54.351472,-24.808611
Metynnis lippincottianus,-50.6625,-5.456389
Metynnis lippincottianus,-51.482944,-16.540747
Metynnis lippincottianus,-49.748833,-19.904583
Metynnis lippincottianus,-49.748833,-19.904583
Metynnis lippincottianus,-63.08,-9.941111
Metynnis lippincottianus,-45.084444,-12.643333
Metynnis lippincottianus,-45.084444,-12.643333
Metynnis lippincottianus,-44.805556,-12.996667
Metynnis lippincottianus,-44.805556,-12.996667
Metynnis lippincottianus,-44.611667,-13.1925
Metynnis lippincottianus,-63.08,-9.941111
Metynnis lippincottianus,-52.644444,2.152778
Metynnis lippincottianus,-55.713219,-11.671658
Metynnis lippincottianus,-45.0825,-2.521389
Metynnis lippincottianus,-45.0825,-2.521389
Metynnis lippincottianus,-45.848056,-12.716667
Metynnis lippincottianus,-45.084444,-12.643333
Metynnis lippincottianus,-50.954139,-23.020056
Metynnis lippincottianus,-50.954139,-23.020056
Metynnis lippincottianus,-59.908056,-3.163056
Metynnis lippincottianus,-45.430978,-3.653989
Metynnis lippincottianus,-45.323333,-2.263611
Metynnis lippincottianus,-45.430978,-3.653989
Metynnis lippincottianus,-45.323333,-2.263611
Metynnis lippincottianus,-53.093056,-20.2125
Metynnis lippincottianus,-45.084444,-12.643333
Metynnis lippincottianus,-45.271111,-12.45
Metynnis lippincottianus,-63.08,-9.941111
Metynnis lippincottianus,-48.2433001,-20.0439461
Metynnis lippincottianus,-49.7928135,-21.3607635
Metynnis lippincottianus,-59.003611,-3.475833
Metynnis lippincottianus,-49.794722,-21.2925
Metynnis lippincottianus,-53.217778,-22.724167
Metynnis lippincottianus,-59.821639,-1.522139
Metynnis lippincottianus,-59.821639,-1.522139
Metynnis lippincottianus,-53.217778,-22.724167
Metynnis lippincottianus,-52.872222,-22.601944
Metynnis lippincottianus,-54.890833,-2.435944
Metynnis lippincottianus,-52.215722,-1.774889
Metynnis lippincottianus,-52.520278,-2.336944
Metynnis lippincottianus,-52.215833,-1.775
Metynnis lippincottianus,-55.393472,-11.538039
Metynnis lippincottianus,-55.578172,-11.485842
Metynnis lippincottianus,-52.520333,-2.337
Metynnis lippincottianus,-53.293889,-22.756667
Metynnis lippincottianus,-47.132222,-1.601667
Metynnis lippincottianus,-47.132222,-1.601667
Metynnis lippincottianus,-53.217778,-22.724167
Metynnis lippincottianus,-40.08,-19.41
Metynnis lippincottianus,-46.594167,-1.745556
Metynnis lippincottianus,-53.3024,-22.7518
Metynnis lippincottianus,-42.120617,-19.021269
Metynnis lippincottianus,-52.254433,-1.73175
Metynnis lippincottianus,-58.945556,-3.489167
Metynnis lippincottianus,-51.859444,3.821944
Metynnis lippincottianus,-53.97,-24.7
Metynnis lippincottianus,-53.97,-24.7
Metynnis lippincottianus,-53.97,-24.7
Metynnis lippincottianus,-46.888611,-1.039722
Metynnis lippincottianus,-52.872222,-22.601944
Metynnis lippincottianus,-45.2925,-18.428056
Metynnis lippincottianus,-45.384167,-18.820556
Metynnis lippincottianus,-44.907222,-18.860833
Metynnis lippincottianus,-59.91,-3.17
Metynnis lippincottianus,-40.238194,-13.864417
Metynnis lippincottianus,-39.07019,-16.28324
Metynnis lippincottianus,-46.970833,-17.494722
Metynnis lippincottianus,-50.141944,-21.197778
Metynnis lippincottianus,-54.583622,-25.591881
Metynnis lippincottianus,-54.583622,-25.591881
Metynnis lippincottianus,-46.970833,-17.494722
Metynnis lippincottianus,-50.44775,-23.031639
Metynnis lippincottianus,-50.44775,-23.031639
Metynnis lippincottianus,-53.251944,-22.760833
Metynnis lippincottianus,-45.235556,-18.243056
Metynnis lippincottianus,-48.5675,-0.847778
Metynnis lippincottianus,-45.235556,-18.243056
Metynnis lippincottianus,-45.24,-18.24
Metynnis lippincottianus,-53.285833,-22.753611
Metynnis lippincottianus,-53.256667,-22.700278
Metynnis lippincottianus,-53.5525,-22.825833
Metynnis lippincottianus,-50.719444,-13.403056
Metynnis lippincottianus,-64.940278,-9.616944
Metynnis lippincottianus,-53.224722,-22.690556
Metynnis lippincottianus,-47.945278,-1.034722
Metynnis lippincottianus,-50.14,-21.3
Metynnis lippincottianus,-50.57,-21.09
Metynnis lippincottianus,-50.95,-12.32
Metynnis lippincottianus,-44.77,-19.16
Metynnis lippincottianus,-50.643333,-19.126667
Metynnis lippincottianus,-50.636111,-18.855833
Metynnis lippincottianus,-48.420556,-16.271944
Metynnis lippincottianus,-50.223889,-17.782222
Metynnis lippincottianus,-54.588056,-25.546667
Metynnis lippincottianus,-55.275,-4.319722
Metynnis lippincottianus,-55.299722,-4.027222
Metynnis lippincottianus,-55.281111,-4.146111
Metynnis lippincottianus,-50.643333,-19.126667
Metynnis lippincottianus,-48.495556,-16.321944
Metynnis lippincottianus,-56.222997,-1.73575
Metynnis lippincottianus,-52.872222,-22.600278
Metynnis lippincottianus,-52.872222,-22.600278
Metynnis lippincottianus,-54.333333,-24.633333
Metynnis lippincottianus,-54.307778,-24.110278
Metynnis lippincottianus,-54.588056,-25.546667
Metynnis lippincottianus,-59.819167,-15.026944
Metynnis lippincottianus,-54.55,-25.433333
Metynnis lippincottianus,-52.46,-0.83
Metynnis lippincottianus,-52.46,-0.83
Metynnis lippincottianus,-48.495556,-16.321944
Metynnis lippincottianus,-50.7,-13.33
Metynnis lippincottianus,-54.060833,-24.926944
Metynnis lippincottianus,-54.2,-25.216667
Metynnis lippincottianus,-55.224722,-25.227222
Metynnis lippincottianus,-55.224722,-25.227222
Metynnis lippincottianus,-54.216667,-24.666667
