scientific_name,decimalLongitude,decimalLatitude
Metynnis maculatus,-49.9306689,-22.9141315
Metynnis maculatus,-49.9306689,-22.9141315
Metynnis maculatus,-43.438268,-22.586237
Metynnis maculatus,-54.732018,-2.393977
Metynnis maculatus,-40.229444,-19.447222
Metynnis maculatus,-48.363889,-20.055556
Metynnis maculatus,-48.346944,-20.051111
Metynnis maculatus,-55.628611,-19.507778
Metynnis maculatus,-48.346944,-20.051111
Metynnis maculatus,-48.363889,-20.055556
Metynnis maculatus,-50.434722,-4.836389
Metynnis maculatus,-45.200833,-12.490556
Metynnis maculatus,-47.433333,-20.731389
Metynnis maculatus,-40.013917,-19.747278
Metynnis maculatus,-49.67135,-3.808219
Metynnis maculatus,-40.611944,-19.47
Metynnis maculatus,-40.013333,-19.691389
Metynnis maculatus,-40.013917,-19.747278
Metynnis maculatus,-46.1975,-23.2525
Metynnis maculatus,-39.934444,-19.572778
Metynnis maculatus,-43.438333,-13.487222
Metynnis maculatus,-45.084444,-12.643333
Metynnis maculatus,-41.005847,-19.508772
Metynnis maculatus,-41.005847,-19.508772
Metynnis maculatus,-40.013333,-19.691389
Metynnis maculatus,-45.084444,-12.643333
Metynnis maculatus,-50.954139,-23.020056
Metynnis maculatus,-50.954139,-23.020056
Metynnis maculatus,-50.954139,-23.020056
Metynnis maculatus,-43.883333,-22.833333
Metynnis maculatus,-44.805556,-12.996667
Metynnis maculatus,-45.084444,-12.643333
Metynnis maculatus,-56.154894,-19.578686
Metynnis maculatus,-63.003611,-10.065278
Metynnis maculatus,-49.9628447,-21.4055833
Metynnis maculatus,-66.793611,0.930556
Metynnis maculatus,-40.408056,-19.549722
Metynnis maculatus,-40.916667,-19.500833
Metynnis maculatus,-40.426389,-20.310278
Metynnis maculatus,-40.326944,-19.522203
Metynnis maculatus,-40.376814,-19.551211
Metynnis maculatus,-64.848333,-9.365833
Metynnis maculatus,-52.146106,-21.037217
Metynnis maculatus,-52.120333,-21.020222
Metynnis maculatus,-55.700661,-14.982111
Metynnis maculatus,-47.356631,-16.111373
Metynnis maculatus,-47.304418,-16.0277
Metynnis maculatus,-49.613889,-18.476667
Metynnis maculatus,-57.992583,-12.186917
Metynnis maculatus,-57.992583,-12.186917
Metynnis maculatus,-52.254444,-1.731667
Metynnis maculatus,-58.971389,-3.476667
Metynnis maculatus,-64.846389,-9.364444
Metynnis maculatus,-50.424722,-18.833889
Metynnis maculatus,-47.793333,-3.280556
Metynnis maculatus,-47.932222,-3.288333
Metynnis maculatus,-64.59,-12.202222
Metynnis maculatus,-64.623056,-9.193611
Metynnis maculatus,-60.063056,-15.854444
Metynnis maculatus,-49.7975,-18.934167
Metynnis maculatus,-50.424722,-18.833889
Metynnis maculatus,-47.308116,-16.056804
Metynnis maculatus,-47.324819,-16.029286
Metynnis maculatus,-47.308116,-16.056804
Metynnis maculatus,-47.304418,-16.0277
Metynnis maculatus,-65.286944,-10.854444
Metynnis maculatus,-50.502222,-18.994444
Metynnis maculatus,-50.503889,-19.0425
Metynnis maculatus,-64.848056,-9.397778
Metynnis maculatus,-49.861389,-18.805
Metynnis maculatus,-56.979167,-19.609444
Metynnis maculatus,-64.624444,-9.193611
Metynnis maculatus,-64.848056,-9.397778
Metynnis maculatus,-49.613889,-18.476667
Metynnis maculatus,-48.052778000000004,-18.908333
Metynnis maculatus,-50.503889,-19.0425
Metynnis maculatus,-48.733889,-23.327444
Metynnis maculatus,-64.939722,-9.593611
Metynnis maculatus,-49.318889,-2.218889
Metynnis maculatus,-46.842778,-19.300556
Metynnis maculatus,-48.052778000000004,-18.908333
Metynnis maculatus,-47.990833,-18.451111
Metynnis maculatus,-47.638333,-19.173056
Metynnis maculatus,-48.052778000000004,-18.908333
Metynnis maculatus,-50.636111,-18.855833
Metynnis maculatus,-48.195,-2.503889
Metynnis maculatus,-69.188333,-7.881944
Metynnis maculatus,-52.962222,-22.200111
Metynnis maculatus,-39.049167,-14.788889
Metynnis maculatus,-57.049444,-1.086667
Metynnis maculatus,-48.155,-20.8775
Metynnis maculatus,-49.9810116,-20.990761
Metynnis maculatus,-44.728056,-17.437222
Metynnis maculatus,-48.364167,-10.445278
Metynnis maculatus,-39.3575,-13.406389
Metynnis maculatus,-39.676945,-14.0325
Metynnis maculatus,-43.883333,-22.833333
Metynnis maculatus,-48.751667,-22.147222
Metynnis maculatus,-43.883333,-22.833333
Metynnis maculatus,-56.561944,-11.878611
Metynnis maculatus,-43.538333,-21.391111
Metynnis maculatus,-36.383056,-10.285278
Metynnis maculatus,-40.071944,-19.390833
Metynnis maculatus,-50.842778,-22.770556
Metynnis maculatus,-50.842778,-22.770556
Metynnis maculatus,-52.255278,-22.6125
Metynnis maculatus,-42.843889,-10.803611
Metynnis maculatus,-43.138889,-11.092222
Metynnis maculatus,-38.168056,-12.749722
Metynnis maculatus,-43.122222,-11.084444
Metynnis maculatus,-50.161389,-9.720556
Metynnis maculatus,-56.183333,-21.216667
Metynnis maculatus,-56.183333,-21.216667
Metynnis maculatus,-49.029722,-14.535556
Metynnis maculatus,-44.1,-22.5
Metynnis maculatus,-44.1,-22.5
Metynnis maculatus,-44.1,-22.5
Metynnis maculatus,-50.849722,-23.099722
Metynnis maculatus,-50.849722,-23.099722
Metynnis maculatus,-50.951944,-23.024444
Metynnis maculatus,-50.951944,-23.024444
Metynnis maculatus,-50.951944,-23.024444
Metynnis maculatus,-50.951944,-23.024444
Metynnis maculatus,-50.951944,-23.024444
Metynnis maculatus,-50.951944,-23.024444
Metynnis maculatus,-50.951944,-23.024444
Metynnis maculatus,-50.951944,-23.024444
Metynnis maculatus,-50.951944,-23.024444
Metynnis maculatus,-50.951944,-23.024444
Metynnis maculatus,-56.716667,-17.3
Metynnis maculatus,-50.951944,-23.024444
Metynnis maculatus,-50.951944,-23.024444
Metynnis maculatus,-50.951944,-23.024444
Metynnis maculatus,-50.951944,-23.024444
Metynnis maculatus,-50.951944,-23.024444
Metynnis maculatus,-50.951944,-23.024444
Metynnis maculatus,-56.979167,-19.609444
Metynnis maculatus,-50.951944,-23.024444
Metynnis maculatus,-50.951944,-23.024444
Metynnis maculatus,-50.951944,-23.024444
Metynnis maculatus,-50.951944,-23.024444
Metynnis maculatus,-50.951944,-23.024444
Metynnis maculatus,-50.951944,-23.024444
Metynnis maculatus,-50.951944,-23.024444
Metynnis maculatus,-50.951944,-23.024444
Metynnis maculatus,-50.951944,-23.024444
Metynnis maculatus,-50.951944,-23.024444
Metynnis maculatus,-50.951944,-23.024444
Metynnis maculatus,-50.951944,-23.024444
Metynnis maculatus,-50.951944,-23.024444
Metynnis maculatus,-50.951944,-23.024444
Metynnis maculatus,-50.951944,-23.024444
Metynnis maculatus,-50.951944,-23.024444
Metynnis maculatus,-50.951944,-23.024444
Metynnis maculatus,-50.951944,-23.024444
Metynnis maculatus,-50.951944,-23.024444
Metynnis maculatus,-50.951944,-23.024444
Metynnis maculatus,-50.951944,-23.024444
Metynnis maculatus,-50.951944,-23.024444
Metynnis maculatus,-50.951944,-23.024444
Metynnis maculatus,-50.951944,-23.024444
Metynnis maculatus,-57.011667,-19.576944
Metynnis maculatus,-55.607222,-19.629167
Metynnis maculatus,-55.354444,-19.637222
Metynnis maculatus,-55.278056,-19.886667
Metynnis maculatus,-57.011667,-19.576944
Metynnis maculatus,-54.15,-17.2
Metynnis maculatus,-51.65,4.05
Metynnis maculatus,-57.416667,-19.416667
Metynnis maculatus,-55.95,-16.183333
Metynnis maculatus,-65.366667,-10.8
Metynnis maculatus,-65.366667,-10.8
Metynnis maculatus,-47.99167,-1.30833
Metynnis maculatus,-47.75389,-2.02806
Metynnis maculatus,-57.360555,-17.143767
Metynnis maculatus,-58.016962,-16.146847
Metynnis maculatus,-58.016962,-16.146847
Metynnis maculatus,-57.704962,-16.076234
Metynnis maculatus,-54.69167,-2.44167
Metynnis maculatus,-58.35833,-2.89167
Metynnis maculatus,-58.35833,-2.89167
Metynnis maculatus,-51.081111,-20.806667
Metynnis maculatus,-51.081111,-20.806667
