Species,decimalLongitude,decimalLatitude
Micropterus salmoides,-49.387778,-25.527778
Micropterus salmoides,-50.583333,-24.283056
Micropterus salmoides,-50.583333,-24.283056
Micropterus salmoides,-50.583333,-24.283056
Micropterus salmoides,-50.583333,-24.283056
Micropterus salmoides,-50.583333,-24.283056
Micropterus salmoides,-39.164194,-14.799139
Micropterus salmoides,-53.78,-24.796111
Micropterus salmoides,-50.157333,-25.026
Micropterus salmoides,-48.896389,-25.178611
Micropterus salmoides,-50.582722,-24.283333
Micropterus salmoides,-50.582722,-24.283333
Micropterus salmoides,-51.474444,-29.018889
Micropterus salmoides,-50.543056,-29.160833
Micropterus salmoides,-52.272778,-24.039167
Micropterus salmoides,-47.175106,-23.9362786
Micropterus salmoides,-48.866024,-25.160452
Micropterus salmoides,-52.329444,-24.136111
Micropterus salmoides,-49.067778,-25.820278
Micropterus salmoides,-50.470556,-29.223889
Micropterus salmoides,-48.973611,-25.708056
Micropterus salmoides,-48.868889,-25.1425
Micropterus salmoides,-53.416667,-25.5
Micropterus salmoides,-50.933334,-28.5
Micropterus salmoides,-50.933334,-28.5
Micropterus salmoides,-50.933334,-28.5
Micropterus salmoides,-50.933334,-28.5
Micropterus salmoides,-50.933334,-28.5
Micropterus salmoides,-50.933334,-28.5
Micropterus salmoides,-50.933334,-28.5
Micropterus salmoides,-50.933334,-28.5
Micropterus salmoides,-50.933334,-28.5
Micropterus salmoides,-50.933334,-28.5
Micropterus salmoides,-50.933334,-28.5
Micropterus salmoides,-50.933334,-28.5
Micropterus salmoides,-50.933334,-28.5
Micropterus salmoides,-50.933334,-28.5
Micropterus salmoides,-50.933334,-28.5
Micropterus salmoides,-50.933334,-28.5
Micropterus salmoides,-50.133335,-29.049999
Micropterus salmoides,-50.133335,-29.049999
Micropterus salmoides,-50.700001,-29.299999
Micropterus salmoides,-53.083332,-28.633333
