Species,decimalLongitude,decimalLatitude
Mikania cordifolia,-48.433889,-22.908056
Mikania cordifolia,-51.177874,-30.052825
Mikania cordifolia,-39.738611,-18.958611
Mikania cordifolia,-39.738611,-18.958611
Mikania cordifolia,-48.406477,-27.482837
Mikania cordifolia,-39.871944,-19.629722
Mikania cordifolia,-39.871944,-19.629722
Mikania cordifolia,-48.443783,-22.917862
Mikania cordifolia,-48.443578,-22.918172
Mikania cordifolia,-51.104419,-30.006936
Mikania cordifolia,-43.681111,-20.094722
Mikania cordifolia,-43.681111,-20.094722
Mikania cordifolia,-38.491691,-7.120177
Mikania cordifolia,-49.086219,-27.052726
Mikania cordifolia,-49.9225,-29.320833
Mikania cordifolia,-46.430914,-23.537606
Mikania cordifolia,-48.124722,-15.519722
Mikania cordifolia,-48.124722,-15.519722
Mikania cordifolia,-48.63143,-27.989086
Mikania cordifolia,-53.703861,-29.710694
Mikania cordifolia,-49.473507,-28.884362
Mikania cordifolia,-39.279751,-6.356119
Mikania cordifolia,-39.279751,-6.356119
Mikania cordifolia,-48.516944,-27.597222
Mikania cordifolia,-48.516944,-27.597222
Mikania cordifolia,-53.415538,-30.889563
Mikania cordifolia,-52.460544,-9.803481
Mikania cordifolia,-44.086944,-20.162222
Mikania cordifolia,-51.9075,-21.260556
Mikania cordifolia,-51.213077,-30.040067
Mikania cordifolia,-40.418056,-20.55
Mikania cordifolia,-40.418056,-20.55
Mikania cordifolia,-55.495833,-9.4975
Mikania cordifolia,-51.9075,-21.260556
Mikania cordifolia,-52.099444,-29.319444
Mikania cordifolia,-51.461895,-21.560191
Mikania cordifolia,-48.670083,-22.806444
Mikania cordifolia,-40.807222,-20.95
Mikania cordifolia,-46.116389,-23.792828
Mikania cordifolia,-40.807222,-20.95
Mikania cordifolia,-58.3275,-0.6125
Mikania cordifolia,-58.327583,0.612333
Mikania cordifolia,-41.99,-22.561944
Mikania cordifolia,-51.948517,-23.403122
Mikania cordifolia,-43.698056,-20.005556
Mikania cordifolia,-43.698056,-20.005556
Mikania cordifolia,-47.723252,-23.304713
Mikania cordifolia,-41.720556,-20.406667
Mikania cordifolia,-43.363889,-19.835556
Mikania cordifolia,-43.699444,-20.014444
Mikania cordifolia,-49.30372,-16.692048
Mikania cordifolia,-51.852222,-25.960556
Mikania cordifolia,-51.518889,-25.960556
Mikania cordifolia,-38.560194,-3.798694
Mikania cordifolia,-51.85225,-25.960667
Mikania cordifolia,-39.763333,-18.799444
Mikania cordifolia,-39.763333,-18.799444
Mikania cordifolia,-54.510556,-25.586111
Mikania cordifolia,-54.510556,-25.586111
Mikania cordifolia,-49.412778,-28.705278
Mikania cordifolia,-39.739722,-18.958889
Mikania cordifolia,-39.739722,-18.958889
Mikania cordifolia,-48.458889,-27.608611
Mikania cordifolia,-48.507778,-27.744444
Mikania cordifolia,-48.5075,-27.745
Mikania cordifolia,-53.702222,-22.928889
Mikania cordifolia,-48.458889,-27.608611
Mikania cordifolia,-48.5075,-27.745
Mikania cordifolia,-48.507778,-27.744444
Mikania cordifolia,-36.869722,-8.440833
Mikania cordifolia,-36.997222,-8.466111
Mikania cordifolia,-50.200278,-29.999444
Mikania cordifolia,-48.842222,-27.721944
Mikania cordifolia,-40.407778,-20.550833
Mikania cordifolia,-40.407778,-20.550833
Mikania cordifolia,-49.305556,-25.396389
Mikania cordifolia,-40.967778,-21.113611
Mikania cordifolia,-47.081111,-22.647222
Mikania cordifolia,-42.384444,-2.967222
Mikania cordifolia,-49.305556,-25.396389
Mikania cordifolia,-40.967778,-21.113611
Mikania cordifolia,-47.873889,-22.175278
Mikania cordifolia,-38.88875,-3.570917
Mikania cordifolia,-47.497128,-23.268575
Mikania cordifolia,-48.476389,-27.6525
Mikania cordifolia,-47.873888,-22.175277
Mikania cordifolia,-38.570833,-3.791111
Mikania cordifolia,-55.453889,-11.364444
Mikania cordifolia,-40.668333,-20.817222
Mikania cordifolia,-38.641861,-3.712917
Mikania cordifolia,-54.36,-14.58
Mikania cordifolia,-40.666389,-20.813333
Mikania cordifolia,-37.703611,-12.004167
Mikania cordifolia,-43.689722,-20.048056
Mikania cordifolia,-37.703611,-12.004167
Mikania cordifolia,-52.101667,-29.375833
Mikania cordifolia,-51.947983,-23.401731
Mikania cordifolia,-49.434722,-28.597222
Mikania cordifolia,-49.434722,-28.597222
Mikania cordifolia,-37.703611,-12.004167
Mikania cordifolia,-37.703611,-12.004167
Mikania cordifolia,-44.276667,-2.515556
Mikania cordifolia,-42.854167,-22.8925
Mikania cordifolia,-49.411111,-28.713889000000002
Mikania cordifolia,-49.411111,-28.713889000000002
Mikania cordifolia,-40.649444,-19.981111
Mikania cordifolia,-40.8125,-3.968333
Mikania cordifolia,-40.484444,-3.580556
Mikania cordifolia,-40.649444,-19.981111
Mikania cordifolia,-46.245,-23.515278
Mikania cordifolia,-40.812694,-3.968444
Mikania cordifolia,-40.8125,-3.968333
Mikania cordifolia,-46.873333,-23.920278
Mikania cordifolia,-46.873333,-23.920277
Mikania cordifolia,-46.873333,-23.920278
Mikania cordifolia,-46.873333,-23.920278
Mikania cordifolia,-48.489444,-22.893333
Mikania cordifolia,-46.808333,-22.7575
Mikania cordifolia,-47.918889,-15.735833
Mikania cordifolia,-53.044444,-25.361111
Mikania cordifolia,-56.6305,-20.7551
Mikania cordifolia,-56.6305,-20.7551
Mikania cordifolia,-56.630556,-20.755
Mikania cordifolia,-52.370278,1.187778
Mikania cordifolia,-44.276667,-2.515556
Mikania cordifolia,-52.370278,1.187778
Mikania cordifolia,-49.08333,-25.9162
Mikania cordifolia,-40.649444,-19.981111
Mikania cordifolia,-49.05,-25.545833
Mikania cordifolia,-49.05,-25.545833
Mikania cordifolia,-49.05,-25.545833
Mikania cordifolia,-40.649444,-19.981111
Mikania cordifolia,-49.05,-25.545833
Mikania cordifolia,-49.05,-25.545833
Mikania cordifolia,-49.03,-25.324445
Mikania cordifolia,-54.585,-25.514722
Mikania cordifolia,-47.763889,-21.103889
Mikania cordifolia,-47.763889,-21.103889
Mikania cordifolia,-48.295833,-18.9825
Mikania cordifolia,-48.295833,-18.9825
Mikania cordifolia,-50.263056,-18.459444
Mikania cordifolia,-50.263056,-18.459444
Mikania cordifolia,-40.071389,-13.873056
Mikania cordifolia,-40.071389,-13.073056
Mikania cordifolia,-40.071389,-13.873056
Mikania cordifolia,-40.071389,-13.873056
Mikania cordifolia,-40.04166,-13.52228
Mikania cordifolia,-37.157222,-10.820556
Mikania cordifolia,-37.157222,-10.820556
Mikania cordifolia,-39.631944,-11.607222
Mikania cordifolia,-39.631944,-11.607222
Mikania cordifolia,-39.631944,-11.607222
Mikania cordifolia,-40.95,-3.866667
Mikania cordifolia,-54.928611,-3.052778
Mikania cordifolia,-54.928611,-3.052778
Mikania cordifolia,-54.9286,-3.0528
Mikania cordifolia,-40.95,-3.866667
Mikania cordifolia,-54.928611,-3.052778
Mikania cordifolia,-54.928611,-3.052778
Mikania cordifolia,-50.873333,-29.4
Mikania cordifolia,-56.351889,-10.354083
Mikania cordifolia,-52.261667,-28.833056
Mikania cordifolia,-51.08435,-29.734417
Mikania cordifolia,-51.179883,-29.764217
Mikania cordifolia,-46.381111,-21.9525
Mikania cordifolia,-36.542778,-10.081944
Mikania cordifolia,-51.66,-30.46
Mikania cordifolia,-36.907778,-10.138611
Mikania cordifolia,-47.91,-22.25
Mikania cordifolia,-51.66,-30.46
Mikania cordifolia,-47.885833,-22.235
Mikania cordifolia,-56.297778,-16.514722
Mikania cordifolia,-47.960556,-15.509722
Mikania cordifolia,-47.960556,-15.509722
Mikania cordifolia,-56.297778,-16.514722
Mikania cordifolia,-50.261667,-18.459444
Mikania cordifolia,-50.261667,-18.459444
Mikania cordifolia,-47.933611,-15.735556
Mikania cordifolia,-44.250278,-2.493889
Mikania cordifolia,-49.296111,-14.168056
Mikania cordifolia,-50.212778,-29.976944
Mikania cordifolia,-50.212778,-29.976944
Mikania cordifolia,-50.212778,-29.976944
Mikania cordifolia,-50.212778,-29.976944
Mikania cordifolia,-47.918889,-15.737778
Mikania cordifolia,-53.578333,-22.567222
Mikania cordifolia,-50.212778,-29.976944
Mikania cordifolia,-50.212778,-29.976944
