scientific_name,decimalLongitude,decimalLatitude
Moenkhausia costae,-42.886389,-14.134167
Moenkhausia costae,-42.583333,-14.134167
Moenkhausia costae,-45.084444,-12.643333
Moenkhausia costae,-45.084444,-12.643333
Moenkhausia costae,-43.119444,-13.960556
Moenkhausia costae,-45.084444,-12.643333
Moenkhausia costae,-44.758056,-15.494167
Moenkhausia costae,-44.935278,-17.365806
Moenkhausia costae,-43.443333,-13.5475
Moenkhausia costae,-43.428333,-13.448889
Moenkhausia costae,-43.119444,-13.960556
Moenkhausia costae,-43.119444,-13.960556
Moenkhausia costae,-42.9125,-14.114167
Moenkhausia costae,-43.147778,-14.053333
Moenkhausia costae,-43.443333,-13.5475
Moenkhausia costae,-43.907778,-13.297222
Moenkhausia costae,-39.6105,-10.961306
Moenkhausia costae,-39.630528,-10.989333
Moenkhausia costae,-43.428333,-13.448889
Moenkhausia costae,-43.443333,-13.5475
Moenkhausia costae,-43.443333,-13.5475
Moenkhausia costae,-43.428333,-13.448889
Moenkhausia costae,-42.9125,-14.114167
Moenkhausia costae,-43.064444,-14.053333
Moenkhausia costae,-44.410833,-13.384167
Moenkhausia costae,-42.886389,-14.134167
Moenkhausia costae,-45.084444,-12.643333
Moenkhausia costae,-45.084444,-12.643333
Moenkhausia costae,-45.848056,-12.716667
Moenkhausia costae,-45.848056,-12.716667
Moenkhausia costae,-42.9125,-14.114167
Moenkhausia costae,-43.064444,-14.053333
Moenkhausia costae,-42.9125,-14.114167
Moenkhausia costae,-47.292107,-16.215543
Moenkhausia costae,-38.954334,-6.405806
Moenkhausia costae,-45.2925,-18.428056
Moenkhausia costae,-45.384167,-18.820556
Moenkhausia costae,-45.403056,-19.011389
Moenkhausia costae,-45.318333,-18.337222
Moenkhausia costae,-45.209444,-18.756944
Moenkhausia costae,-44.907222,-18.860833
Moenkhausia costae,-44.636667,-15.671667
Moenkhausia costae,-42.338194,-10.986167
Moenkhausia costae,-44.675833,-17.615556
Moenkhausia costae,-44.637,-15.672
Moenkhausia costae,-44.64,-15.67
Moenkhausia costae,-39.6690957,-10.9875066
Moenkhausia costae,-39.669194,-10.983833
Moenkhausia costae,-39.666477,-10.98455
Moenkhausia costae,-37.028611,-10.671944
Moenkhausia costae,-45.6525,-20.199944
Moenkhausia costae,-44.128613,-15.211945
Moenkhausia costae,-44.108612,-15.1675
Moenkhausia costae,-42.969444,-16.590556
Moenkhausia costae,-39.240555,-8.540833
Moenkhausia costae,-38.990555,-8.667222
Moenkhausia costae,-39.040554,-6.413889
Moenkhausia costae,-39.384167,-6.454444
Moenkhausia costae,-39.938333,-7.872778
Moenkhausia costae,-40.218333,-8.083333
Moenkhausia costae,-40.4225,-8.515556
Moenkhausia costae,-43.157222,-11.102222
Moenkhausia costae,-42.888056,-10.706667
Moenkhausia costae,-42.843889,-10.803611
Moenkhausia costae,-43.138889,-11.092222
Moenkhausia costae,-43.122222,-11.084444
Moenkhausia costae,-44.1375,-18.889444
Moenkhausia costae,-44.528889,-11.006111
Moenkhausia costae,-45.1975,-11.048056
Moenkhausia costae,-44.645833,-17.131944
Moenkhausia costae,-44.558333,-17.154167
Moenkhausia costae,-44.333333,-13.4
Moenkhausia costae,-43.85,-16.733333
Moenkhausia costae,-44.5,-19.633333
Moenkhausia costae,-43.499396,-13.816887
Moenkhausia costae,-44.370802,-15.55218
Moenkhausia costae,-44.082689,-14.879642
Moenkhausia costae,-44.759002,-18.944665
Moenkhausia costae,-43.429713,-13.250502
Moenkhausia costae,-43.700218,-16.641627
Moenkhausia costae,-43.430627,-14.271203999999999
Moenkhausia costae,-44.149614,-14.591097
Moenkhausia costae,-44.395435,-15.598811
Moenkhausia costae,-43.444991,-13.284186
Moenkhausia costae,-43.16126,-15.402648
Moenkhausia costae,-44.166668,-14.266666
Moenkhausia costae,-42.825001,-14.213333
Moenkhausia costae,-43.290833,-14.259444
Moenkhausia costae,-43.713612,-16.650278
Moenkhausia costae,-43.501667,-13.816112
Moenkhausia costae,-44.233891,-15.345555
Moenkhausia costae,-43.263611,-15.214723
Moenkhausia costae,-43.422222,-13.253333
Moenkhausia costae,-44.401669,-15.565556
Moenkhausia costae,-43.357777,-13.520278
Moenkhausia costae,-43.766667,-14.75
Moenkhausia costae,-36.416668,-10.25
Moenkhausia costae,-45.333333,-18.566667
Moenkhausia costae,-45.150002,-18.633333
Moenkhausia costae,-45.283333,-18.5
Moenkhausia costae,-36.866667,-10.7
Moenkhausia costae,-45.283333,-18.5
Moenkhausia costae,-45.283333,-18.5
Moenkhausia costae,-45.283333,-18.5
Moenkhausia costae,-44.954963,-17.336154
Moenkhausia costae,-44.996578,-12.138312
Moenkhausia costae,-40.515149,-9.406149
Moenkhausia costae,-44.996578,-12.138312
Moenkhausia costae,-44.8803,-17.320231
Moenkhausia costae,-43.84109,-11.351935
Moenkhausia costae,-44.996578,-12.138312
Moenkhausia costae,-36.588155,-10.290511
Moenkhausia costae,-39.630042,-10.972079
Moenkhausia costae,-36.588155,-10.290511
Moenkhausia costae,-39.630042,-10.972079
Moenkhausia costae,-40.50765,-9.406985
Moenkhausia costae,-44.954791,-17.336154
Moenkhausia costae,-44.95,-17.433333
Moenkhausia costae,-44.401667,-15.598889
Moenkhausia costae,-43.263611,-15.214722
Moenkhausia costae,-43.501667,-13.816111
Moenkhausia costae,-43.422222,-13.253333
Moenkhausia costae,-43.4475,-13.256111
Moenkhausia costae,-43.357778,-13.520278
Moenkhausia costae,-44.303611,-13.587778
Moenkhausia costae,-36.583333,-10.283333
Moenkhausia costae,-44.606389,-15.682222
Moenkhausia costae,-41.158611,-9.426389
