scientific_name,decimalLongitude,decimalLatitude
Monomorium floricola,-47.888317,-22.025056
Monomorium floricola,-34.889916,-8.026069
Monomorium floricola,-48.346998,-15.712058
Monomorium floricola,-35.223515,-5.930694
Monomorium floricola,-35.223515,-5.930694
Monomorium floricola,-35.207978,-5.786403
Monomorium floricola,-38.49972,-3.755328
Monomorium floricola,-47.342012,-15.527778
Monomorium floricola,-41.682906,-20.779524
Monomorium floricola,-35.690053,-9.613015
Monomorium floricola,-43.330069,-22.977889
Monomorium floricola,-46.553735,-23.573412
Monomorium floricola,-51.097041,-29.739988
Monomorium floricola,-41.686956,-20.781919
Monomorium floricola,-46.789476,-23.508469
Monomorium floricola,-46.789478,-23.508567
Monomorium floricola,-47.342075,-15.527611
Monomorium floricola,-46.706693,-23.653661
Monomorium floricola,-38.487788,-3.7456
Monomorium floricola,-38.483839,-3.750342
Monomorium floricola,-44.268524,-2.508264
Monomorium floricola,-67.863871,-9.954592
Monomorium floricola,-38.470195,-3.832035
Monomorium floricola,-43.865624,-19.812489
Monomorium floricola,-35.223515,-5.930694
Monomorium floricola,-38.499779,-3.754223
Monomorium floricola,-38.484667,-3.749475
Monomorium floricola,-43.963924,-19.857539
Monomorium floricola,-44.02,-20.000306
Monomorium floricola,-60.001378,-3.136543
Monomorium floricola,-60.001378,-3.136543
Monomorium floricola,-46.651789,-23.461456
Monomorium floricola,-46.651839,-23.461805
Monomorium floricola,-35.223515,-5.930694
Monomorium floricola,-48.139097,-15.783932
Monomorium floricola,-35.165012,-7.923776
Monomorium floricola,-38.539188,-10.839733
Monomorium floricola,-53.644722,-25.787918
Monomorium floricola,-41.456729,-20.757821
Monomorium floricola,-47.876751,-15.84143
Monomorium floricola,-41.128795,-20.327349
Monomorium floricola,-53.644635,-25.787874
Monomorium floricola,-43.028774,-22.83322
Monomorium floricola,-47.928201,-15.821564
Monomorium floricola,-41.672297,-20.769727
Monomorium floricola,-53.644634,-25.787855
Monomorium floricola,-45.536348,-21.558603
Monomorium floricola,-38.539288,-10.839612
Monomorium floricola,-35.207978,-5.786403
Monomorium floricola,-35.223515,-5.930694
Monomorium floricola,-35.223515,-5.930694
Monomorium floricola,-38.48574,-3.749004
Monomorium floricola,-35.220383,-7.08608
Monomorium floricola,-49.948749,-22.217576
Monomorium floricola,-55.51026,-11.854378
Monomorium floricola,-35.165012,-7.923776
Monomorium floricola,-48.058937,-15.814955
Monomorium floricola,-35.165012,-7.923776
Monomorium floricola,-46.707356,-23.532628
Monomorium floricola,-46.639557,-23.555771
Monomorium floricola,-46.639557,-23.555771
Monomorium floricola,-48.139105,-15.783894
Monomorium floricola,-44.486416,-20.392226
Monomorium floricola,-44.040418,-19.640179
Monomorium floricola,-49.115325,-26.924921
Monomorium floricola,-35.708465,-9.644381
Monomorium floricola,-46.637349,-23.67488
Monomorium floricola,-39.309348,-6.3594
Monomorium floricola,-35.165012,-7.923776
Monomorium floricola,-46.718322,-23.5799
Monomorium floricola,-35.215177,-5.919405
Monomorium floricola,-42.880028,-20.756145
Monomorium floricola,-47.89522,-15.745949
Monomorium floricola,-49.154785,-26.827561
Monomorium floricola,-42.88699,-20.755175
Monomorium floricola,-46.4825,-16.754444
Monomorium floricola,-42.85153,-20.805027
Monomorium floricola,-61.447,-11.438
Monomorium floricola,-42.846943,-20.79889
Monomorium floricola,-42.848305,-20.798805
Monomorium floricola,-43.449722,-20.230556
Monomorium floricola,-42.87401,-20.756697
Monomorium floricola,-42.87401,-20.756697
Monomorium floricola,-53.1627,-27.0684
Monomorium floricola,-60.09574,-2.640705
Monomorium floricola,-56.694,-21.187
Monomorium floricola,-42.858612,-20.802221
Monomorium floricola,-42.858612,-20.802221
Monomorium floricola,-42.858612,-20.802221
Monomorium floricola,-42.858612,-20.802221
Monomorium floricola,-61.464714,3.382414
Monomorium floricola,-61.025196,1.463657
Monomorium floricola,-46.3152,-23.8727
Monomorium floricola,-67.622,-10.069
Monomorium floricola,-59.495833,-1.9075
Monomorium floricola,-47.8015,-21.1729
Monomorium floricola,-48.38,-19.16
Monomorium floricola,-64.85156,-4.71415
Monomorium floricola,-43.04131,-22.65857
Monomorium floricola,-53,-4
Monomorium floricola,-53,-4
Monomorium floricola,-53,-4
Monomorium floricola,-54.0332,-12.49964
Monomorium floricola,-54.0332,-12.49964
Monomorium floricola,-54.0332,-12.49964
Monomorium floricola,-54.0332,-12.49964
Monomorium floricola,-54.0332,-12.49964
Monomorium floricola,-54.0332,-12.49964
Monomorium floricola,-54.0332,-12.49964
Monomorium floricola,-54.0332,-12.49964
