scientific_name,decimalLongitude,decimalLatitude
Morus alba,-46.654919,-23.590126
Morus alba,-51.163333,-29.130278
Morus alba,-52.571389,-26.468611
Morus alba,-52.571389,-26.468611
Morus alba,-53.911444,-27.397278
Morus alba,-52.571389,-26.468611
Morus alba,-52.146944,-29.354167
Morus alba,-52.157778,-29.350833
Morus alba,-52.101667,-29.375833
Morus alba,-49.2433,-25.4072
Morus alba,-38.989167,-15.357778
Morus alba,-37.601556,-11.3275
Morus alba,-51.969167,-29.501111
Morus alba,-51.96,-29.443889
Morus alba,-51.958889,-29.498611
Morus alba,-37.125833,-10.855
Morus alba,-43.5,-20.33
Morus alba,-49.299167,-26.358056
Morus alba,-43.435692,-22.603522
Morus alba,-34.850028,-7.272083
Morus alba,-51.833056,-29.390278
Morus alba,-47.816667,-15.75
Morus alba,-47.816666,-15.75
Morus alba,-51.902222,-29.329167
Morus alba,-51.859722,-29.817778
Morus alba,-51.854167,-29.235278
Morus alba,-51.706944,-29.454167
Morus alba,-43.302778000000004,-20.230833
Morus alba,-51.923056,-29.440278
Morus alba,-39.776111,-18.521111
Morus alba,-67.8116845,-9.9782424
Morus alba,-49.118556,-25.385361
Morus alba,-49.236639,-25.4425
Morus alba,-51.015556,-30.276667
Morus alba,-42.531111,-22.281944
Morus alba,-50.412222,-25.858611
Morus alba,-51.961389,-29.466944
Morus alba,-43.31,-20.1
Morus alba,-53.2669,-29.6828
Morus alba,-47.828861,-15.861111
Morus alba,-34.863056,-7.115
Morus alba,-34.863056,-7.115
Morus alba,-51.237222,-30.019139
Morus alba,-34.863056,-7.115
Morus alba,-51.906667,-27.462222
Morus alba,-51.906667,-27.462222
Morus alba,-51.237222,-30.019139
Morus alba,-40.556389,-19.951389
Morus alba,-47.916667,-15.95
Morus alba,-47.868333,-15.946667
Morus alba,-34.863056,-7.115
Morus alba,-51.214437,-30.034991
Morus alba,-51.214437,-30.034991
Morus alba,-51.214437,-30.034991
Morus alba,-51.214437,-30.034991
Morus alba,-51.214437,-30.034991
