Species,decimalLongitude,decimalLatitude
Morus nigra,-46.667053,-23.538754
Morus nigra,-48.633358,-26.971603000000002
Morus nigra,-38.928333,-12.231667
Morus nigra,-43.388639,-21.735056
Morus nigra,-46.983186,-23.625039
Morus nigra,-35.168889,-7.372222
Morus nigra,-40.496703,-9.390131
Morus nigra,-49.091331,-23.42229
Morus nigra,-40.970278,-21.171667
Morus nigra,-40.970278,-21.171667
Morus nigra,-38.920556,-12.251389
Morus nigra,-38.973611,-12.239444
Morus nigra,-53.700504,-29.708357
Morus nigra,-40.07076,-13.87149
Morus nigra,-50.304167,-27.793333
Morus nigra,-53.670871,-28.22462
Morus nigra,-50.511667,-28.325556
Morus nigra,-53.282185,-29.463579
Morus nigra,-41.640278,-21.819167
Morus nigra,-48.316111,-21.256111
Morus nigra,-43.365833,-21.790833
Morus nigra,-46.72995,-23.583329
Morus nigra,-38.433333,-12.783333
Morus nigra,-49.581194000000004,-16.642333
Morus nigra,-49.538206,-16.616958
Morus nigra,-46.656096,-23.555827
Morus nigra,-51.339822,-29.226308
Morus nigra,-43.227222,-22.966667
Morus nigra,-51.09136,-29.930113
Morus nigra,-44.616508,-22.431895
Morus nigra,-47.945,-15.816667
Morus nigra,-47.945,-15.801667
Morus nigra,-49.080278,-26.905833
Morus nigra,-49.080278,-26.905833
Morus nigra,-56.422222,-15.658056
Morus nigra,-48.880961,-27.075306
Morus nigra,-53.425,-24.190833
Morus nigra,-39.695278,-15.444167
Morus nigra,-46.519442,-23.495176
Morus nigra,-49.282716,-25.397707
Morus nigra,-47.397004,-24.190682
Morus nigra,-49.860555,-26.193611
Morus nigra,-36.768611,-8.317778
Morus nigra,-38.967778,-12.196111
Morus nigra,-39.266,-7.275917
Morus nigra,-41.046667,-6.900556
Morus nigra,-42.859722,-6.245
Morus nigra,-40.699336,-9.336377
Morus nigra,-49.083611,-26.903611
Morus nigra,-49.083611,-26.903611
Morus nigra,-52.099444,-29.319444
Morus nigra,-42.341667,-22.880278
Morus nigra,-43.870918,-22.372482
Morus nigra,-47.399751,-24.187785
Morus nigra,-51.354586,-29.219709
Morus nigra,-51.31473,-29.36157
Morus nigra,-52.574356,-23.680989
Morus nigra,-44.78,-3.453611
Morus nigra,-54.313658,-15.628542
Morus nigra,-47.34,-22.5
Morus nigra,-47.34,-22.5
Morus nigra,-47.340004,-22.500004
Morus nigra,-48.637222,-23.047222
Morus nigra,-49.284167,-18.396389
Morus nigra,-49.284167,-18.396389
Morus nigra,-59.344139,-15.222972
Morus nigra,-59.982907,-3.07598
Morus nigra,-43.508056,-20.2875
Morus nigra,-35.223889,-5.821389
Morus nigra,-35.223889,-5.821389
Morus nigra,-53.891111,-25.575
Morus nigra,-53.560833,-25.581944
Morus nigra,-53.891111,-25.575
Morus nigra,-54.378611,-25.593333
Morus nigra,-54.386389,-26.594444
