Species,decimalLongitude,decimalLatitude
Muntingia calabura,-52.684911,-18.386965
Muntingia calabura,-34.944482,-8.014669
Muntingia calabura,-35.722434,-9.604667
Muntingia calabura,-38.528247,-3.73279
Muntingia calabura,-34.947411,-8.00987
Muntingia calabura,-34.946741,-8.009864
Muntingia calabura,-46.584114,-23.668049
Muntingia calabura,-44.208213,-19.970428
Muntingia calabura,-44.245253,-19.464661
Muntingia calabura,-53.527405,-25.788265
Muntingia calabura,-35.746288,-9.627022
Muntingia calabura,-60.013554,-3.065052
Muntingia calabura,-35.741537,-9.584442
Muntingia calabura,-46.572766,-23.120594
Muntingia calabura,-47.885548,-15.743107
Muntingia calabura,-51.725556,-17.859167
Muntingia calabura,-47.77615,-19.981233
Muntingia calabura,-35.748485,-9.627454
Muntingia calabura,-47.860913,-21.165602
Muntingia calabura,-46.641048,-23.057273
Muntingia calabura,-47.849676,-21.161953
Muntingia calabura,-47.85945,-15.833283
Muntingia calabura,-46.977303,-23.061078
Muntingia calabura,-47.133946,-22.96131
Muntingia calabura,-46.034618,-23.412172
Muntingia calabura,-34.902742,-8.045941
Muntingia calabura,-46.040277,-23.756783
Muntingia calabura,-47.544828,-22.398175
Muntingia calabura,-56.0625,-15.619722
Muntingia calabura,-55.956978,-20.066984
Muntingia calabura,-55.961335,-20.096615
Muntingia calabura,-47.885369,-15.746361
Muntingia calabura,-60.092581,-3.058797
Muntingia calabura,-46.337255,-23.960862
Muntingia calabura,-48.62856,-17.735799
Muntingia calabura,-48.218273,-21.807388
Muntingia calabura,-51.083923,-0.00805
Muntingia calabura,-48.871487,-27.007589
Muntingia calabura,-40.055281,-19.135391
Muntingia calabura,-48.088256,-15.869727
Muntingia calabura,-40.311468,-20.330042
Muntingia calabura,-47.852422,-21.165158
Muntingia calabura,-65.36814,-9.700347
Muntingia calabura,-47.815546,-21.062896
Muntingia calabura,-47.097227,-22.944225
Muntingia calabura,-67.864022,-9.958291
Muntingia calabura,-47.847778,-21.140556
Muntingia calabura,-50.572778,-23.151389000000002
Muntingia calabura,-67.864005,-9.958142
Muntingia calabura,-67.864004,-9.958312
Muntingia calabura,-67.864005,-9.958216
Muntingia calabura,-67.864022,-9.958203
