scientific_name,decimalLongitude,decimalLatitude
Murraya paniculata,-40.533113,-20.612073
Murraya paniculata,-48.256567,-18.917183
Murraya paniculata,-49.808908,-25.417016
Murraya paniculata,-46.697621,-23.676879
Murraya paniculata,-49.001739,-25.352322
Murraya paniculata,-49.017625,-22.34117
Murraya paniculata,-44.004448,-19.825285
Murraya paniculata,-47.922062,-15.827745
Murraya paniculata,-52.317413,-23.86707
Murraya paniculata,-43.983315,-19.935054
Murraya paniculata,-43.986306,-19.84353
Murraya paniculata,-44.662085,-14.080537
Murraya paniculata,-35.722434,-9.604667
Murraya paniculata,-46.636827,-23.475581
Murraya paniculata,-46.6369,-23.474664
Murraya paniculata,-46.443949,-23.629336
Murraya paniculata,-40.599462,-19.935648
Murraya paniculata,-40.600353,-19.935437
Murraya paniculata,-40.588253,-19.941808
Murraya paniculata,-49.337606,-25.481038
Murraya paniculata,-38.973888,-12.265817
Murraya paniculata,-38.973172,-12.263937
Murraya paniculata,-49.337698,-25.481063
Murraya paniculata,-46.728863,-23.574425
Murraya paniculata,-46.441421,-23.627254
Murraya paniculata,-46.728863,-23.574442
Murraya paniculata,-43.922172,-19.8947
Murraya paniculata,-40.430556,-13.434722
Murraya paniculata,-46.51971,-23.494938
Murraya paniculata,-44.638294,-23.272143
Murraya paniculata,-51.150119,-30.000843
Murraya paniculata,-38.578292,-3.7459
Murraya paniculata,-38.978889,-12.229444
Murraya paniculata,-51.175833,-30.014167
Murraya paniculata,-46.751778,-23.439413
Murraya paniculata,-46.761582,-23.576005
Murraya paniculata,-46.771042,-23.675699
Murraya paniculata,-46.769966,-23.676067
Murraya paniculata,-38.946111,-12.252222
Murraya paniculata,-46.262336,-23.475705
Murraya paniculata,-46.662857,-23.582215
Murraya paniculata,-40.207596,-14.365143
Murraya paniculata,-60.659367,2.850802
Murraya paniculata,-51.228165,-30.049217
Murraya paniculata,-43.361078,-21.747337
Murraya paniculata,-47.135739,-22.953183
Murraya paniculata,-38.929722,-12.235556
Murraya paniculata,-38.941944,-12.248889
Murraya paniculata,-46.697773,-23.599167
Murraya paniculata,-35.222778,-7.747222
Murraya paniculata,-40.69193,-19.187224
Murraya paniculata,-54.625833,-20.54
Murraya paniculata,-43.529203,-22.808463
Murraya paniculata,13,-13.008333
Murraya paniculata,-42.890833,-22.954722
Murraya paniculata,-47.284242,-22.817067
