Species,decimalLongitude,decimalLatitude
Mus musculus,-46.718281,-23.566349
Mus musculus,-42.880028,-20.756145
Mus musculus,-35.740262,-9.584433
Mus musculus,-50.254578,-29.911775
Mus musculus,-37.347755,-5.194774
Mus musculus,-48.015181,-15.834016
Mus musculus,-42.872205,-20.754212
Mus musculus,-34.866825,-7.096914
Mus musculus,-41.760244,-2.913832
Mus musculus,-46.902434,-23.636741
Mus musculus,-56.024486,-15.494278
Mus musculus,-43.957888,-19.874916
Mus musculus,-49.268994,-25.399516
Mus musculus,-35.208853,-5.906094
Mus musculus,-50.783828,-25.73123
Mus musculus,-48.006629,-24.873503
Mus musculus,-40.476,-20.631417
Mus musculus,-49.589469,-28.007133
Mus musculus,-40.065264,-19.392993
Mus musculus,-52.34643,-31.744293
Mus musculus,-40.168889,-19.493333
Mus musculus,-40.149444,-19.476944
Mus musculus,-43.460742,-22.756132
Mus musculus,-52.023,-23.443167
Mus musculus,-51.9925,-23.457
Mus musculus,-51.9925,-23.457
Mus musculus,-52.002333,-23.451833
Mus musculus,-52.002333,-23.451833
Mus musculus,-51.9925,-23.457
Mus musculus,-51.957667,-23.420167
Mus musculus,-51.969667,-23.425167
Mus musculus,-51.8595,-23.419
Mus musculus,-51.907333,-23.452
Mus musculus,-51.907333,-23.452
Mus musculus,-51.907333,-23.452
Mus musculus,-51.908167,-23.384833
Mus musculus,-51.908167,-23.384833
Mus musculus,-57.1255,-29.8905
Mus musculus,-57.186333,-29.869167
Mus musculus,-57.186333,-29.869167
Mus musculus,-57.234,-29.888167
Mus musculus,-57.1725,-29.875833
Mus musculus,-57.134167,-29.871167
Mus musculus,-57.200333,-29.8885
Mus musculus,-57.185167,-29.885
Mus musculus,-57.185167,-29.885
Mus musculus,-57.2005,-29.816833
Mus musculus,-57.185167,-29.885
Mus musculus,-57.2005,-29.816833
Mus musculus,-57.193167,-29.824167
Mus musculus,-57.193167,-29.824167
Mus musculus,-57.193167,-29.824167
Mus musculus,-57.193167,-29.824167
Mus musculus,-57.152667,-29.904
Mus musculus,-47.934667,-15.942833
Mus musculus,-47.9375,-15.941167
Mus musculus,-47.9255,-15.940333
Mus musculus,-47.9255,-15.940333
Mus musculus,-47.9255,-15.940333
Mus musculus,-47.937667,-15.937333
Mus musculus,-47.9095,-15.639167
Mus musculus,-47.9095,-15.639167
Mus musculus,-47.9175,-15.636
Mus musculus,-47.9175,-15.636
Mus musculus,-47.924,-15.620667
Mus musculus,-47.941333,-15.619167
Mus musculus,-47.968,-15.6025
Mus musculus,-48.017333,-15.575
Mus musculus,-48.017333,-15.575
Mus musculus,-63.841667,-8.783667
Mus musculus,-63.7975,-8.771556
Mus musculus,-63.845833,-8.782528
Mus musculus,-63.841389,-8.777917
Mus musculus,-63.839722,-8.7645
Mus musculus,-63.835667,-8.772
Mus musculus,-63.835667,-8.772
Mus musculus,-63.803333,-8.784306
Mus musculus,-63.803333,-8.784306
Mus musculus,-63.84,-8.772833
Mus musculus,-63.84,-8.772833
Mus musculus,-63.802778000000004,-8.771528
Mus musculus,-63.801833,-8.783833
Mus musculus,-63.800278,-8.77625
Mus musculus,-59.971744,-3.111014
Mus musculus,-59.941111,-3.132806
Mus musculus,-59.948861,-3.054172
Mus musculus,-59.933056,-3.0815
Mus musculus,-59.932256,-3.035139
Mus musculus,-59.984417,-3.106917
Mus musculus,-59.971744,-3.111014
Mus musculus,-59.943778,-3.016861
Mus musculus,-59.943778,-3.016861
Mus musculus,-59.986917,-3.129278
Mus musculus,-59.992917,-5.132611
Mus musculus,-59.988611,-3.127306
Mus musculus,-59.992778,-3.132611
Mus musculus,-59.990833,-3.136583
Mus musculus,-59.9775,-3.120139
Mus musculus,-59.9625,-3.083889
Mus musculus,-59.988667,-3.129278
Mus musculus,-59.8607,-3.0718
Mus musculus,-59.94761,-3.014306
Mus musculus,-59.94761,-3.014306
Mus musculus,-59.965,-3.102778
Mus musculus,-59.94361,-3.016667
Mus musculus,-59.99097,-3.136583
Mus musculus,-59.99056,-3.135389
Mus musculus,-59.98733,-3.133528
Mus musculus,-59.99444,-3.101444
Mus musculus,-47.87,-21.98
Mus musculus,-51.66375,-30.725861
Mus musculus,-53.866667,-25.466667
Mus musculus,-53.866667,-25.466667
Mus musculus,-40.337778,-20.319444
Mus musculus,-40.337778,-20.319444
Mus musculus,-41.083611,-20.516389
Mus musculus,-50.982778,-23.305278
Mus musculus,-50.982778,-23.305278
Mus musculus,-50.982778,-23.305278
Mus musculus,-50.982778,-23.305278
Mus musculus,-50.982778,-23.305278
Mus musculus,-50.982778,-23.305278
Mus musculus,-50.982778,-23.305278
Mus musculus,-50.982778,-23.305278
Mus musculus,-50.982778,-23.305278
Mus musculus,-50.982778,-23.305278
Mus musculus,-50.982778,-23.305278
Mus musculus,-50.982778,-23.305278
Mus musculus,-50.982778,-23.305278
Mus musculus,-51.568321,-21.387662
Mus musculus,-51.568321,-21.387662
Mus musculus,-51.568321,-21.387662
Mus musculus,-51.568321,-21.387662
Mus musculus,-51.568321,-21.387662
Mus musculus,-51.568321,-21.387662
Mus musculus,-51.568321,-21.387662
Mus musculus,-51.568321,-21.387662
Mus musculus,-51.568321,-21.387662
Mus musculus,-51.568321,-21.387662
Mus musculus,-51.568321,-21.387662
Mus musculus,-51.568321,-21.387662
Mus musculus,-51.568321,-21.387662
Mus musculus,-51.568321,-21.387662
Mus musculus,-51.568321,-21.387662
Mus musculus,-51.641074,-21.334001
Mus musculus,-51.641074,-21.334001
Mus musculus,-48.23333,-21.35
Mus musculus,-48.23333,-21.35
Mus musculus,-48.23333,-21.35
Mus musculus,-48.23333,-21.35
Mus musculus,-48.23333,-21.35
Mus musculus,-48.23333,-21.35
Mus musculus,-48.23333,-21.35
Mus musculus,-48.23333,-21.35
Mus musculus,-48.23333,-21.35
Mus musculus,-48.23333,-21.35
Mus musculus,-48.23333,-21.35
Mus musculus,-48.23333,-21.35
Mus musculus,-48.23333,-21.35
Mus musculus,-48.23333,-21.35
Mus musculus,-48.23333,-21.35
Mus musculus,-48.23333,-21.35
Mus musculus,-51.568321,-21.387662
Mus musculus,-51.568321,-21.387662
Mus musculus,-51.568321,-21.387662
Mus musculus,-51.641074,-21.334001
Mus musculus,-48.23333,-21.35
Mus musculus,-48.23333,-21.35
Mus musculus,-48.23333,-21.35
Mus musculus,-48.23333,-21.35
Mus musculus,-47.639722,-22.72
Mus musculus,-39.724903,-7.515487
Mus musculus,-45.3333,-23.8333
Mus musculus,-45.3333,-23.8333
Mus musculus,-45.3333,-23.8333
Mus musculus,-45.3333,-23.8333
Mus musculus,-45.3333,-23.8333
Mus musculus,-45.3333,-23.8333
Mus musculus,-45.3333,-23.8333
Mus musculus,-45.3333,-23.8333
Mus musculus,-45.8336949,-23.6337812
Mus musculus,-49.333332,-24.166666
Mus musculus,-49.333332,-24.166666
Mus musculus,-49.333332,-24.166666
Mus musculus,-49.333332,-24.166666
Mus musculus,-49.333332,-24.166666
Mus musculus,-49.333332,-24.166666
Mus musculus,-48.6126,-22.52964
Mus musculus,-48.6126,-22.52964
Mus musculus,-48.6126,-22.52964
Mus musculus,-48.6126,-22.52964
Mus musculus,-48.6126,-22.52964
Mus musculus,-45.533333,-11.033334
Mus musculus,-43.883335,-19.633333
Mus musculus,-43.883335,-19.633333
Mus musculus,-43.883335,-19.633333
Mus musculus,-43.883335,-19.633333
Mus musculus,-43.883335,-19.633333
Mus musculus,-43.883335,-19.633333
Mus musculus,-43.883335,-19.633333
Mus musculus,-43.883335,-19.633333
Mus musculus,-43.883335,-19.633333
Mus musculus,-43.883335,-19.633333
Mus musculus,-43.883335,-19.633333
Mus musculus,-45.533333,-11.033334
Mus musculus,-45.533333,-11.033334
Mus musculus,-45.533333,-11.033334
Mus musculus,-45.533333,-11.033334
Mus musculus,-45.533333,-11.033334
Mus musculus,-45.533333,-11.033334
Mus musculus,-45.533333,-11.033334
Mus musculus,-45.533333,-11.033334
Mus musculus,-45.533333,-11.033334
Mus musculus,-45.533333,-11.033334
Mus musculus,-45.533333,-11.033334
Mus musculus,-45.533333,-11.033334
Mus musculus,-45.533333,-11.033334
Mus musculus,-45.533333,-11.033334
Mus musculus,-45.533333,-11.033334
Mus musculus,-45.533333,-11.033334
Mus musculus,-45.533333,-11.033334
Mus musculus,-45.533333,-11.033334
Mus musculus,-45.533333,-11.033334
Mus musculus,-45.533333,-11.033334
Mus musculus,-45.533333,-11.033334
Mus musculus,-45.533333,-11.033334
Mus musculus,-45.533333,-11.033334
Mus musculus,-60.28333,-7
Mus musculus,-46.6504008,-23.4171775
Mus musculus,-48.0110078,-23.0157738
Mus musculus,-47.3503964,-21.6171693
Mus musculus,-47.4011948,-20.5390677
Mus musculus,-47.5737048,-23.6493748
Mus musculus,-48.3912063,-21.9932689
Mus musculus,-49.3412199,-24.1154723
Mus musculus,-46.188197,-23.523279
Mus musculus,-46.7923011,-23.5332785
Mus musculus,-45.5909887,-22.7798782
Mus musculus,-47.6493025,-22.7254729
Mus musculus,-47.1354005,-23.5293766
Mus musculus,-46.6342991,-23.5507789
Mus musculus,-45.071189,-23.4343825
Mus musculus,-48.1277698,-21.7599028
Mus musculus,-54.355206,-11.524631
Mus musculus,-37.75,-8.33333
Mus musculus,-37.75,-8.33333
Mus musculus,-47.87,-21.98
Mus musculus,-41.285097,-11.285167
