Species,decimalLongitude,decimalLatitude
Musa ornata,-43.211043,-22.960245
Musa ornata,-49.40269,-26.874652
Musa ornata,-49.294895,-25.402313
Musa ornata,-46.481338,-23.892672
Musa ornata,-43.16107,-22.434267
Musa ornata,-49.193507,-26.653293
Musa ornata,-49.116481,-26.482242
Musa ornata,-46.594721,-23.501986
Musa ornata,-40.862861,-20.415685
Musa ornata,-41.002883,-20.466366
Musa ornata,-48.300296,-25.171009
Musa ornata,-47.12209,-24.394211
Musa ornata,-48.892961,-26.235631
Musa ornata,-48.456028,-25.223406
Musa ornata,-48.593,-25.671676
Musa ornata,-41.510793,-20.234904
Musa ornata,-43.274366,-22.960912
Musa ornata,-43.211926,-22.958989
Musa ornata,-43.161015,-22.434245
Musa ornata,-43.285625,-22.955975
Musa ornata,-46.573972,-23.528339
Musa ornata,-43.277794,-22.958935
Musa ornata,-48.749077,-25.250421
Musa ornata,-40.338525,-20.319638
Musa ornata,-51.358778,-24.181917
Musa ornata,-43.276383,-22.959725
Musa ornata,-44.592732,-22.462659
Musa ornata,-46.660575,-23.591772
Musa ornata,-48.559067,-25.198069
Musa ornata,-51.186852,-30.178849
Musa ornata,-43.274237,-22.961047
Musa ornata,-45.959622,-22.912142
Musa ornata,-49.267,-25.39
Musa ornata,-49.295158,-25.401749
Musa ornata,-53.713078,-29.728499
Musa ornata,-46.5281,-23.306424
Musa ornata,-48.874527,-25.364529
Musa ornata,-46.829516,-23.566914
Musa ornata,-48.716207,-25.432836000000002
Musa ornata,-44.644263,-22.366883
Musa ornata,-43.27757,-22.95902
Musa ornata,-49.330415,-28.515539
Musa ornata,-44.615584,-22.431847
Musa ornata,-48.969048,-26.318021
Musa ornata,-43.277626,-22.958928
Musa ornata,-46.454577,-23.861695
Musa ornata,-46.617139,-23.650467
Musa ornata,-48.991258,-26.279135
Musa ornata,-47.933233,-24.201564
Musa ornata,-47.920121,-24.193823
Musa ornata,-48.056731,-24.993822
Musa ornata,-49.238258,-25.443033
Musa ornata,-48.74943,-25.248055
Musa ornata,-42.827325,-22.573339
Musa ornata,-47.365297,-24.030552
Musa ornata,-48.91582,-27.103163
Musa ornata,-45.919388,-22.928549
Musa ornata,-47.397213,-23.611905
Musa ornata,-43.280176,-22.956397
Musa ornata,-48.055143,-24.997556
Musa ornata,-43.278189,-22.959957
Musa ornata,-43.275114,-22.960306
Musa ornata,-43.262295,-22.601642
Musa ornata,-43.274187,-22.961138
Musa ornata,-40.308863,-19.183423
Musa ornata,-46.490658,-23.905671
Musa ornata,-46.490658,-23.905671
Musa ornata,-48.459922,-24.794923
Musa ornata,-48.818851,-25.423141
Musa ornata,-44.536067,-22.427933
Musa ornata,-46.724876,-23.567173
Musa ornata,-40.599637,-19.934379
Musa ornata,-48.300378,-25.176297
Musa ornata,-43.44088,-22.93427
Musa ornata,-43.351575,-22.844501
Musa ornata,-47.525055,-22.414824
Musa ornata,-43.286879,-22.949971
Musa ornata,-43.238895,-22.9818
Musa ornata,-48.297368,-25.173192
Musa ornata,-46.697461,-23.501354
Musa ornata,-59.993174,-3.093584
Musa ornata,-59.994247,-3.092598
Musa ornata,-46.45256,-23.861625
Musa ornata,-45.058054,-23.400951
Musa ornata,-53.124167,-25.571389
Musa ornata,-43.277697,-22.95887
Musa ornata,-48.297994,-25.163638
Musa ornata,-48.896035,-25.336059
Musa ornata,-48.681211,-24.545186
Musa ornata,-49.248718,-25.441402
Musa ornata,-49.269973,-25.437238
Musa ornata,-60.10779,-3.063538
Musa ornata,-43.283522,-22.955588
Musa ornata,-43.295193,-22.953733
Musa ornata,-46.722534,-23.566466
Musa ornata,-45.064234,-23.397704
Musa ornata,-46.721523,-23.565935
Musa ornata,-48.297551,-25.177564
Musa ornata,-48.879519,-25.351948
Musa ornata,-44.221788,-20.124096
Musa ornata,-43.396775,-22.667833
Musa ornata,-49.164827,-26.743766
Musa ornata,-53.745556,-25.1075
Musa ornata,-53.745556,-25.1075
Musa ornata,-53.745694,-25.107417
Musa ornata,-48.348056,-25.126389
Musa ornata,-48.348056,-25.126389
Musa ornata,-48.348056,-25.126389
Musa ornata,-48.348056,-25.126389
Musa ornata,-48.348111,-25.126333
Musa ornata,-47.876944,-24.805556
Musa ornata,-47.876944,-24.805556
Musa ornata,-47.876861,-24.805611
Musa ornata,-43.277958,-22.959022
Musa ornata,-47.8,-21.166667
Musa ornata,-43.278094,-22.957174
Musa ornata,-60.021731,-3.119027
Musa ornata,-43.915972,-19.891611
Musa ornata,-48.710521,-25.533964
Musa ornata,-47.558,-24.114
Musa ornata,-47.558056,-24.113889
Musa ornata,-47.766944,-15.793333
