scientific_name,decimalLongitude,decimalLatitude
Musa velutina,-51.997913,-29.45884
Musa velutina,-43.176178,-22.507667
Musa velutina,-40.785804,-20.453113
Musa velutina,-46.442982,-23.738825
Musa velutina,-43.176403,-22.507543
Musa velutina,-49.157475,-26.664045
Musa velutina,-48.642046,-24.572136
Musa velutina,-49.013565,-26.836742
Musa velutina,-42.770712,-22.4519
Musa velutina,-51.08172,-29.58604
Musa velutina,-46.441108,-23.736142
Musa velutina,-49.283297,-26.804131
Musa velutina,-49.283297,-26.804133
Musa velutina,-49.280409,-26.803513
Musa velutina,-49.570076,-25.475963
Musa velutina,-49.073422,-26.921388
Musa velutina,-49.11155,-26.855975
Musa velutina,-49.280409,-26.803513
Musa velutina,-49.265198,-25.426876
Musa velutina,-46.65645,-23.589188
Musa velutina,-42.770646,-22.45231
Musa velutina,-42.632355,-20.905908
Musa velutina,-48.503162,-27.582672
Musa velutina,-49.229801,-25.389845
Musa velutina,-41.127244,-20.353978
Musa velutina,-43.802383,-20.241287
Musa velutina,-51.848267,-29.080878
Musa velutina,-44.219599,-20.124116
Musa velutina,-48.866208,-26.247036
Musa velutina,-44.219617,-20.121778
Musa velutina,-46.226135,-23.316603
Musa velutina,-44.550328,-22.394183
Musa velutina,-49.097604,-27.016639
Musa velutina,-46.322711,-23.395136
Musa velutina,-49.304482,-25.400543
Musa velutina,-49.485566,-26.716572
Musa velutina,-49.078673,-26.9051
Musa velutina,-49.07333,-26.921308
Musa velutina,-46.24873,-23.377998
Musa velutina,-51.031215,-30.118489
Musa velutina,-49.072877,-26.921292
Musa velutina,-46.441108,-23.736142
Musa velutina,-53.697149,-29.717039
Musa velutina,-48.929727,-27.103931
Musa velutina,-43.926473,-19.953062
Musa velutina,-45.837282,-23.564592
Musa velutina,-48.781111,-27.630278
Musa velutina,-49.316295,-28.336366
Musa velutina,-49.105371,-26.920253
Musa velutina,-45.824722,-23.584787
Musa velutina,-45.824772,-23.584707
Musa velutina,-48.545513,-27.658785
Musa velutina,-45.847208,-23.529268
Musa velutina,-48.903584,-25.598647
Musa velutina,-50.86014,-29.73306
Musa velutina,-48.829221,-25.486368
Musa velutina,-49.090556,-26.905833
Musa velutina,-53.717328,-29.725172
Musa velutina,-45.346161,-23.887485
Musa velutina,-48.87438,-26.291427
Musa velutina,-49.094932,-27.028093
Musa velutina,-49.068089,-26.43686
Musa velutina,-46.076574,-23.775762
Musa velutina,-45.749999,-23.747921
Musa velutina,-48.708823,-26.173542
Musa velutina,-48.91241,-26.2077
Musa velutina,-43.175377,-22.507154
Musa velutina,-44.222398,-20.116253
Musa velutina,-46.253643,-23.402977
Musa velutina,-49.520841,-27.11681
Musa velutina,-48.629736,-26.962042
Musa velutina,-44.6816,-23.335163
Musa velutina,-42.743853,-22.424604
Musa velutina,-46.719566,-23.571789
Musa velutina,-43.935904,-19.958404
Musa velutina,-44.219071,-20.122148
Musa velutina,-48.79259,-26.341152
Musa velutina,-49.119431,-26.518325
Musa velutina,-49.172876,-25.595847
Musa velutina,-49.034722,-27.0375
Musa velutina,-49.034722,-27.0375
Musa velutina,-49.073442,-26.921378
Musa velutina,-45.836933,-23.5636
Musa velutina,-45.835183,-23.564498
Musa velutina,-43.225761,-22.504107
Musa velutina,-43.176675,-22.50812
Musa velutina,-49.163195,-26.744805
Musa velutina,-49.292647,-26.736408
Musa velutina,-49.351111,-26.311944
Musa velutina,-49.351111,-26.311944
Musa velutina,-48.646372,-27.561019
Musa velutina,-43.964569,-19.634176
Musa velutina,-45.594516,-23.769654
Musa velutina,-49.115278000000004,-26.907778
Musa velutina,-49.115278000000004,-26.907778
Musa velutina,-47.0608,-22.9056
Musa velutina,-47.077171,-22.870251
