scientific_name,decimalLongitude,decimalLatitude
Myiopsitta monachus,-49.998908,-29.459358
Myiopsitta monachus,-49.954126,-29.523891
Myiopsitta monachus,-49.875232,-29.469664
Myiopsitta monachus,-53.157272,-27.979143
Myiopsitta monachus,-52.343398,-26.375688
Myiopsitta monachus,-51.126061,-30.002009
Myiopsitta monachus,-53.720066,-29.729289
Myiopsitta monachus,-49.819042,-29.470936
Myiopsitta monachus,-53.662354,-29.723594
Myiopsitta monachus,-53.760342,-29.723459
Myiopsitta monachus,-53.714755,-29.720888
Myiopsitta monachus,-51.217103,-30.036674
Myiopsitta monachus,-51.098282,-30.078032
Myiopsitta monachus,-43.217396,-22.973821
Myiopsitta monachus,-53.907621,-27.246635
Myiopsitta monachus,-53.658203,-29.730388
Myiopsitta monachus,-54.075776,-31.124216
Myiopsitta monachus,-54.102083,-31.107121
Myiopsitta monachus,-54.036711,-31.091356
Myiopsitta monachus,-56.376408,-16.514928
Myiopsitta monachus,-52.421653,-31.801291
Myiopsitta monachus,-57.657485,-18.996963
Myiopsitta monachus,-51.157649,-30.023397
Myiopsitta monachus,-52.418181,-31.800033
Myiopsitta monachus,-52.418675,-31.8135
Myiopsitta monachus,-51.216657,-30.03567
Myiopsitta monachus,-48.50267,-27.593363
Myiopsitta monachus,-51.207912,-30.126722
Myiopsitta monachus,-51.918129,-29.41168
Myiopsitta monachus,-51.918129,-29.41168
Myiopsitta monachus,-50.907584,-27.034757
Myiopsitta monachus,-48.617499,-27.260361
Myiopsitta monachus,-48.500842,-27.592062
Myiopsitta monachus,-48.431134,-27.422592
Myiopsitta monachus,-50.03861,-29.800701
Myiopsitta monachus,-53.684278,-29.234038
Myiopsitta monachus,-53.714755,-29.720888
Myiopsitta monachus,-53.714755,-29.720888
Myiopsitta monachus,-48.497592,-27.589767
Myiopsitta monachus,-48.616996,-27.250527
Myiopsitta monachus,-48.521096,-27.600304
Myiopsitta monachus,-48.519574,-27.599922
Myiopsitta monachus,-49.979262,-29.435674
Myiopsitta monachus,-51.157651,-30.023762
Myiopsitta monachus,-54.594648,-25.467959
Myiopsitta monachus,-51.239117,-30.032502
Myiopsitta monachus,-54.582768,-25.519616
Myiopsitta monachus,-54.556188,-25.489803
Myiopsitta monachus,-54.555316,-25.48822
Myiopsitta monachus,-54.555135,-25.487534
Myiopsitta monachus,-54.554963,-25.485868
Myiopsitta monachus,-54.556171,-25.489649
Myiopsitta monachus,-54.551257,-25.48911
Myiopsitta monachus,-52.249155,-31.755405
Myiopsitta monachus,-54.52105,-25.552484
Myiopsitta monachus,-49.733254,-27.220388
Myiopsitta monachus,-57.898453,-21.710138
Myiopsitta monachus,-54.543161,-25.581201
Myiopsitta monachus,-57.47347,-18.067448
Myiopsitta monachus,-48.518891000000004,-27.60407
Myiopsitta monachus,-48.518949,-27.604059
Myiopsitta monachus,-51.629512,-29.989542
Myiopsitta monachus,-50.838183,-29.665214
Myiopsitta monachus,-56.651123,-16.369046
Myiopsitta monachus,-51.105568,-30.008688
Myiopsitta monachus,-52.24496,-32.188926
Myiopsitta monachus,-52.247965,-31.754127
Myiopsitta monachus,-49.501102,-28.63708
Myiopsitta monachus,-56.711786,-16.511931
Myiopsitta monachus,-56.678687,-16.502741
Myiopsitta monachus,-56.626621,-16.264959
Myiopsitta monachus,-49.648235,-27.200653
Myiopsitta monachus,-52.191937,-28.462055
Myiopsitta monachus,-48.438178,-27.586125
Myiopsitta monachus,-53.64364,-29.744129
Myiopsitta monachus,-56.621153,-16.379097
Myiopsitta monachus,-51.699462,-29.879818
Myiopsitta monachus,-56.608828,-16.418097
Myiopsitta monachus,-56.608711,-16.418344
Myiopsitta monachus,-56.608425,-16.411567
Myiopsitta monachus,-56.627578,-16.418978
Myiopsitta monachus,-56.621264,-16.384253
Myiopsitta monachus,-56.6208,-16.383006
Myiopsitta monachus,-56.620778,-16.382939
Myiopsitta monachus,-56.620778,-16.382939
Myiopsitta monachus,-56.620778,-16.382939
Myiopsitta monachus,-56.620778,-16.382939
Myiopsitta monachus,-48.846292,-28.598887
Myiopsitta monachus,-51.016112,-26.263758
Myiopsitta monachus,-52.246679,-31.753288
Myiopsitta monachus,-56.650552,-16.224923
Myiopsitta monachus,-48.50043,-27.556152
Myiopsitta monachus,-46.731066,-23.56012
Myiopsitta monachus,-57.075456,-19.447467
Myiopsitta monachus,-53.753319,-29.725659
Myiopsitta monachus,-52.49209,-31.760114
Myiopsitta monachus,-53.758373,-29.72572
Myiopsitta monachus,-53.757888,-29.723635
Myiopsitta monachus,-56.943625,-17.102325
Myiopsitta monachus,-56.621938,-16.381667
Myiopsitta monachus,-56.626682,-16.374213
Myiopsitta monachus,-56.711795,-16.511922
Myiopsitta monachus,-56.711425,-16.511795
Myiopsitta monachus,-57.383413,-17.71664
Myiopsitta monachus,-56.709118,-16.510403
Myiopsitta monachus,-51.204596,-30.103394
Myiopsitta monachus,-56.856875,-16.749234
Myiopsitta monachus,-56.943576,-17.10231
Myiopsitta monachus,-53.755399,-29.725278
Myiopsitta monachus,-48.635255,-27.973814
Myiopsitta monachus,-53.755714,-29.725793
Myiopsitta monachus,-53.387406,-32.051447
Myiopsitta monachus,-51.103958,-30.006907000000002
Myiopsitta monachus,-55.965458,-20.095617
Myiopsitta monachus,-56.008078,-20.097472
Myiopsitta monachus,-55.967248,-20.099688
Myiopsitta monachus,-55.965287,-20.095445
Myiopsitta monachus,-51.190334,-29.983968
Myiopsitta monachus,-54.580187,-25.411487
Myiopsitta monachus,-56.733238,-16.619842
Myiopsitta monachus,-56.740427,-16.609427
Myiopsitta monachus,-56.77411,-17.364234
Myiopsitta monachus,-56.857047,-16.747962
Myiopsitta monachus,-56.868969,-16.744174
Myiopsitta monachus,-56.641106,-16.442254
Myiopsitta monachus,-51.177634,-30.052273
Myiopsitta monachus,-51.157033,-30.023003
Myiopsitta monachus,-51.165992,-29.962184
Myiopsitta monachus,-51.216075,-30.036767
Myiopsitta monachus,-51.241516,-30.034726
Myiopsitta monachus,-51.215231,-30.03616
Myiopsitta monachus,-51.240396,-30.042056
Myiopsitta monachus,-57.41662,-19.463987
Myiopsitta monachus,-56.66374,-17.251531
Myiopsitta monachus,-56.828615,-16.693804
Myiopsitta monachus,-56.984338,-15.336159
Myiopsitta monachus,-51.228691,-30.03767
Myiopsitta monachus,-55.49874,-17.073878
Myiopsitta monachus,-51.148728,-30.015805
Myiopsitta monachus,-57.543058,-30.204939
Myiopsitta monachus,-56.621297,-16.378831
Myiopsitta monachus,-57.383413,-17.71664
Myiopsitta monachus,-55.863831,-16.345368
Myiopsitta monachus,-51.198482,-30.025621
Myiopsitta monachus,-51.191862,-30.06534
Myiopsitta monachus,-51.176108,-30.052219
Myiopsitta monachus,-56.736727,-16.620813
Myiopsitta monachus,-51.232976,-30.04878
Myiopsitta monachus,-53.753593,-29.725983
Myiopsitta monachus,-51.200022,-30.024142
Myiopsitta monachus,-51.145317,-30.009844
Myiopsitta monachus,-51.092923,-29.899386
Myiopsitta monachus,-52.420215,-31.807835
Myiopsitta monachus,-51.937841,-23.405122
Myiopsitta monachus,-51.937852,-23.404797
Myiopsitta monachus,-53.75712,-29.727298
Myiopsitta monachus,-52.380474,-26.881405
Myiopsitta monachus,-51.215458,-30.037996
Myiopsitta monachus,-53.804312,-29.689722
Myiopsitta monachus,-51.157494,-29.582896
Myiopsitta monachus,-50.157827,-30.050578
