Species,decimalLongitude,decimalLatitude
Myocastor coypus,-48.480311,-27.673484
Myocastor coypus,-53.618319,-29.568842
Myocastor coypus,-48.480305,-27.673481
Myocastor coypus,-49.265198,-25.426898
Myocastor coypus,-47.000489,-23.579955000000002
Myocastor coypus,-47.447072,-23.47055
Myocastor coypus,-49.416934,-28.713166
Myocastor coypus,-48.487043,-27.678866
Myocastor coypus,-48.481649,-27.669947
Myocastor coypus,-46.702511,-23.620901
Myocastor coypus,-51.472062,-25.397595
Myocastor coypus,-50.926123,-27.028794
Myocastor coypus,-50.180727,-29.990599
Myocastor coypus,-46.713991,-23.722309
Myocastor coypus,-52.256006,-32.041916
Myocastor coypus,-51.070064,-29.976922
Myocastor coypus,-52.322717,-31.811551
Myocastor coypus,-51.761971,-24.759182
Myocastor coypus,-54.471585,-25.445964
Myocastor coypus,-51.472306,-25.397789
Myocastor coypus,-49.311344,-25.426995
Myocastor coypus,-46.519442,-23.495176
Myocastor coypus,-52.36205,-24.052853
Myocastor coypus,-51.387842,-28.994823
Myocastor coypus,-54.53181,-25.569953
Myocastor coypus,-49.220536,-25.517728
Myocastor coypus,-51.285281,-27.118749
Myocastor coypus,-46.519442,-23.495176
Myocastor coypus,-54.991039,-29.047855
Myocastor coypus,-46.51544,-23.484334
Myocastor coypus,-47.600163,-23.443185
Myocastor coypus,-52.314762,-31.84353
Myocastor coypus,-51.970409,-29.465211
Myocastor coypus,-52.49209,-31.760114
Myocastor coypus,-53.760921,-29.722913
Myocastor coypus,-50.657629,-26.837761
Myocastor coypus,-57.5531,-30.209004
Myocastor coypus,-54.079529,-30.586154
Myocastor coypus,-51.176756,-23.326004
Myocastor coypus,-48.441221,-27.583528
Myocastor coypus,-53.72177,-29.72333
Myocastor coypus,-46.999906,-23.579774
Myocastor coypus,-46.715884,-23.71723
Myocastor coypus,-53.714755,-29.720888
Myocastor coypus,-57.501001,-30.202269
Myocastor coypus,-51.512129,-29.259982
Myocastor coypus,-46.308401,-23.546129
Myocastor coypus,-51.243875,-29.655582
Myocastor coypus,-53.758237,-29.725604
Myocastor coypus,-41.025191,-21.736358
Myocastor coypus,-51.244007,-29.6556
Myocastor coypus,-54.539233,-25.578653
Myocastor coypus,-50.73121,-23.263617
Myocastor coypus,-50.255039,-29.887636
Myocastor coypus,-49.306822,-25.42183
Myocastor coypus,-49.416946,-28.713149
Myocastor coypus,-53.958363,-25.58818
Myocastor coypus,-51.970551,-29.465929
Myocastor coypus,-50.932668,-26.784441
Myocastor coypus,-51.116111,-30.075504
Myocastor coypus,-51.189017,-23.899575
Myocastor coypus,-51.117566,-30.074761
Myocastor coypus,-51.117462,-30.074658
Myocastor coypus,-48.445745,-27.430982
Myocastor coypus,-50.926575,-27.029642
Myocastor coypus,-48.008968,-22.664181
Myocastor coypus,-48.008891,-22.664272
Myocastor coypus,-46.716201,-23.716879
Myocastor coypus,-46.718341,-23.717563
Myocastor coypus,-46.519442,-23.495176
Myocastor coypus,-50.253124,-29.886589
Myocastor coypus,-49.277534,-28.684393
Myocastor coypus,-46.713991,-23.722309
Myocastor coypus,-50.256097,-29.886879
Myocastor coypus,-54.070119,-31.235211
Myocastor coypus,-51.157476,-23.789451
Myocastor coypus,-46.883605,-23.150106
Myocastor coypus,-51.24347,-29.655554
Myocastor coypus,-48.885971,-28.39601
Myocastor coypus,-47.193266,-22.71121
Myocastor coypus,-46.714403,-23.715511
Myocastor coypus,-47.171084,-23.11919
Myocastor coypus,-49.269973,-25.437238
Myocastor coypus,-52.561279999999996,-32.578082
Myocastor coypus,-52.972534,-26.365045
Myocastor coypus,-51.364831,-29.818712
Myocastor coypus,-48.009098,-22.663932
Myocastor coypus,-48.009055,-22.663991
Myocastor coypus,-50.25796,-29.885467
Myocastor coypus,-53.714755,-29.720888
Myocastor coypus,-49.613173,-27.264604
Myocastor coypus,-46.137413,-23.655017
Myocastor coypus,-49.284759,-25.379973
Myocastor coypus,-51.031311,-23.046211
Myocastor coypus,-46.878583,-23.575065
Myocastor coypus,-46.878695,-23.575054
Myocastor coypus,-46.878621,-23.575104
Myocastor coypus,-46.879028,-23.574887
Myocastor coypus,-46.878582,-23.575128
Myocastor coypus,-51.068517,-29.977303
Myocastor coypus,-50.900713,-28.970864
Myocastor coypus,-52.250633,-32.038377
Myocastor coypus,-46.608762,-22.278437
Myocastor coypus,-50.926645,-27.021002
Myocastor coypus,-50.927633,-27.028025
Myocastor coypus,-50.255872,-29.885657
Myocastor coypus,-50.256389,-29.887049
Myocastor coypus,-53.977856,-30.70221
Myocastor coypus,-53.133325,-32.059083
Myocastor coypus,-50.351911,-29.407459
Myocastor coypus,-46.297774,-23.609795
Myocastor coypus,-50.480465,-29.415835
Myocastor coypus,-50.896623,-29.005404
Myocastor coypus,-53.882249,-29.652941
Myocastor coypus,-53.760071,-29.606485
Myocastor coypus,-46.816403,-23.603335
Myocastor coypus,-56.605402,-29.339031
Myocastor coypus,-53.681214,-30.026352
Myocastor coypus,-49.288117,-25.657628
Myocastor coypus,-49.225395,-25.549756
Myocastor coypus,-50.900737,-28.970473
Myocastor coypus,-53.928625,-30.715258
Myocastor coypus,-49.465486,-28.874787
Myocastor coypus,-49.744477,-29.056467
Myocastor coypus,-46.144109,-23.533449
Myocastor coypus,-48.01149,-22.671182
Myocastor coypus,-54.531028,-25.57208
Myocastor coypus,-47.094406,-23.483988
Myocastor coypus,-41.024898,-21.73795
Myocastor coypus,-47.522257,-22.36408
Myocastor coypus,-52.615699,-27.100934
Myocastor coypus,-48.681574,-27.628087
Myocastor coypus,-48.778462,-22.349099
Myocastor coypus,-46.297017,-23.608192
Myocastor coypus,-47.648064,-22.733868
Myocastor coypus,-46.150374,-23.524045
Myocastor coypus,-46.878878,-23.575287
Myocastor coypus,-46.878889,-23.575307
Myocastor coypus,-46.878986,-23.575287
Myocastor coypus,-46.878954,-23.575228
Myocastor coypus,-46.878975,-23.57512
Myocastor coypus,-46.878937,-23.575139
Myocastor coypus,-46.879114,-23.574744
Myocastor coypus,-46.879135,-23.576766
Myocastor coypus,-50.89217,-29.412312
Myocastor coypus,-46.878484,-23.575149
Myocastor coypus,-46.878545,-23.575589
Myocastor coypus,-46.878539,-23.575585
Myocastor coypus,-46.878539,-23.575582
Myocastor coypus,-46.878482,-23.574835
Myocastor coypus,-46.878346,-23.575013
Myocastor coypus,-46.878362,-23.575033
Myocastor coypus,-46.878359,-23.575028
Myocastor coypus,-46.87896,-23.576507
Myocastor coypus,-46.878434,-23.576188
Myocastor coypus,-46.878369,-23.576157
Myocastor coypus,-46.878464,-23.575589
Myocastor coypus,-46.878478,-23.57557
Myocastor coypus,-54.523099,-25.606973
Myocastor coypus,-51.968147,-23.436013
Myocastor coypus,-48.672185,-28.244225
Myocastor coypus,-46.878445,-23.575292
Myocastor coypus,-46.878458,-23.575304
Myocastor coypus,-46.87845,-23.575267
Myocastor coypus,-46.878495,-23.575963
Myocastor coypus,-46.878501,-23.575906
Myocastor coypus,-46.878506,-23.575936
Myocastor coypus,-46.878511,-23.575921
Myocastor coypus,-47.332861,-23.197197
Myocastor coypus,-50.245399,-29.530591
Myocastor coypus,-54.522406,-25.611232
Myocastor coypus,-46.878613,-23.575089
Myocastor coypus,-46.878677,-23.575303
Myocastor coypus,-46.878676,-23.575101
Myocastor coypus,-48.475144,-27.473376
Myocastor coypus,-48.478719,-27.476069
Myocastor coypus,-51.176557,-23.325927
Myocastor coypus,-47.3011,-23.263689
Myocastor coypus,-46.718014,-23.718349
Myocastor coypus,-53.673088,-29.705244
Myocastor coypus,-46.878901,-23.574988
Myocastor coypus,-52.382961,-28.230289
Myocastor coypus,-50.565856,-27.285071
Myocastor coypus,-53.525249,-28.63699
Myocastor coypus,-47.555094,-22.442645
Myocastor coypus,-54.522597,-25.611405
Myocastor coypus,-49.887299,-29.550109
Myocastor coypus,-52.58132,-32.499087
Myocastor coypus,-51.90037,-27.147494
Myocastor coypus,-51.896541,-27.148471
Myocastor coypus,-46.532731,-23.49604
Myocastor coypus,-51.67365,-30.785433
Myocastor coypus,-47.037724,-22.817013
