scientific_name,decimalLongitude,decimalLatitude
Mytilopsis leucophaeata,-43.216,-22.972
Mytilopsis leucophaeata,-43.216,-22.972
Mytilopsis leucophaeata,-43.216,-22.972
Mytilopsis leucophaeata,-43.21,-22.963
Mytilopsis leucophaeata,-43.21,-22.963
Mytilopsis leucophaeata,-43.21,-22.963
Mytilopsis leucophaeata,-43.21,-22.963
Mytilopsis leucophaeata,-43.21,-22.963
Mytilopsis leucophaeata,-43.21,-22.963
Mytilopsis leucophaeata,-43.21,-22.963
Mytilopsis leucophaeata,-43.216,-22.972
Mytilopsis leucophaeata,-43.216,-22.972
Mytilopsis leucophaeata,-43.216,-22.972
Mytilopsis leucophaeata,-43.216,-22.972
Mytilopsis leucophaeata,-43.216,-22.972
Mytilopsis leucophaeata,-43.216,-22.972
Mytilopsis leucophaeata,-43.216,-22.972
Mytilopsis leucophaeata,-43.22,-22.97
Mytilopsis leucophaeata,-43.22,-22.97
Mytilopsis leucophaeata,-43.22,-22.97
Mytilopsis leucophaeata,-43.21,-22.96
Mytilopsis leucophaeata,-43.21,-22.96
Mytilopsis leucophaeata,-43.21,-22.96
Mytilopsis leucophaeata,-43.21,-22.96
Mytilopsis leucophaeata,-43.21,-22.96
Mytilopsis leucophaeata,-43.21,-22.96
Mytilopsis leucophaeata,-43.21,-22.96
Mytilopsis leucophaeata,-43.22,-22.97
Mytilopsis leucophaeata,-43.22,-22.97
Mytilopsis leucophaeata,-43.22,-22.97
Mytilopsis leucophaeata,-43.22,-22.97
Mytilopsis leucophaeata,-43.22,-22.97
Mytilopsis leucophaeata,-43.22,-22.97
Mytilopsis leucophaeata,-43.22,-22.97
Mytilopsis leucophaeata,-43.22,-22.98
Mytilopsis leucophaeata,-43.22,-22.98
Mytilopsis leucophaeata,-43.22,-22.98
Mytilopsis leucophaeata,-43.22,-22.98
Mytilopsis leucophaeata,-43.22,-22.98
