scientific_name,decimalLongitude,decimalLatitude
Nandayus nenday,-56.379039,-20.234464
Nandayus nenday,-56.619587,-20.079232
Nandayus nenday,-56.619587,-20.079232
Nandayus nenday,-56.619587,-20.079232
Nandayus nenday,-57.870477,-21.696152
Nandayus nenday,-57.655981,-18.998673
Nandayus nenday,-57.383413,-17.71664
Nandayus nenday,-55.964904,-20.095186000000002
Nandayus nenday,-57.653971,-18.996975
Nandayus nenday,-56.67036,-16.42127
Nandayus nenday,-56.67036,-16.42127
Nandayus nenday,-56.67504,-16.504574
Nandayus nenday,-56.304662,-19.953108
Nandayus nenday,-56.755831,-16.581962
Nandayus nenday,-57.07567,-19.445758
Nandayus nenday,-57.075875,-19.447493
Nandayus nenday,-56.628114,-16.264503
Nandayus nenday,-56.735372,-16.62088
Nandayus nenday,-56.735273,-16.620858
Nandayus nenday,-56.734874,-16.620513
Nandayus nenday,-56.735241,-16.621005
Nandayus nenday,-55.964658,-20.095535
Nandayus nenday,-55.965207,-20.095807
Nandayus nenday,-55.965458,-20.095607
Nandayus nenday,-56.732514,-16.619842
Nandayus nenday,-56.731608,-16.620171
Nandayus nenday,-56.857047,-16.747962
Nandayus nenday,-56.718792,-16.535673
Nandayus nenday,-55.965478,-20.095644
Nandayus nenday,-56.690019,-16.485197
Nandayus nenday,-55.96317,-20.113033
Nandayus nenday,-55.965058,-20.095793
Nandayus nenday,-56.088026,-19.587945
Nandayus nenday,-57.416605,-19.463995
Nandayus nenday,-56.858884,-16.749847
Nandayus nenday,-55.404301,-16.752477
Nandayus nenday,-57.019001,-19.577119
Nandayus nenday,-55.927986,-20.196056
Nandayus nenday,-55.935719,-20.178654
Nandayus nenday,-55.96487,-20.095665
Nandayus nenday,-55.94693,-20.172805
Nandayus nenday,-55.964844,-20.095621
Nandayus nenday,-55.964844,-20.095621
Nandayus nenday,-55.489693,-18.158861
Nandayus nenday,-55.489693,-18.158861
Nandayus nenday,-54.97702,-18.341906
Nandayus nenday,-54.97702,-18.341906
Nandayus nenday,-55.813293,-18.06247
Nandayus nenday,-55.813293,-18.06247
Nandayus nenday,-55.964844,-20.095621
Nandayus nenday,-55.964844,-20.095621
Nandayus nenday,-56.61538,-20.085772
Nandayus nenday,-56.575302,-20.22476
Nandayus nenday,-56.218548,-18.100418
Nandayus nenday,-56.218548,-18.100418
Nandayus nenday,-56.218548,-18.100418
Nandayus nenday,-56.218548,-18.100418
Nandayus nenday,-56.218548,-18.100418
Nandayus nenday,-56.218548,-18.100418
Nandayus nenday,-56.30441,-19.952642
Nandayus nenday,-56.30441,-19.952642
Nandayus nenday,-56.575302,-20.22476
Nandayus nenday,-56.575302,-20.22476
Nandayus nenday,-56.575302,-20.22476
Nandayus nenday,-56.575302,-20.22476
Nandayus nenday,-56.71459,-20.567266
Nandayus nenday,-56.71459,-20.567266
Nandayus nenday,-56.575302,-20.22476
Nandayus nenday,-56.575302,-20.22476
Nandayus nenday,-56.71459,-20.567266
Nandayus nenday,-56.575302,-20.22476
Nandayus nenday,-56.575302,-20.22476
Nandayus nenday,-55.910297,-20.277653
Nandayus nenday,-55.966089,-20.114419
Nandayus nenday,-56.575302,-20.22476
Nandayus nenday,-56.575302,-20.22476
Nandayus nenday,-56.37298,-20.240309
Nandayus nenday,-56.575302,-20.22476
Nandayus nenday,-56.304276,-19.95431
Nandayus nenday,-56.38066,-20.237415
Nandayus nenday,-56.575302,-20.22476
Nandayus nenday,-56.575302,-20.22476
Nandayus nenday,-56.40515,-20.25572
Nandayus nenday,-56.42671,-20.240961
Nandayus nenday,-56.575302,-20.22476
Nandayus nenday,-56.40515,-20.25572
Nandayus nenday,-56.575302,-20.22476
Nandayus nenday,-56.997185,-19.577965
Nandayus nenday,-56.575302,-20.22476
Nandayus nenday,-56.37094,-20.22262
Nandayus nenday,-56.61538,-20.085772
Nandayus nenday,-57.02115,-19.579897
Nandayus nenday,-56.575302,-20.22476
Nandayus nenday,-56.37094,-20.22262
Nandayus nenday,-56.61538,-20.085772
Nandayus nenday,-56.61538,-20.085772
Nandayus nenday,-56.37094,-20.22262
Nandayus nenday,-56.30441,-19.952642
Nandayus nenday,-56.575302,-20.22476
Nandayus nenday,-57.02115,-19.579897
Nandayus nenday,-56.40515,-20.25572
Nandayus nenday,-56.30441,-19.952642
Nandayus nenday,-56.575302,-20.22476
Nandayus nenday,-56.30441,-19.952642
Nandayus nenday,-55.943977,-20.190517
Nandayus nenday,-56.575302,-20.22476
Nandayus nenday,-56.42671,-20.240961
Nandayus nenday,-56.40515,-20.25572
Nandayus nenday,-56.575302,-20.22476
Nandayus nenday,-56.575302,-20.22476
Nandayus nenday,-56.575302,-20.22476
Nandayus nenday,-56.735313,-16.620695
Nandayus nenday,-55.943977,-20.190517
Nandayus nenday,-56.575302,-20.22476
Nandayus nenday,-56.30441,-19.952642
Nandayus nenday,-56.575302,-20.22476
Nandayus nenday,-56.85705,-16.747957
Nandayus nenday,-56.575302,-20.22476
Nandayus nenday,-56.575302,-20.22476
Nandayus nenday,-57.02115,-19.579897
Nandayus nenday,-56.575302,-20.22476
Nandayus nenday,-56.575302,-20.22476
Nandayus nenday,-56.30441,-19.952642
Nandayus nenday,-56.61538,-20.085772
Nandayus nenday,-56.540234,-20.377613
Nandayus nenday,-56.75289,-16.622246
Nandayus nenday,-56.30441,-19.952642
Nandayus nenday,-56.747505,-16.614817
Nandayus nenday,-56.735313,-16.620695
Nandayus nenday,-56.647,-20.601301
Nandayus nenday,-56.61538,-20.085772
Nandayus nenday,-56.30441,-19.952642
Nandayus nenday,-55.965176,-20.09559
Nandayus nenday,-55.965176,-20.09559
Nandayus nenday,-55.965176,-20.09559
Nandayus nenday,-55.965176,-20.09559
Nandayus nenday,-55.965176,-20.09559
Nandayus nenday,-55.965176,-20.09559
Nandayus nenday,-55.965176,-20.09559
Nandayus nenday,-57.695363,-18.990895
Nandayus nenday,-57.695363,-18.990895
Nandayus nenday,-56.363245,-20.196377
Nandayus nenday,-56.363245,-20.196377
Nandayus nenday,-54.53643,-25.548342
Nandayus nenday,-54.53643,-25.548342
Nandayus nenday,-54.53643,-25.548342
Nandayus nenday,-56.61538,-20.085772
Nandayus nenday,-55.964844,-20.095621
Nandayus nenday,-55.927876,-20.196117
Nandayus nenday,-55.927876,-20.196117
Nandayus nenday,-56.897305,-19.829878
Nandayus nenday,-56.897305,-19.829878
Nandayus nenday,-57.477978,-19.408556
Nandayus nenday,-57.477978,-19.408556
Nandayus nenday,-55.927876,-20.196117
Nandayus nenday,-55.927876,-20.196117
Nandayus nenday,-55.927876,-20.196117
Nandayus nenday,-55.927876,-20.196117
Nandayus nenday,-55.927876,-20.196117
Nandayus nenday,-55.927876,-20.196117
Nandayus nenday,-55.92814,-20.19553
Nandayus nenday,-55.927876,-20.196117
Nandayus nenday,-55.927876,-20.196117
Nandayus nenday,-56.30441,-19.952642
Nandayus nenday,-55.927876,-20.196117
Nandayus nenday,-55.927876,-20.196117
Nandayus nenday,-55.927876,-20.196117
Nandayus nenday,-55.927876,-20.196117
Nandayus nenday,-55.927876,-20.196117
Nandayus nenday,-55.927876,-20.196117
Nandayus nenday,-55.927876,-20.196117
Nandayus nenday,-56.30441,-19.952642
Nandayus nenday,-55.927876,-20.196117
Nandayus nenday,-55.927776,-20.196497
Nandayus nenday,-55.927776,-20.196497
Nandayus nenday,-55.927776,-20.196497
Nandayus nenday,-55.927876,-20.196117
Nandayus nenday,-57.742813,-21.707724
Nandayus nenday,-57.785645,-21.714262
Nandayus nenday,-57.87567,-21.69784
Nandayus nenday,-57.71168,-21.710682
Nandayus nenday,-56.30441,-19.952642
Nandayus nenday,-56.61538,-20.085772
Nandayus nenday,-56.61538,-20.085772
Nandayus nenday,-56.150867,-19.577219
Nandayus nenday,-56.713013,-20.535826
Nandayus nenday,-55.964844,-20.095621
Nandayus nenday,-56.150867,-19.577219
Nandayus nenday,-56.150867,-19.577219
Nandayus nenday,-56.150867,-19.577219
Nandayus nenday,-56.150867,-19.577219
Nandayus nenday,-56.150867,-19.577219
Nandayus nenday,-56.150867,-19.577219
Nandayus nenday,-56.150867,-19.577219
Nandayus nenday,-57.033413,-19.633774
Nandayus nenday,-56.347374,-20.222052
Nandayus nenday,-55.670944,-20.45561
Nandayus nenday,-56.575302,-20.22476
Nandayus nenday,-56.575302,-20.22476
Nandayus nenday,-56.575302,-20.22476
Nandayus nenday,-56.347374,-20.222052
Nandayus nenday,-57.07575,-19.44733
Nandayus nenday,-55.84604,-20.308971
Nandayus nenday,-55.927876,-20.196117
Nandayus nenday,-57.853165,-21.339134
Nandayus nenday,-57.751083,-21.414974
Nandayus nenday,-57.85316,-21.339128
Nandayus nenday,-57.07575,-19.44733
Nandayus nenday,-57.07575,-19.44733
Nandayus nenday,-57.741207,-21.697145
Nandayus nenday,-56.150867,-19.577219
Nandayus nenday,-55.927876,-20.196117
Nandayus nenday,-55.927876,-20.196117
Nandayus nenday,-55.927876,-20.196117
