Species,decimalLongitude,decimalLatitude
Nannostomus beckfordi,-42.345222,-22.537889
Nannostomus beckfordi,-52.068889,-0.645556
Nannostomus beckfordi,-51.388333,0.706389
Nannostomus beckfordi,-51.388333,0.706389
Nannostomus beckfordi,-51.388333,0.706389
Nannostomus beckfordi,-51.413333,0.701389
Nannostomus beckfordi,-51.413333,0.701389
Nannostomus beckfordi,-51.413333,0.701389
Nannostomus beckfordi,-51.413333,0.701389
Nannostomus beckfordi,-51.413333,0.701389
Nannostomus beckfordi,-51.413333,0.701389
Nannostomus beckfordi,-51.388333,0.706389
Nannostomus beckfordi,-51.388333,0.706389
Nannostomus beckfordi,-51.388333,0.706389
Nannostomus beckfordi,-51.388333,0.706389
Nannostomus beckfordi,-47.398611,-1.381667
Nannostomus beckfordi,-47.458611,-1.374167
Nannostomus beckfordi,-47.504722,-1.393889
Nannostomus beckfordi,-47.336944,-1.409722
Nannostomus beckfordi,-47.55,-1.531667
Nannostomus beckfordi,-47.489722,-1.549444
Nannostomus beckfordi,-47.502222,-1.506667
Nannostomus beckfordi,-47.448333,-1.437778
Nannostomus beckfordi,-54.836944,-2.455278
Nannostomus beckfordi,-54.836944,-2.455278
Nannostomus beckfordi,-47.5125,-1.36
Nannostomus beckfordi,-47.458611,-1.374167
Nannostomus beckfordi,-47.504722,-1.393889
Nannostomus beckfordi,-47.55,-1.531667
Nannostomus beckfordi,-47.502222,-1.506667
Nannostomus beckfordi,-50.888611,1.229167
Nannostomus beckfordi,-51.413056,0.702222
Nannostomus beckfordi,-51.364444,0.701944
Nannostomus beckfordi,-51.1025,1.039444
Nannostomus beckfordi,-50.859444,1.139444
Nannostomus beckfordi,-51.199444,0.885833
Nannostomus beckfordi,-50.9225,2.161111
Nannostomus beckfordi,-50.951111,1.356667
Nannostomus beckfordi,-50.949444,1.162778
Nannostomus beckfordi,-50.893333,1.226111
Nannostomus beckfordi,-46.93056,-24.21754
Nannostomus beckfordi,-43.414722,-4.891667
Nannostomus beckfordi,-43.414722,-4.891667
Nannostomus beckfordi,-47.53702,-4.37917
Nannostomus beckfordi,-46.058056,-23.788889
Nannostomus beckfordi,-46.922778,-24.219444
Nannostomus beckfordi,-43.41472,-4.89167
Nannostomus beckfordi,-43.41472,-4.89167
Nannostomus beckfordi,-43.41472,-4.89167
Nannostomus beckfordi,-46.548333,-1.789444
Nannostomus beckfordi,-43.41503,-4.89086
Nannostomus beckfordi,-43.41503,-4.89086
Nannostomus beckfordi,-43.41472,-4.89167
Nannostomus beckfordi,-46.548333,-1.789444
Nannostomus beckfordi,-43.435692,-22.603522
Nannostomus beckfordi,-47.463333,-1.1625
Nannostomus beckfordi,-47.510556,-1.165556
Nannostomus beckfordi,-47.102222,-5.309167
Nannostomus beckfordi,-45.894722,-4.988056
Nannostomus beckfordi,-46.319444,-3.661111
Nannostomus beckfordi,-45.954722,-4.553333
Nannostomus beckfordi,-45.3,-4.399722
Nannostomus beckfordi,-45.898611,-4.426667
Nannostomus beckfordi,-45.486111,-3.79
Nannostomus beckfordi,-63.212778,-6.3325
Nannostomus beckfordi,-47.140278,-0.960833
Nannostomus beckfordi,-47.165833,-0.975556
Nannostomus beckfordi,-47.140278,-0.960833
Nannostomus beckfordi,-47.165833,-0.975556
Nannostomus beckfordi,-47.152222,-0.958056
Nannostomus beckfordi,-47.115278000000004,-0.935833
Nannostomus beckfordi,-43.41472,-4.89167
Nannostomus beckfordi,-46.746667,-2.954722
Nannostomus beckfordi,-47.46232,-3.120638
Nannostomus beckfordi,-46.746667,-2.954722
Nannostomus beckfordi,-46.319444,-3.661111
Nannostomus beckfordi,-45.894722,-4.988056
Nannostomus beckfordi,-47.102222,-5.309167
Nannostomus beckfordi,-45.954722,-4.553333
