scientific_name,decimalLongitude,decimalLatitude
Nephrolepis brownii,-44.025526,-19.982695
Nephrolepis brownii,-35.116489,-7.398718
Nephrolepis brownii,-34.907841,-7.18267
Nephrolepis brownii,-52.833056,-0.456389
Nephrolepis brownii,-47.978333,-22.446944
Nephrolepis brownii,-42.978333,-22.446944
Nephrolepis brownii,-42.97833,-22.44694
Nephrolepis brownii,-42.97833,-22.44694
Nephrolepis brownii,-42.978333,-22.446944
Nephrolepis brownii,-42.978333,-22.446944
Nephrolepis brownii,-42.978333,-22.446944
Nephrolepis brownii,-42.758427,-5.098253
Nephrolepis brownii,-35.223515,-5.930694
Nephrolepis brownii,-39.286111,-14.969444
Nephrolepis brownii,-43.224167,-22.9675
Nephrolepis brownii,-44.060833,-2.926389
Nephrolepis brownii,-38.485697,-3.748662
Nephrolepis brownii,-43.224167,-22.9675
Nephrolepis brownii,-40.289214,-20.277998
Nephrolepis brownii,-34.991779,-7.974706
Nephrolepis brownii,-44.368333,-2.721667
Nephrolepis brownii,-47.632556,-0.936722
Nephrolepis brownii,-37.356694,-10.763778
Nephrolepis brownii,-35.339722,-6.036111
Nephrolepis brownii,-35.339722,-6.036111
Nephrolepis brownii,-54.913056,-3.418056
Nephrolepis brownii,-54.913056,-3.418056
Nephrolepis brownii,-54.913056,-3.418056
Nephrolepis brownii,-55.078333,-2.968889
Nephrolepis brownii,-54.516111,-1.488056
Nephrolepis brownii,-59.960461,-3.079262
Nephrolepis brownii,-61.732222,-1.906667
Nephrolepis brownii,-41.321667,-12.819722
Nephrolepis brownii,-49.614167,-2.210278
Nephrolepis brownii,-49.614167,-2.210278
Nephrolepis brownii,-54.878056,-3.922778
Nephrolepis brownii,-56.302778000000004,-4.5475
Nephrolepis brownii,-54.878056,-3.922778
Nephrolepis brownii,-56.328333,-4.611389
Nephrolepis brownii,-56.032222,-3.871111
Nephrolepis brownii,-56.032222,-3.871111
Nephrolepis brownii,-56.3283,-4.6086
Nephrolepis brownii,-56.032222,-3.871111
Nephrolepis brownii,-56.032222,-3.871111
Nephrolepis brownii,-56.032222,-3.871111
Nephrolepis brownii,-56.032222,-3.871111
Nephrolepis brownii,-56.032222,-3.871111
Nephrolepis brownii,-56.032222,-3.871111
Nephrolepis brownii,-54.868611,-3.938056
Nephrolepis brownii,-47.220556,-1.295556
Nephrolepis brownii,-47.220583,-1.295556
Nephrolepis brownii,-46.292944,-1.209167
Nephrolepis brownii,-47.661861,-1.34025
