Species,decimalLongitude,decimalLatitude
Neustanthus phaseoloides,-44.871944,-23.348056
Neustanthus phaseoloides,-47.174565,-24.290777
Neustanthus phaseoloides,-34.931633,-7.013692
Neustanthus phaseoloides,-67.891927,-9.933277
Neustanthus phaseoloides,-62.910617,-9.905399
Neustanthus phaseoloides,-65.36814,-9.700347
Neustanthus phaseoloides,-50.564566,-6.030966
Neustanthus phaseoloides,-59.8775,-3.024167
Neustanthus phaseoloides,-67.864903,-9.956557
Neustanthus phaseoloides,-72.894155,-7.519986
Neustanthus phaseoloides,-48.849725,-2.502622
Neustanthus phaseoloides,-56.06799,-9.859983
Neustanthus phaseoloides,-67.874964,-9.958672
Neustanthus phaseoloides,-64.7092,-3.34737
Neustanthus phaseoloides,-48.428611,-14.239444
Neustanthus phaseoloides,-67.851944,-10.051944
Neustanthus phaseoloides,-72.665081,-7.634141
Neustanthus phaseoloides,-72.670474,-7.617041
Neustanthus phaseoloides,-72.670604,-7.616354
Neustanthus phaseoloides,-39.136488,-13.82987
Neustanthus phaseoloides,-72.668365,-7.63438
Neustanthus phaseoloides,-72.689718,-7.614762
Neustanthus phaseoloides,-72.679546,-7.637055
Neustanthus phaseoloides,-72.686482,-7.612159
Neustanthus phaseoloides,-72.683668,-7.620934
Neustanthus phaseoloides,-54.9275,-3.050833
Neustanthus phaseoloides,-47.933389,-2.273861
Neustanthus phaseoloides,-48.238056,-2.462222
Neustanthus phaseoloides,-67.5,-9.9
Neustanthus phaseoloides,-63.558245,-8.592448
Neustanthus phaseoloides,-48.433514,-1.425987
Neustanthus phaseoloides,-39.116667,-15.483333
Neustanthus phaseoloides,-39.116667,-15.483333
Neustanthus phaseoloides,-39.116667,-15.483333
Neustanthus phaseoloides,-56.297778,-16.298056
Neustanthus phaseoloides,-56.297778,-16.514722
Neustanthus phaseoloides,-51.798889,-3.228333
Neustanthus phaseoloides,-52.065556,-3.356389
Neustanthus phaseoloides,-56.297778,-16.514722
Neustanthus phaseoloides,-51.768333,-3.256111
Neustanthus phaseoloides,-51.808889,-3.288611
Neustanthus phaseoloides,-51.845,-3.296944
Neustanthus phaseoloides,-55.731111,-10.995556
Neustanthus phaseoloides,-55.731111,-10.995555
Neustanthus phaseoloides,-42.738333,-22.418056
Neustanthus phaseoloides,-39.198333,-13.188056
Neustanthus phaseoloides,-39.198333,-13.821389
Neustanthus phaseoloides,-54.860556,-2.860833
Neustanthus phaseoloides,-54.860556,-2.5275
Neustanthus phaseoloides,-67.733333,-9.533333
Neustanthus phaseoloides,-48.302778000000004,-1.204444
Neustanthus phaseoloides,-69.931667,-4.931944
Neustanthus phaseoloides,-69.931667,-4.931944
Neustanthus phaseoloides,-48.302778000000004,-1.204444
Neustanthus phaseoloides,-69.931667,-4.265278
Neustanthus phaseoloides,-69.931667,-4.265278
Neustanthus phaseoloides,-69.931667,-4.265278
Neustanthus phaseoloides,-48.302777,-1.204444
Neustanthus phaseoloides,-48.302778000000004,-1.204444
Neustanthus phaseoloides,-67.736734,-10.150074
Neustanthus phaseoloides,-51.755,-3.253889
Neustanthus phaseoloides,-51.808889,-3.313611
Neustanthus phaseoloides,-51.784444,-3.160556
Neustanthus phaseoloides,-64.5631,-9.2906
Neustanthus phaseoloides,-64.563056,-9.290556
Neustanthus phaseoloides,-64.563056,-9.290556
Neustanthus phaseoloides,-64.334722,-9.1725
Neustanthus phaseoloides,-64.563056,-9.557222
Neustanthus phaseoloides,-64.563056,-9.290556
Neustanthus phaseoloides,-64.563055,-9.290555
Neustanthus phaseoloides,-64.563055,-9.290555
Neustanthus phaseoloides,-39.256111,-14.320556
Neustanthus phaseoloides,-39.256111,-14.253889
Neustanthus phaseoloides,-39.190556,-13.187222
