scientific_name,decimalLongitude,decimalLatitude
Nicotiana glauca,-39.152185,-7.671017
Nicotiana glauca,-37.064714,-8.307767
Nicotiana glauca,-47.170113,-22.976061
Nicotiana glauca,-39.271317,-11.550713
Nicotiana glauca,-35.915833,-7.211667
Nicotiana glauca,-36.879369,-7.231975
Nicotiana glauca,-37.382603,-8.956956
Nicotiana glauca,-48.80549,-28.440247
Nicotiana glauca,-46.656001,-23.555887
Nicotiana glauca,-37.0175,-6.989722
Nicotiana glauca,-37.0175,-6.989722
Nicotiana glauca,-36.786593,-6.962327
Nicotiana glauca,-43.860278,-20.509167
Nicotiana glauca,-35.996735,-8.273449
Nicotiana glauca,-44.0474,-20.39097
Nicotiana glauca,-43.307194,-22.90328
Nicotiana glauca,-47.566546,-22.929193
Nicotiana glauca,-35.471667,-7.894369
Nicotiana glauca,-35.442537,-7.86881
Nicotiana glauca,-35.442485,-7.868895
Nicotiana glauca,-39.44286,-4.661003
Nicotiana glauca,-36.719725,-8.51965
Nicotiana glauca,-52.22392,-32.15829
Nicotiana glauca,-43.064802,-22.775877
Nicotiana glauca,-52.330058,-31.781696
Nicotiana glauca,-52.330227,-31.781757
Nicotiana glauca,-48.493576,-27.655158
Nicotiana glauca,-46.459934,-23.696929
Nicotiana glauca,-51.211576,-21.034707
Nicotiana glauca,-43.224733,-22.854333
Nicotiana glauca,-43.224733,-22.854333
Nicotiana glauca,-48.551056,-22.74095
Nicotiana glauca,-43.876952,-19.838506
Nicotiana glauca,-41.74976,-22.321244
Nicotiana glauca,-43.452948,-22.887919
Nicotiana glauca,-43.232578,-22.841149
Nicotiana glauca,-40.833333,-9.683333
Nicotiana glauca,-43.991296,-19.945147
Nicotiana glauca,-43.355057,-22.785282
Nicotiana glauca,-46.548591,-23.65548
Nicotiana glauca,-46.615317,-23.556892
Nicotiana glauca,-38.149474,-9.104566
Nicotiana glauca,-38.149474,-9.104566
Nicotiana glauca,-46.835278,-23.5125
Nicotiana glauca,-43.204851,-22.936142
Nicotiana glauca,-47.549748,-22.389706
Nicotiana glauca,-49.081838,-22.295768
Nicotiana glauca,-49.081838,-22.295768
Nicotiana glauca,-50.217598,-30.175842
Nicotiana glauca,-36.478652,-8.888615
Nicotiana glauca,-36.353051,-7.436439
Nicotiana glauca,-43.265072,-22.894014
Nicotiana glauca,-46.691723,-23.451088
Nicotiana glauca,-36.070508,-8.369581
Nicotiana glauca,-42.086944,-22.822222
Nicotiana glauca,-42.086944,-22.822222
Nicotiana glauca,-42.086944,-22.822222
Nicotiana glauca,-46.691883,-23.451237
Nicotiana glauca,-51.144819,-29.822674
Nicotiana glauca,-43.473431,-22.872908
Nicotiana glauca,-48.90568,-23.111905
Nicotiana glauca,-46.812687,-23.168858
Nicotiana glauca,-44.582893,-19.868219
Nicotiana glauca,-41.569032,-21.14888
Nicotiana glauca,-42.483383,-22.934907
Nicotiana glauca,-47.454845,-23.557287
Nicotiana glauca,-44.122222,-19.531389
Nicotiana glauca,-49.774235,-26.096391
Nicotiana glauca,-41.956458,-11.419585
Nicotiana glauca,-41.956458,-11.419585
Nicotiana glauca,-36.782109,-8.954902
Nicotiana glauca,-47.080317,-22.95924
Nicotiana glauca,-51.219168,-23.331718
Nicotiana glauca,-36.482807,-8.796906
Nicotiana glauca,-43.565937,-22.9525
Nicotiana glauca,-50.085575,-23.29839
Nicotiana glauca,-35.752105,-8.214232
Nicotiana glauca,-52.356774,-31.769836
Nicotiana glauca,-52.356587,-31.769672
Nicotiana glauca,-47.582099,-22.398405
Nicotiana glauca,-47.994722,-15.800278
Nicotiana glauca,-36.278333,-6.918611
Nicotiana glauca,-44.959794,-23.071589
Nicotiana glauca,-47.586252,-22.401573
Nicotiana glauca,-52.809248,-28.286351
Nicotiana glauca,-51.217658,-30.034647
Nicotiana glauca,-50.463687,-21.233647
Nicotiana glauca,-50.463668,-21.233795
Nicotiana glauca,-37.204833,-8.058294
Nicotiana glauca,-37.211111,-8.058056
Nicotiana glauca,-36.159943,-6.495913
Nicotiana glauca,-40.2,-5.325833
Nicotiana glauca,-43.280309,-22.9128
Nicotiana glauca,-46.71454,-23.29668
Nicotiana glauca,-36.760204,-8.843715
Nicotiana glauca,-45.8825,-23.253611
Nicotiana glauca,-44.0122,-19.962436
Nicotiana glauca,-47.939068,-22.850793
Nicotiana glauca,-49.917825,-20.863949
Nicotiana glauca,-49.917825,-20.863949
Nicotiana glauca,-48.932036,-23.075635
Nicotiana glauca,-43.862389,-19.859772
Nicotiana glauca,-40.04164,-13.5222
Nicotiana glauca,-36.36,-6.241111
Nicotiana glauca,-44.959722,-23.069722
Nicotiana glauca,-36.600278,-6.403333
Nicotiana glauca,-36.600278,-6.403333
Nicotiana glauca,-39,-9
Nicotiana glauca,-42.484551,-19.221688
Nicotiana glauca,-39.125,-9.906389
Nicotiana glauca,-44.075577,-19.96089
Nicotiana glauca,-47.057133,-22.912338
Nicotiana glauca,-39.556111,-10.208333
Nicotiana glauca,-43.99497,-19.898641
Nicotiana glauca,-37.384444,-7.253056
Nicotiana glauca,-37.521389,-8.523611
Nicotiana glauca,-38.471297,-9.175
Nicotiana glauca,-37.521389,-8.506944
Nicotiana glauca,-38.690556,-8.338611
Nicotiana glauca,-47.86307,-20.590853
Nicotiana glauca,-47.862988,-20.590788
Nicotiana glauca,-48.20763,-18.647775
Nicotiana glauca,-37.061944,-7.570278
Nicotiana glauca,-41.0208,-11.6844
Nicotiana glauca,-41.035556,-12.145556
Nicotiana glauca,-41.381944,-11.1325
Nicotiana glauca,-41.381944,-11.1325
Nicotiana glauca,-38.111112,-8.388888
Nicotiana glauca,-36.6425,-6.706944
Nicotiana glauca,-36.6425,-6.706944
Nicotiana glauca,-36.6425,-6.740278
Nicotiana glauca,-36.6425,-6.706944
Nicotiana glauca,-36.6425,-6.706944
Nicotiana glauca,-37.915,-9.266111
Nicotiana glauca,-38.5302,-9.450386
Nicotiana glauca,-36.823333,-7.888889
Nicotiana glauca,-37.915,-9.266111
Nicotiana glauca,-38.5302,-9.450386
Nicotiana glauca,-36.305,-7.386667
Nicotiana glauca,-36.305,-7.386667
Nicotiana glauca,-36.135,-7.481667
Nicotiana glauca,-38.958611,-8.953611
Nicotiana glauca,-38.958333,-8.286944
Nicotiana glauca,-36.361944,-7.058056
Nicotiana glauca,-39.583333,-8.472222
Nicotiana glauca,-38.958611,-8.286944
Nicotiana glauca,-40.266667,-9.283333
Nicotiana glauca,-51.15733,-29.796142
Nicotiana glauca,-38.510472,-8.363555
Nicotiana glauca,-37.265258,-8.192361
Nicotiana glauca,-37.209475,-8.338977
Nicotiana glauca,-37.189738,-8.47008
Nicotiana glauca,-37.915,-9.266111
Nicotiana glauca,-37.893889,-9.312222
Nicotiana glauca,-38.984672,-7.979969
Nicotiana glauca,-39.042269,-7.967777
