scientific_name,decimalLongitude,decimalLatitude
Nymphaea nouchali var. caerulea,-38.933328,-4.265567
Nymphaea nouchali var. caerulea,-46.730378,-23.566035
Nymphaea nouchali var. caerulea,-40.295453,-20.15153
Nymphaea nouchali var. caerulea,-49.097975,-25.443639
Nymphaea nouchali var. caerulea,-54.500062,-25.577445
Nymphaea nouchali var. caerulea,-46.624454,-23.6415
Nymphaea nouchali var. caerulea,-40.116567,-19.007663
Nymphaea nouchali var. caerulea,-46.447903,-23.694113
Nymphaea nouchali var. caerulea,-34.94696,-8.011161
Nymphaea nouchali var. caerulea,-34.945249,-8.016179
Nymphaea nouchali var. caerulea,-46.528607,-23.675464
Nymphaea nouchali var. caerulea,-36.016155,-8.368502
Nymphaea nouchali var. caerulea,-36.016069,-8.368417
Nymphaea nouchali var. caerulea,-36.015983,-8.368333
Nymphaea nouchali var. caerulea,-36.016069,-8.368502
Nymphaea nouchali var. caerulea,-34.882897,-8.0575310000000009
Nymphaea nouchali var. caerulea,-46.529856,-23.676217
Nymphaea nouchali var. caerulea,-50.197001,-23.568301
Nymphaea nouchali var. caerulea,-50.301679,-29.872288
Nymphaea nouchali var. caerulea,-46.145127,-23.535049
Nymphaea nouchali var. caerulea,-48.882275,-26.298895
Nymphaea nouchali var. caerulea,-51.400714,-26.406859
Nymphaea nouchali var. caerulea,-49.211944,-26.762778
Nymphaea nouchali var. caerulea,-35.88111,-8.05389
Nymphaea nouchali var. caerulea,-34.881111,-8.053889
Nymphaea nouchali var. caerulea,-34.881111,-8.053889
Nymphaea nouchali var. caerulea,-34.88111,-8.05389
Nymphaea nouchali var. caerulea,-34.881111,-8.053889
Nymphaea nouchali var. caerulea,-42.772778,-22.452778
Nymphaea nouchali var. caerulea,-42.772778,-22.452778
Nymphaea nouchali var. caerulea,-49.319167,-28.260833
Nymphaea nouchali var. caerulea,-46.144971,-23.534508
Nymphaea nouchali var. caerulea,-42.775556,-22.451111
Nymphaea nouchali var. caerulea,-54.212357,-25.227751
Nymphaea nouchali var. caerulea,-34.881111,-8.054167
Nymphaea nouchali var. caerulea,-49.007222,-28.464444
