Species,decimalLongitude,decimalLatitude
Oeceoclades maculata,-42.044722,-22.422222
Oeceoclades maculata,-43.983333,-18.516667
Oeceoclades maculata,-43.983333,-18.516667
Oeceoclades maculata,-51.766111,-20.101111
Oeceoclades maculata,-47.960556,-15.511389
Oeceoclades maculata,-51.766111,-20.101111
Oeceoclades maculata,-40.977778,-16.3925
Oeceoclades maculata,-47.665278,-15.596111
Oeceoclades maculata,-40.449783,-10.901847
Oeceoclades maculata,-46.786194,-1.056694
Oeceoclades maculata,-39.958056,-19.656111
Oeceoclades maculata,-51.852222,-23.868889
Oeceoclades maculata,-51.852306,-23.869111
Oeceoclades maculata,-41.836111,-22.392222
Oeceoclades maculata,-38.804722,-12.250833
Oeceoclades maculata,-39.631389,-13.273056
Oeceoclades maculata,-40.141944,-18.370833
Oeceoclades maculata,-40.481111,-20.280556
Oeceoclades maculata,-53.425,-24.190833
Oeceoclades maculata,-40.481111,-20.280556
Oeceoclades maculata,-39.828611,-19.127222
Oeceoclades maculata,-41.491944,-12.338056
Oeceoclades maculata,-43.904444,-19.950833
Oeceoclades maculata,-43.840937,-19.827457
Oeceoclades maculata,-45.546008,-22.254003
Oeceoclades maculata,-49.360242,-16.606801
Oeceoclades maculata,-41.4325,-20.731667
Oeceoclades maculata,-47.868889,-15.946944
Oeceoclades maculata,-43.282562,-22.69027
Oeceoclades maculata,-39.626211,-15.851291
Oeceoclades maculata,-35.065833,-7.982778
Oeceoclades maculata,-48.508427,-21.427983
Oeceoclades maculata,-51.370278,-23.328056
Oeceoclades maculata,-43.470587,-23.022938
Oeceoclades maculata,-62.484265,-10.420474
Oeceoclades maculata,-41.379444,-19.273333
Oeceoclades maculata,-46.846467,-23.657367
Oeceoclades maculata,-41.595555,-21.455833
Oeceoclades maculata,-41.615556,-21.361667
Oeceoclades maculata,-41.379444,-19.273333
Oeceoclades maculata,-40.371476,-20.509689
Oeceoclades maculata,-41.933078,-21.015797
Oeceoclades maculata,-43.66201,-22.729602
Oeceoclades maculata,-43.36642,-22.995586
Oeceoclades maculata,-41.082778,-21.426389
Oeceoclades maculata,-41.094167,-21.372778
Oeceoclades maculata,-43.420301,-21.65882
Oeceoclades maculata,-47.406137,-23.491981
Oeceoclades maculata,-40.202083,-20.186386
Oeceoclades maculata,-40.202083,-20.186386
Oeceoclades maculata,-35.330472,-8.067358
Oeceoclades maculata,-50.24201,-6.057731
Oeceoclades maculata,-50.24201,-6.057731
Oeceoclades maculata,-48.421844,-27.412722
Oeceoclades maculata,-43.50308,-22.871653
Oeceoclades maculata,-41.770556,-4.288056
Oeceoclades maculata,-41.770556,-4.288056
Oeceoclades maculata,-42.47978,-22.935238
Oeceoclades maculata,-46.998321,-22.425128
Oeceoclades maculata,-48.395099,-18.976454
Oeceoclades maculata,-45.696874,-22.257308
Oeceoclades maculata,-48.572222,-26.366389
Oeceoclades maculata,-48.572222,-26.366389
Oeceoclades maculata,-44.223508,-21.097039
Oeceoclades maculata,-37.014111,-8.428111
Oeceoclades maculata,-40.109722,-2.909167
Oeceoclades maculata,-47.241189,-23.049421
Oeceoclades maculata,-46.716103,-23.565278
Oeceoclades maculata,-39.448409,-13.430506
Oeceoclades maculata,-39.066672,-16.47578
Oeceoclades maculata,-47.613889,-23.513611
Oeceoclades maculata,-43.032286,-21.546406
Oeceoclades maculata,-43.032172,-21.546355
Oeceoclades maculata,-46.56995,-21.808693
Oeceoclades maculata,-57.960833,-17.08975
Oeceoclades maculata,-49.365954,-28.939383
Oeceoclades maculata,-48.40639,-1.383412
Oeceoclades maculata,-43.345556,-22.952778
Oeceoclades maculata,-45.976944,-21.938611
Oeceoclades maculata,-34.948632,-7.142337
Oeceoclades maculata,-41.386547,-12.567563
Oeceoclades maculata,-42.379894,-21.13074
Oeceoclades maculata,-42.379939,-21.130713
Oeceoclades maculata,-48.306725,-23.546045
Oeceoclades maculata,-49.272693,-8.268307
Oeceoclades maculata,-43.312456,-4.84664
Oeceoclades maculata,-41.989482,-20.257348
Oeceoclades maculata,-41.989435,-20.257299
Oeceoclades maculata,-47.803795,-21.249912
Oeceoclades maculata,-46.532372,-22.966906
Oeceoclades maculata,-46.532424,-22.966739
