Species,decimalLongitude,decimalLatitude
Oncorhynchus mykiss,-49.876672,-27.954538
Oncorhynchus mykiss,-45.125683,-23.229587
Oncorhynchus mykiss,-50.239394,-28.625458
Oncorhynchus mykiss,-44.539761,-22.218722
Oncorhynchus mykiss,-44.539761,-22.218722
Oncorhynchus mykiss,-44.373889,-22.847222
Oncorhynchus mykiss,-44.75,-22.25
Oncorhynchus mykiss,-51.88,-23.264167
Oncorhynchus mykiss,-48.570278,-24.179167
Oncorhynchus mykiss,-43.258333,-22.475833
Oncorhynchus mykiss,-49.369722,-28.023889
Oncorhynchus mykiss,-49.630278,-28.3375
Oncorhynchus mykiss,-49.648611,-28.137222
Oncorhynchus mykiss,-49.563611,-28.167222
Oncorhynchus mykiss,-49.563611,-28.167222
Oncorhynchus mykiss,-49.611389,-28.0225
Oncorhynchus mykiss,-49.612221,-28.021667
Oncorhynchus mykiss,-49.600833,-28.229167
Oncorhynchus mykiss,-49.56361,-28.167223
Oncorhynchus mykiss,-42.981667,-22.286667
Oncorhynchus mykiss,-45.166667,-23.366667
Oncorhynchus mykiss,-50.033333,-28.733333
