scientific_name,decimalLongitude,decimalLatitude
Opuntia ficus-indica,-37.159797,-7.913975
Opuntia ficus-indica,-53.712009,-29.183669
Opuntia ficus-indica,-44.53069,-14.186989
Opuntia ficus-indica,-44.41646,-14.15387
Opuntia ficus-indica,-43.448534,-5.536781
Opuntia ficus-indica,-46.730378,-23.566035
Opuntia ficus-indica,-42.35,-22.865833
Opuntia ficus-indica,-46.782438,-23.436425
Opuntia ficus-indica,-49.075328,-25.368817
Opuntia ficus-indica,-37.264722,-8.074444
Opuntia ficus-indica,-38.918333,-12.254722
Opuntia ficus-indica,-41.315875,-12.430464
Opuntia ficus-indica,-40.702778,-13.402222
Opuntia ficus-indica,-41.605961,-12.332183
Opuntia ficus-indica,-41.498077,-12.468978
Opuntia ficus-indica,-49.30307,-24.09009
Opuntia ficus-indica,-51.114444,-28.819722
Opuntia ficus-indica,-53.712734,-29.183577
Opuntia ficus-indica,-46.941864,-21.365375
Opuntia ficus-indica,-44.798901,-16.207971
Opuntia ficus-indica,-49.255363,-25.3997
Opuntia ficus-indica,-48.985094,-23.215796
Opuntia ficus-indica,-36.51516,-8.510955
Opuntia ficus-indica,-42.035958,-12.860979
Opuntia ficus-indica,-46.731426,-23.565492
Opuntia ficus-indica,-35.966111,-7.276389
Opuntia ficus-indica,-35.966111,-7.276389
Opuntia ficus-indica,-35.966111,-7.276389
Opuntia ficus-indica,-35.966111,-7.276389
Opuntia ficus-indica,-35.966111,-7.276389
Opuntia ficus-indica,-35.966111,-7.276389
Opuntia ficus-indica,-35.966111,-7.276389
Opuntia ficus-indica,-35.966111,-7.276389
Opuntia ficus-indica,-35.966111,-7.276389
Opuntia ficus-indica,-35.966111,-7.276389
Opuntia ficus-indica,-35.966111,-7.276389
Opuntia ficus-indica,-35.966111,-7.276389
Opuntia ficus-indica,-35.966111,-7.276389
Opuntia ficus-indica,-35.966111,-7.276389
Opuntia ficus-indica,-35.966111,-7.276389
Opuntia ficus-indica,-35.966111,-7.276389
Opuntia ficus-indica,-35.966111,-7.276389
Opuntia ficus-indica,-35.966111,-7.276389
Opuntia ficus-indica,-35.966111,-7.276389
Opuntia ficus-indica,-35.966111,-7.276389
Opuntia ficus-indica,-35.966111,-7.276389
Opuntia ficus-indica,-35.966111,-7.276389
Opuntia ficus-indica,-53.55029,-29.25226
Opuntia ficus-indica,-43.975414,-19.873456
Opuntia ficus-indica,-49.5421,-25.417847
Opuntia ficus-indica,-54.130608,-31.307631
Opuntia ficus-indica,-53.412161,-30.884333
Opuntia ficus-indica,-40.495046,-20.660174
Opuntia ficus-indica,-51.673994,-30.784386
Opuntia ficus-indica,-48.633889,-28.099722
Opuntia ficus-indica,-43.030974,-20.688106
Opuntia ficus-indica,-46.776887,-23.431622
Opuntia ficus-indica,-41.855833,-11.304167
Opuntia ficus-indica,-46.982864,-22.94295
Opuntia ficus-indica,-39.159444,-5.584167
Opuntia ficus-indica,-39.159417,-5.584081
Opuntia ficus-indica,-36.7396,-9.6701
Opuntia ficus-indica,-44.078529,-21.057575
Opuntia ficus-indica,-42.026649,-22.886901
Opuntia ficus-indica,-42.036667,-16.744722
Opuntia ficus-indica,-37.5225,-10.431667
Opuntia ficus-indica,-37.251111,-8.578889
Opuntia ficus-indica,-36.274444,-5.291111
Opuntia ficus-indica,-36.274444,-5.291111
Opuntia ficus-indica,-37.295833,-8.169167
Opuntia ficus-indica,-37.435278,-8.099167
Opuntia ficus-indica,-39.535833,-12.761944
Opuntia ficus-indica,-48.624207,-26.997425
Opuntia ficus-indica,-40.115278000000004,-6.422222
Opuntia ficus-indica,-40.197722,-6.705917
Opuntia ficus-indica,-40.19,-10.399444
Opuntia ficus-indica,-48.133662,-22.39524
Opuntia ficus-indica,-42.051944,-7.019722
Opuntia ficus-indica,-42.051944,-7.019722
Opuntia ficus-indica,-41.191,-11.411
Opuntia ficus-indica,-41.408748,-12.556742
Opuntia ficus-indica,-37.87,-9.981944
Opuntia ficus-indica,-41.2325,-11.471389
Opuntia ficus-indica,-40.058333,-13.901111
Opuntia ficus-indica,-39.6,-10.6
Opuntia ficus-indica,-39.6,-10.6
Opuntia ficus-indica,-39.6,-10.966667
Opuntia ficus-indica,-39.6,-10.966667
Opuntia ficus-indica,-37.030833,-9.760278
Opuntia ficus-indica,-37.03083,-9.76028
Opuntia ficus-indica,-39.85,-12.85
Opuntia ficus-indica,-39.85,-12.883333
Opuntia ficus-indica,-39.85,-12.883333
Opuntia ficus-indica,-48.645,-26.946944
Opuntia ficus-indica,-48.644872,-26.946812
Opuntia ficus-indica,-47.077171,-22.870251
Opuntia ficus-indica,-39.039167,-15.159722
Opuntia ficus-indica,-39.039072,-15.159747
Opuntia ficus-indica,-43.073056,-22.496667
Opuntia ficus-indica,-43.073056,-22.496667
Opuntia ficus-indica,-43.073169,-22.496706
Opuntia ficus-indica,-43.073169,-22.496706
Opuntia ficus-indica,-43.073169,-22.496706
