Species,decimalLongitude,decimalLatitude
Oreochromis niloticus,-42.945796,-22.619631
Oreochromis niloticus,-43.981339,-19.859417
Oreochromis niloticus,-46.65773,-23.587406
Oreochromis niloticus,-44.525826,-22.438974
Oreochromis niloticus,-44.525827,-22.438981
Oreochromis niloticus,-44.525866,-22.439017
Oreochromis niloticus,-46.655409,-23.590151
Oreochromis niloticus,-50.926169,-27.027739
Oreochromis niloticus,-40.723068,-20.838219
Oreochromis niloticus,-48.804247,-26.217333
Oreochromis niloticus,-48.777781,-26.330825
Oreochromis niloticus,-48.779389,-26.328864
Oreochromis niloticus,-48.782558,-26.327109
Oreochromis niloticus,-46.656646,-23.589484
Oreochromis niloticus,-35.453146,-8.716056
Oreochromis niloticus,-47.836246,-15.875839
Oreochromis niloticus,-48.779389,-26.328864
Oreochromis niloticus,-43.974947,-19.862658
Oreochromis niloticus,-49.855993,-29.511735
Oreochromis niloticus,-51.236366,-30.041401
Oreochromis niloticus,-41.266895,-21.829905
Oreochromis niloticus,-46.878628,-23.047226
Oreochromis niloticus,-48.779389,-26.328864
Oreochromis niloticus,-46.659556,-23.587075
Oreochromis niloticus,-43.674473,-19.117329
Oreochromis niloticus,-49.238076,-25.440363
Oreochromis niloticus,-38.529719,-3.757816
Oreochromis niloticus,-49.144037,-25.440308
Oreochromis niloticus,-40.650653,-19.76545
Oreochromis niloticus,-51.299857,-30.28413
Oreochromis niloticus,-54.438651,-25.696553
Oreochromis niloticus,-34.95001,-8.049615
Oreochromis niloticus,-46.328701,-23.965298
Oreochromis niloticus,-44.419529,-19.883189
Oreochromis niloticus,-48.516297,-27.589142
Oreochromis niloticus,-48.494014,-21.269584
Oreochromis niloticus,-48.802331,-26.213242
Oreochromis niloticus,-48.777781,-26.330825
Oreochromis niloticus,-48.779389,-26.328864
Oreochromis niloticus,-48.782558,-26.327109
Oreochromis niloticus,-46.658547,-23.588066
Oreochromis niloticus,-47.38406,-23.390985
Oreochromis niloticus,-48.583473,-20.578093
Oreochromis niloticus,-48.583487,-20.578101
Oreochromis niloticus,-48.489968,-21.286946
Oreochromis niloticus,-46.78583,-24.169103
Oreochromis niloticus,-48.802331,-26.213242
Oreochromis niloticus,-48.777781,-26.330825
Oreochromis niloticus,-48.779389,-26.328864
Oreochromis niloticus,-48.782558,-26.327109
Oreochromis niloticus,-41.091667,-20.737778
Oreochromis niloticus,-41.109167,-20.765556
Oreochromis niloticus,-43.994071,-19.852876
Oreochromis niloticus,-41.298044,-21.738016
Oreochromis niloticus,-48.779389,-26.328864
Oreochromis niloticus,-48.782558,-26.327109
Oreochromis niloticus,-37.147422,-10.8544
Oreochromis niloticus,-48.490141,-21.288943
Oreochromis niloticus,-41.297859,-21.738163
Oreochromis niloticus,-48.777781,-26.330825
Oreochromis niloticus,-48.779389,-26.328864
Oreochromis niloticus,-48.782558,-26.327109
Oreochromis niloticus,-49.022312,-27.170669
Oreochromis niloticus,-47.935299,-19.762855
Oreochromis niloticus,-38.48574,-3.749004
Oreochromis niloticus,-34.86086,-7.136577
Oreochromis niloticus,-40.482391,-19.246124
Oreochromis niloticus,-46.720857,-23.63189
