Species,decimalLongitude,decimalLatitude
Oryctolagus cuniculus,-49.533712,-25.458362
Oryctolagus cuniculus,-48.514253,-27.736816
Oryctolagus cuniculus,-47.858812,-15.746263
Oryctolagus cuniculus,-43.993767,-20.085063
Oryctolagus cuniculus,-47.891887,-15.797443
Oryctolagus cuniculus,-46.751261,-23.454586
Oryctolagus cuniculus,-46.293913,-18.995355
Oryctolagus cuniculus,-46.784326,-1.048302
Oryctolagus cuniculus,-53.372738,-33.743072
Oryctolagus cuniculus,-49.307823,-25.419528
Oryctolagus cuniculus,-42.966021,-22.934281
