Species,decimalLongitude,decimalLatitude
Ossancora eigenmanni,-57.038056,-19.576389
Ossancora eigenmanni,-51.790953,-21.596653
Ossancora eigenmanni,-52.194833,-21.850278
Ossancora eigenmanni,-51.580694,-22.690194
Ossancora eigenmanni,-57.03167,-19.68389
Ossancora eigenmanni,-57.036008,-19.605872
Ossancora eigenmanni,-57.036008,-19.605872
Ossancora eigenmanni,-57.036008,-19.605872
Ossancora eigenmanni,-57.036008,-19.605872
Ossancora eigenmanni,-54.787611,-2.285083
Ossancora eigenmanni,-54.454167,-25.652911
Ossancora eigenmanni,-54.454167,-25.652911
Ossancora eigenmanni,-54.604167,-25.445278
Ossancora eigenmanni,-57.037139,-19.579611
Ossancora eigenmanni,-57.033889,-19.634722
Ossancora eigenmanni,-57.040875,-19.525678
Ossancora eigenmanni,-57.040694,-19.526222
Ossancora eigenmanni,-57.03725,-19.579583
Ossancora eigenmanni,-57.03725,-19.579583
Ossancora eigenmanni,-57.037139,-19.579611
Ossancora eigenmanni,-57.033889,-19.634722
Ossancora eigenmanni,-57.040875,-19.525678
Ossancora eigenmanni,-57.040694,-19.526222
Ossancora eigenmanni,-57.03725,-19.579583
Ossancora eigenmanni,-57.03725,-19.579583
Ossancora eigenmanni,-52.481667,-21.689089
Ossancora eigenmanni,-52.481667,-21.689089
Ossancora eigenmanni,-57.019139,-19.577278
Ossancora eigenmanni,-57.019139,-19.577278
Ossancora eigenmanni,-57.012778,-19.576111
Ossancora eigenmanni,-54.468056,-25.638611
Ossancora eigenmanni,-57.655556,-18.806111
Ossancora eigenmanni,-56.979167,-19.609444
Ossancora eigenmanni,-57.557417,-17.792694
Ossancora eigenmanni,-57.566139,-17.801278
Ossancora eigenmanni,-57.381494000000004,-17.827158
Ossancora eigenmanni,-57.401803,-17.860039
Ossancora eigenmanni,-53.200556,-22.663333
Ossancora eigenmanni,-57.551111,-3.794722
Ossancora eigenmanni,-57.521389,-3.878056
Ossancora eigenmanni,-60.374722,-3.828333
Ossancora eigenmanni,-54.563814,-25.588331
Ossancora eigenmanni,-54.563814,-25.588331
Ossancora eigenmanni,-62.063889,-4.505278
Ossancora eigenmanni,-52.872222,-22.600278
Ossancora eigenmanni,-59.890556,-3.203889
Ossancora eigenmanni,-59.906389,-3.099444
Ossancora eigenmanni,-53.541389,-22.799167
Ossancora eigenmanni,-56.134444,-2.249167
Ossancora eigenmanni,-52.872222,-22.600278
Ossancora eigenmanni,-52.872222,-22.600278
Ossancora eigenmanni,-52.872222,-22.600278
Ossancora eigenmanni,-54.25,-24.833333
Ossancora eigenmanni,-55.9,-16.333333
Ossancora eigenmanni,-52.166667,-22.45
Ossancora eigenmanni,-55.9,-16.33
Ossancora eigenmanni,-60.209444,-3.3475
Ossancora eigenmanni,-60.835833,-3.5925
Ossancora eigenmanni,-55.9,-16.333333
Ossancora eigenmanni,-64.699722,-2.293333
Ossancora eigenmanni,-53.413889,-15.581667
Ossancora eigenmanni,-53.413889,-15.581667
Ossancora eigenmanni,-55.940556,-15.973889
Ossancora eigenmanni,-56.616665,-16.25
Ossancora eigenmanni,-56.616665,-16.25
Ossancora eigenmanni,-56.616665,-16.25
Ossancora eigenmanni,-56.616665,-16.25
Ossancora eigenmanni,-56.616665,-16.25
Ossancora eigenmanni,-56.616665,-16.25
Ossancora eigenmanni,-59.676389,-3.141944
Ossancora eigenmanni,-59.933889,-3.180556
Ossancora eigenmanni,-59.676389,-3.141944
Ossancora eigenmanni,-59.925833,-3.196111
Ossancora eigenmanni,-55.940556,-15.973889
Ossancora eigenmanni,-59.925833,-3.196111
Ossancora eigenmanni,-59.925833,-3.196111
Ossancora eigenmanni,-59.971944,-3.261389
Ossancora eigenmanni,-59.676389,-3.141944
Ossancora eigenmanni,-56.858056,-16.747222
Ossancora eigenmanni,-56.858056,-16.747222
Ossancora eigenmanni,-59.676389,-3.141944
Ossancora eigenmanni,-59.676389,-3.141944
Ossancora eigenmanni,-59.648889,-3.141111
Ossancora eigenmanni,-56.7,-16.55
Ossancora eigenmanni,-56.666667,-16.416667
Ossancora eigenmanni,-55.633,-20.083
Ossancora eigenmanni,-56.9575,-19.622778
Ossancora eigenmanni,-56.9544,-19.6203
Ossancora eigenmanni,-60.1575,-3.105556
Ossancora eigenmanni,-65.076944,-2.736111
Ossancora eigenmanni,-54.87,-2.156389
Ossancora eigenmanni,-58.923611,-3.291111
Ossancora eigenmanni,-56.716667,-17.3
Ossancora eigenmanni,-56.979167,-19.609444
Ossancora eigenmanni,-57.011667,-19.576944
Ossancora eigenmanni,-54.0725,-2.0375
Ossancora eigenmanni,-57.011667,-19.576944
Ossancora eigenmanni,-57.815556,-19.22
Ossancora eigenmanni,-57.815556,-19.22
Ossancora eigenmanni,-57.700001,-16.049999
Ossancora eigenmanni,-57.011667,-19.576944
Ossancora eigenmanni,-57.011667,-19.576944
Ossancora eigenmanni,-57.011667,-19.576944
Ossancora eigenmanni,-57.011667,-19.576944
Ossancora eigenmanni,-57.815556,-19.22
Ossancora eigenmanni,-56.366667,-20.233333
Ossancora eigenmanni,-56.833332,-16.85
Ossancora eigenmanni,-57.033333,-19.25
Ossancora eigenmanni,-57.033333,-19.253333
Ossancora eigenmanni,-49,-0.85
Ossancora eigenmanni,-57.011667,-19.576944
Ossancora eigenmanni,-54.4,-24.866667
Ossancora eigenmanni,-55.95,-16.183333
Ossancora eigenmanni,-56.966667,-19.683333
Ossancora eigenmanni,-57.360555,-17.143767
Ossancora eigenmanni,-57.360555,-17.143767
Ossancora eigenmanni,-54.739873,-2.413969
Ossancora eigenmanni,-57.700328,-16.07277
Ossancora eigenmanni,-54.717215,-2.408811
