scientific_name,decimalLongitude,decimalLatitude
Pachira aquatica,-35.08209,-7.921001
Pachira aquatica,-50.143137,-15.942156
Pachira aquatica,-43.917547,-19.916011
Pachira aquatica,-44.540618,-14.177834
Pachira aquatica,-40.675888,-19.805412
Pachira aquatica,-48.021361,-21.715595
Pachira aquatica,-47.898138,-15.73853
Pachira aquatica,-40.675883,-19.805413
Pachira aquatica,-49.069567,-22.311067
Pachira aquatica,-47.555346,-22.411302
Pachira aquatica,-44.011452,-19.863316
Pachira aquatica,-43.926842,-19.927299
Pachira aquatica,-52.318083,-23.86605
Pachira aquatica,-47.96695,-19.776457
Pachira aquatica,-42.570751,-11.627328
Pachira aquatica,-44.764444,-2.039167
Pachira aquatica,-43.959045,-19.868593
Pachira aquatica,-40.134872,-19.934893
Pachira aquatica,-47.634087,-22.706612
Pachira aquatica,-42.506471,-11.428841
Pachira aquatica,-47.079932,-22.826816
Pachira aquatica,-38.960945,-14.072055
Pachira aquatica,-42.490404,-11.55224
Pachira aquatica,-42.570741,-11.627373
Pachira aquatica,-42.714503,-11.509694
Pachira aquatica,-46.691497,-23.53812
Pachira aquatica,-51.444084,-22.106081
Pachira aquatica,-39.225058,-17.334078
Pachira aquatica,-40.458408,-20.029319
Pachira aquatica,-38.968611,-12.198611
Pachira aquatica,-51.458279,-22.109998
Pachira aquatica,-43.955879,-19.781557
Pachira aquatica,-47.134633,-22.95209
Pachira aquatica,-34.920101,-8.18857
Pachira aquatica,-43.449136,-23.017417
Pachira aquatica,-44.764444,-2.039167
Pachira aquatica,-43.989658,-19.926212
Pachira aquatica,-59.809629,-3.663226
Pachira aquatica,-38.627627,-3.692661
Pachira aquatica,-44.329703,-2.661897
Pachira aquatica,-47.54482,-22.397337
Pachira aquatica,-42.100778,-21.674403
Pachira aquatica,-43.295193,-22.953733
Pachira aquatica,-47.92669,-15.738346
Pachira aquatica,-47.926709,-15.73824
Pachira aquatica,-48.084181,-15.881344
Pachira aquatica,-35.201111,-5.841667
Pachira aquatica,13,-13.01
Pachira aquatica,-47.888187,-15.802815
Pachira aquatica,-39.805833,-18.260556
Pachira aquatica,-42.54757,-11.506221
Pachira aquatica,-72.79837,-7.61837
Pachira aquatica,-47.870187,-15.767103
Pachira aquatica,-64.847005,-3.061323
Pachira aquatica,-42.541738,-11.471952
Pachira aquatica,-43.984798,-19.79594
Pachira aquatica,-46.556488,-23.558341
Pachira aquatica,-47.883245,-15.752521
Pachira aquatica,-47.932584,-15.61922
Pachira aquatica,-42.792684,-2.730216
Pachira aquatica,-37.614444,-11.809444
Pachira aquatica,-67.867506,-9.956085
Pachira aquatica,-67.865826,-9.956923
Pachira aquatica,-40.055855,-19.135795
Pachira aquatica,-67.866103,-9.95748
Pachira aquatica,-42.860833,-6.247778
Pachira aquatica,-39.414722,-7.235833
Pachira aquatica,-48.425425,-1.445704
Pachira aquatica,-42.571763,-11.530288
Pachira aquatica,-40.056207,-19.136146
Pachira aquatica,-46.898451,-22.74259
Pachira aquatica,-67.865762,-9.956819
Pachira aquatica,-40.26998,-20.247888
Pachira aquatica,-71.207778,-8.055833
Pachira aquatica,-71.449444,-7.963333
Pachira aquatica,-36.231383,-10.116194
Pachira aquatica,-36.251775,-10.100994
Pachira aquatica,-36.235092,-10.135239
Pachira aquatica,-45.235975,-5.504099
Pachira aquatica,-54.613333,-20.501111
Pachira aquatica,-56.583333,-15.656944
Pachira aquatica,-46.407732,-23.859399
Pachira aquatica,-40.314519,-20.33103
Pachira aquatica,-38.545983,-3.727987
Pachira aquatica,-56.774326,-17.364837
Pachira aquatica,-43.67365,-22.754763
Pachira aquatica,-49.848896,-6.279615
Pachira aquatica,-43.972405,-19.86805
Pachira aquatica,-48.960967,-15.85143
Pachira aquatica,-44.305278,-2.553194
Pachira aquatica,-50.464497,-21.180713
Pachira aquatica,-47.808929,-15.798155
Pachira aquatica,-54.834118,-22.209008999999998
Pachira aquatica,-54.834118,-22.209008999999998
Pachira aquatica,-54.834118,-22.209007
Pachira aquatica,-35.2025,-5.834722
Pachira aquatica,-48.40639,-1.383412
Pachira aquatica,-35.205278,-5.851111
Pachira aquatica,-35.226667,-5.827778
Pachira aquatica,-40.7286,-4.249959
Pachira aquatica,-47.019893,-22.902042
Pachira aquatica,-43.687778,-22.768611
Pachira aquatica,-49.359722,-20.785
Pachira aquatica,-49.359722,-20.785
Pachira aquatica,-47.943306,-15.844444
Pachira aquatica,-47.934097,-15.785252
Pachira aquatica,-46.798306,-1.163083
Pachira aquatica,-46.798306,-1.163083
Pachira aquatica,-41.893055,-2.835833
Pachira aquatica,-51.938225,-23.425725
Pachira aquatica,-47.032915,-22.886567
Pachira aquatica,-59.997393,-3.087543
Pachira aquatica,-43.953288,-19.927595
Pachira aquatica,-42.54238,-19.471231
Pachira aquatica,-54.574139,-20.456169
Pachira aquatica,-35.216944,-5.819167
Pachira aquatica,-35.216944,-5.819167
Pachira aquatica,-48.297778,-10.348889
Pachira aquatica,-56.77411,-17.364234
Pachira aquatica,-48.23426,-18.904363
Pachira aquatica,-54.836667,-22.216111
Pachira aquatica,-40.801111,-14.888889
Pachira aquatica,-40.801111,-14.888889
Pachira aquatica,-40.801111,-14.888889
Pachira aquatica,-46.798306,-1.163083
Pachira aquatica,-59.997414,-3.087972
Pachira aquatica,-43.072778,-22.832222
Pachira aquatica,-67.814729,-9.955672
Pachira aquatica,-60.027,-3.102
Pachira aquatica,-43.23472,-22.91194
Pachira aquatica,-44.289167,-2.551667
Pachira aquatica,-48.951052,-16.336671
Pachira aquatica,-46.685923,-23.608238
Pachira aquatica,-48.930776,-16.320848
Pachira aquatica,-35.046389,-8.2875
Pachira aquatica,-45,-18.140278
Pachira aquatica,-57.679861,-16.58
Pachira aquatica,-57.679861,-16.58
Pachira aquatica,-45,-18.1402
Pachira aquatica,-51.95,-23.416667
Pachira aquatica,-51.95,-23.416667
Pachira aquatica,-51.943333,-1.743889
Pachira aquatica,-51.95,-23.416667
Pachira aquatica,-46.804167,-1.168333
Pachira aquatica,-51.309722,-1.868889
Pachira aquatica,-51.943333,-1.743889
Pachira aquatica,-39.485639,-7.516583
Pachira aquatica,-47.020085,-22.901672
Pachira aquatica,-51.940833,-23.403056
Pachira aquatica,-49.356152,-20.780597
Pachira aquatica,-44.282889,-2.539083
Pachira aquatica,-47.16,-9.72
Pachira aquatica,-38.850975,-4.181644
Pachira aquatica,-38.894444,-4.206389
Pachira aquatica,-38.966667,-12.966667
Pachira aquatica,-38.894361,-4.206444
Pachira aquatica,-38.966667,-12.25
Pachira aquatica,-50.226389,-20.277778
Pachira aquatica,-50.226333,-20.277703
Pachira aquatica,-48.258889,-18.885278
Pachira aquatica,-48.441111,-19.481389
Pachira aquatica,-39.700353,-18.405674
Pachira aquatica,-62.164697,-7.853814
Pachira aquatica,-48.418611,-20.493889
Pachira aquatica,-42.241078,-13.452417
Pachira aquatica,-47.778333,-1.916667
Pachira aquatica,-40.533333,-19.95
Pachira aquatica,-40.533333,-19.95
Pachira aquatica,-43.435692,-22.603522
Pachira aquatica,-67.86382,-9.954971
Pachira aquatica,-48.33,-1.066944
Pachira aquatica,-44.874767,-3.171881
Pachira aquatica,-55.7925,-12.426389
Pachira aquatica,-38.745,-4.2075
Pachira aquatica,-38.744994,-4.207481
Pachira aquatica,-39.419722,-13.320278
Pachira aquatica,-55.317222,-15.506944
Pachira aquatica,-51.820278,-3.315556
Pachira aquatica,-39.600278,-16.559722
Pachira aquatica,-39.42,-16.2
Pachira aquatica,-35.843889,-8.719722
Pachira aquatica,-47.815872,-15.765209
Pachira aquatica,-47.815893,-15.765663
Pachira aquatica,-55.048333,-11.873056
Pachira aquatica,-34.945,-8.049722
Pachira aquatica,-36.427778000000004,-9.254444
Pachira aquatica,-36.4278,-9.2544
Pachira aquatica,-36.430556,-9.254444
Pachira aquatica,-39.166667,-14.783333
Pachira aquatica,-54.738889,-2.419444
Pachira aquatica,-43.710339,-22.609993
Pachira aquatica,-48.448056,-1.435556
Pachira aquatica,-48.448056,-1.435556
Pachira aquatica,-48.448055,-1.435555
Pachira aquatica,-57.652917,-16.077889
Pachira aquatica,-39.39416,-14.11006
Pachira aquatica,-40.579166,-9.4625
Pachira aquatica,-44.272778,-2.596389
Pachira aquatica,-58.756833,-11.405306
Pachira aquatica,-47.85,-21.166667
Pachira aquatica,-51.55,-1.95
Pachira aquatica,-55.501667,-11.836667
Pachira aquatica,-55.501667,-11.836667
Pachira aquatica,-55.501667,-11.836667
Pachira aquatica,-44.297778,-2.637222
Pachira aquatica,-55.501667,-11.836667
Pachira aquatica,-46.76025,-1.037472
Pachira aquatica,-43.359222,-9.992555
Pachira aquatica,-46.768778,-1.026389
Pachira aquatica,-34.824389,-7.326861
Pachira aquatica,-38.774444,-7.389444
Pachira aquatica,-36.231383,-10.116194
Pachira aquatica,-38.774444,-7.389444
Pachira aquatica,-37.071667,-10.911111
Pachira aquatica,-37.071667,-10.911111
Pachira aquatica,-66.6749,0.258883
Pachira aquatica,-50.275556,-2.9825
Pachira aquatica,-37.099722,-10.925556
Pachira aquatica,-35.129167,-6.604444
Pachira aquatica,-37.099631,-10.925675
Pachira aquatica,-68.15733,1.39447
Pachira aquatica,-68.15,1.383333
Pachira aquatica,-47.855,-21.169444
Pachira aquatica,-51.717222,-17.923056
Pachira aquatica,-51.717222,-17.923056
Pachira aquatica,-37.071667,-10.911111
Pachira aquatica,-37.071667,-10.911111
Pachira aquatica,-39.6,-13.016667
Pachira aquatica,-55.754302,-19.051335
Pachira aquatica,-51.711944,-17.900278
Pachira aquatica,-51.711944,-17.900278
Pachira aquatica,-49.323611,-15.753056
Pachira aquatica,-47.065751,-22.9056
Pachira aquatica,-35.853783,-8.752222
Pachira aquatica,-47.904722,-15.815278
Pachira aquatica,-47.929722,-15.779722
Pachira aquatica,-38.228056,-6.759444
Pachira aquatica,-38.228056,-6.759444
Pachira aquatica,-48.8125,-1.618889
Pachira aquatica,-35.735278,-9.666111
Pachira aquatica,-36.231328,-10.116975
Pachira aquatica,-48,-15.866666
Pachira aquatica,-40.081667,-13.864167
Pachira aquatica,-39.066667,-15.283333
Pachira aquatica,-44.251942,-2.504322
Pachira aquatica,-47.0608,-22.9056
Pachira aquatica,-47.85,-21.166667
Pachira aquatica,-34.881111,-8.054167
Pachira aquatica,-34.947778,-7.824167
Pachira aquatica,-62.7667,-0.3014
Pachira aquatica,-62.7667,-0.3014
Pachira aquatica,-44.044797,-2.865817
Pachira aquatica,-62.766667,-0.301389
Pachira aquatica,-57.790556,-15.265556
