scientific_name,decimalLongitude,decimalLatitude
Pachyurus bonariensis,-51.299857,-30.28413
Pachyurus bonariensis,-51.299821,-30.284154
Pachyurus bonariensis,-51.241865,-30.038889
Pachyurus bonariensis,-51.241882,-30.038457
Pachyurus bonariensis,-51.241875,-30.038514
Pachyurus bonariensis,-51.241873,-30.038732
Pachyurus bonariensis,-51.241864,-30.03886
Pachyurus bonariensis,-56.388333,-20.263056
Pachyurus bonariensis,-57.018333,-19.577222
Pachyurus bonariensis,-57.018333,-19.577222
Pachyurus bonariensis,-57.018333,-19.577222
Pachyurus bonariensis,-57.018333,-19.577222
Pachyurus bonariensis,-57.018333,-19.577222
Pachyurus bonariensis,-57.018333,-19.577222
Pachyurus bonariensis,-57.011667,-19.576944
Pachyurus bonariensis,-56.655556,-29.424722
Pachyurus bonariensis,-53.035,-27.083333
Pachyurus bonariensis,-53.017778,-27.1025
Pachyurus bonariensis,-59.164167,-28.570833
Pachyurus bonariensis,-55.009872,-28.142482
Pachyurus bonariensis,-54.828889,-27.574167
Pachyurus bonariensis,-56.351639,-28.945917
Pachyurus bonariensis,-56.029167,-28.570833
Pachyurus bonariensis,-51.183333,-30.05
Pachyurus bonariensis,-56.564856,-29.116789
Pachyurus bonariensis,-56.546417,-29.118206
Pachyurus bonariensis,-56.352522,-28.946525
Pachyurus bonariensis,-53.373753,-27.093844
Pachyurus bonariensis,-53.020792,-27.094139
Pachyurus bonariensis,-57.018056,-19.576944
Pachyurus bonariensis,-55.268333,-27.898056
Pachyurus bonariensis,-52.394806,-27.283972
Pachyurus bonariensis,-52.394806,-27.283972
Pachyurus bonariensis,-52.859444,-27.171389
Pachyurus bonariensis,-52.394806,-27.283986
Pachyurus bonariensis,-53.401944,-27.102778
Pachyurus bonariensis,-52.394806,-27.283986
Pachyurus bonariensis,-53.401944,-27.102778
Pachyurus bonariensis,-52.714167,-27.371722
Pachyurus bonariensis,-54.583622,-25.591881
Pachyurus bonariensis,-54.583622,-25.591881
Pachyurus bonariensis,-54.6,-25.433333
Pachyurus bonariensis,-54.55,-25.433333
Pachyurus bonariensis,-57.383333,-16.516944
Pachyurus bonariensis,-57.383333,-16.516944
Pachyurus bonariensis,-56.253611,-14.696111
Pachyurus bonariensis,-51.24361,-30.02389
Pachyurus bonariensis,-51.24361,-30.02389
Pachyurus bonariensis,-50.850834,-29.686388
Pachyurus bonariensis,-51.24361,-30.02389
Pachyurus bonariensis,-54.916668,-29.766666
Pachyurus bonariensis,-56.7,-29.4
Pachyurus bonariensis,-57.383333,-16.516944
Pachyurus bonariensis,-51.466667,-29.700001
Pachyurus bonariensis,-51.785,-27.526944
Pachyurus bonariensis,-51.785,-27.526944
Pachyurus bonariensis,-53.376945,-27.086666
Pachyurus bonariensis,-53.642776,-27.195
Pachyurus bonariensis,-56.82,-29.498333
Pachyurus bonariensis,-54.588056,-25.546667
Pachyurus bonariensis,-53.376945,-27.086666
Pachyurus bonariensis,-53.642776,-27.195
Pachyurus bonariensis,-57.1,-29.766667
Pachyurus bonariensis,-57.011667,-19.576944
Pachyurus bonariensis,-57.331944,-19.412778
Pachyurus bonariensis,-57.700001,-16.049999
Pachyurus bonariensis,-57.116665,-29.766666
Pachyurus bonariensis,-55.400002,-28.049999
Pachyurus bonariensis,-55.316666,-28.200001
Pachyurus bonariensis,-55.333332,-27.950001
Pachyurus bonariensis,-56,-28.666666
Pachyurus bonariensis,-55.333332,-27.950001
Pachyurus bonariensis,-55.183334,-28.049999
Pachyurus bonariensis,-55.183334,-28.049999
Pachyurus bonariensis,-55.183334,-28.049999
Pachyurus bonariensis,-54.633333,-25.516667
Pachyurus bonariensis,-54.633333,-25.516667
Pachyurus bonariensis,-55.183334,-28.049999
Pachyurus bonariensis,-55.183334,-28.049999
Pachyurus bonariensis,-56.033333,-28.633333
Pachyurus bonariensis,-56.033333,-28.633333
Pachyurus bonariensis,-55.8,-20.466667
Pachyurus bonariensis,-55.400002,-28.049999
Pachyurus bonariensis,-56.033333,-28.633333
Pachyurus bonariensis,-55.183334,-28.049999
Pachyurus bonariensis,-55.183334,-28.049999
Pachyurus bonariensis,-55.183334,-28.049999
Pachyurus bonariensis,-56.033333,-28.633333
Pachyurus bonariensis,-55.183334,-28.049999
Pachyurus bonariensis,-56.783333,-29.416667
Pachyurus bonariensis,-57.333332,-29.866667
Pachyurus bonariensis,-54.633333,-25.516667
Pachyurus bonariensis,-56.783333,-29.416666
Pachyurus bonariensis,-56.816666,-29.5
Pachyurus bonariensis,-55.150002,-29.383333
Pachyurus bonariensis,-55.95,-16.183333
Pachyurus bonariensis,-55.95,-16.183333
Pachyurus bonariensis,-56.083333,-15.866667
Pachyurus bonariensis,-57.655556,-15.7925
Pachyurus bonariensis,-52.205863,-29.078579
Pachyurus bonariensis,-52.205863,-29.078579
Pachyurus bonariensis,-52.205863,-29.078579
Pachyurus bonariensis,-57.63498,-18.995405
