scientific_name,decimalLongitude,decimalLatitude
Paratrechina longicornis,-46.170752,-23.526518
Paratrechina longicornis,-43.969742,-19.917886
Paratrechina longicornis,-46.171234,-23.526272
Paratrechina longicornis,-43.364521,-21.781416
Paratrechina longicornis,-43.446712,-22.75387
Paratrechina longicornis,-39.702398,-18.405738
Paratrechina longicornis,-39.858336,-18.72343
Paratrechina longicornis,-47.865385,-15.766339
Paratrechina longicornis,-47.859462,-21.164214
Paratrechina longicornis,-49.046972,-22.330606
Paratrechina longicornis,-38.488713,-3.747917
Paratrechina longicornis,-47.941397,-15.793617
Paratrechina longicornis,-47.94147,-15.7936
Paratrechina longicornis,-52.671326,-26.228372
Paratrechina longicornis,-46.646946,-23.587343
Paratrechina longicornis,-45.893651,-23.24835
Paratrechina longicornis,-47.067186,-22.914662
Paratrechina longicornis,-43.452966,-23.020312
Paratrechina longicornis,-47.818603,-21.172924
Paratrechina longicornis,-47.86595,-15.765874
Paratrechina longicornis,-38.44282,-12.108276
Paratrechina longicornis,-44.526985,-22.442687
Paratrechina longicornis,-46.732505,-23.476609
Paratrechina longicornis,-46.746247,-23.527122
Paratrechina longicornis,-43.929285,-19.848311
Paratrechina longicornis,-47.270779,-22.824389
Paratrechina longicornis,-46.610267,-23.588003
Paratrechina longicornis,-46.582407,-23.733981
Paratrechina longicornis,-38.47129,-3.830965
Paratrechina longicornis,-43.96605,-19.911578
Paratrechina longicornis,-46.358307,-23.533618
Paratrechina longicornis,-35.689822,-9.613198
Paratrechina longicornis,-35.223515,-5.930694
Paratrechina longicornis,-41.973421,-22.826287
Paratrechina longicornis,-46.88003,-23.201024
Paratrechina longicornis,-46.880667,-23.201219
Paratrechina longicornis,-43.413141,-22.98506
Paratrechina longicornis,-46.54408,-22.91909
Paratrechina longicornis,-49.25173,-16.612888
Paratrechina longicornis,-43.009261,-16.861861
Paratrechina longicornis,-46.714991,-23.543831
Paratrechina longicornis,-46.720827,-23.547247
Paratrechina longicornis,-46.715333,-23.542634
Paratrechina longicornis,-46.628676,-23.59604
Paratrechina longicornis,-46.67349,-23.610478
Paratrechina longicornis,-40.742913,-18.830456
Paratrechina longicornis,-43.283824,-22.784922
Paratrechina longicornis,-48.661388,-26.775629
Paratrechina longicornis,-46.739792,-23.436222
Paratrechina longicornis,-46.768492,-23.462476
Paratrechina longicornis,-46.677473,-23.674927
Paratrechina longicornis,-46.725559,-23.563614
Paratrechina longicornis,-43.434962,-22.702488
Paratrechina longicornis,-46.673451,-23.620394
Paratrechina longicornis,-46.610384,-23.588204
Paratrechina longicornis,-46.64379,-23.586013
Paratrechina longicornis,-54.428925,-25.538956
Paratrechina longicornis,-48.751646,-17.774032
Paratrechina longicornis,-46.641048,-23.057273
Paratrechina longicornis,-46.618589,-23.539844
Paratrechina longicornis,-46.715333,-23.542634
Paratrechina longicornis,-47.852581,-15.671125
Paratrechina longicornis,-47.852592,-15.671061
Paratrechina longicornis,-47.852565,-15.671042
Paratrechina longicornis,-43.322797,-22.838439
Paratrechina longicornis,-46.674032,-23.609672
Paratrechina longicornis,-38.539219,-10.8398
Paratrechina longicornis,-38.539253,-10.8397
Paratrechina longicornis,-46.713463,-23.560275
Paratrechina longicornis,-38.529719,-3.757816
Paratrechina longicornis,-48.920595,-27.09766
Paratrechina longicornis,-39.707127,-18.418427
Paratrechina longicornis,-47.067222,-22.91431
Paratrechina longicornis,-35.690829,-9.613789
Paratrechina longicornis,-45.398734,-21.830551
Paratrechina longicornis,-45.558041,-23.048345
Paratrechina longicornis,-35.223515,-5.930694
